dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,23,1,1,52856,52908,0.203125,55001,223845,53423,2.21484375,platform_onset_hypothesis,53716,1.0,,,53716,3.359375,1.14453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.259375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,52792,53691,,,,
A1,24,1,-1,55001,55053,0.203125,57133,223845,55568,2.21484375,platform_onset_hypothesis,55850,-1.0,,,55850,3.31640625,1.1015625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.21640625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,54937,55825,0.0,151.6793193669056,7.811983771176685,"[[-12.398806963979482, -58.117512899549254, 26.996963932074515], [-4.442377268111192, -21.007659557888385, -14.203423507793872], [-3.891349864194557, 63.42164993880738, 75.26303700894987]]"
A1,25,1,-1,57133,57185,0.203125,59314,223845,57700,2.21484375,platform_onset_hypothesis,58029,-1.0,,,58029,3.5,1.28515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.4,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,57069,58004,0.0,831.3409571492311,9.350943385576272,"[[4.80274632072423, -173.3872235900949, -576.069794978946], [3.791814277740005, -185.11821279209505, -453.36883957072405], [-0.16803411589827433, 11.250183001649948, 16.738777962379636]]"
A1,26,1,1,59314,59366,0.203125,61410,223845,59881,2.21484375,platform_onset_hypothesis,60125,1.0,,,60125,3.16796875,0.953125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.06796875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,59250,60100,0.0,343.24087311442594,11.841317470640334,"[[-0.3433511373131921, 118.0253378612831, 147.3448676546849], [23.733251619183704, -78.6020965161826, 37.652535031333], [0.08621089949966732, -25.686063562284044, -49.39766109077547]]"
A1,27,1,1,61410,61462,0.203125,63575,223845,61978,2.21875,platform_onset_hypothesis,62292,1.0,,,62292,3.4453125,1.2265625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.3453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,quality,61346,62267,0.2854920264488526,1640.2638902411932,12.35918604702502,
A1,28,1,-1,63575,63627,0.203125,65663,223845,64142,2.21484375,platform_onset_hypothesis,64381,-1.0,,,64381,3.1484375,0.93359375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.0484375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,63511,64356,0.0,465.5813132371998,22.47329396063256,"[[-51.873730185288146, -221.07711650299515, -235.92449140676408], [39.273468564053076, -247.28632307398408, -235.7425866053853], [-12.910230052193404, 114.4958525292255, 128.9381558463358]]"
A1,29,1,-1,65663,65715,0.203125,67860,223845,66231,2.21875,platform_onset_hypothesis,66575,-1.0,,,66575,3.5625,1.34375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.4625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,65599,66550,0.0,809.8136736421445,9.272885165767207,"[[14.931434194904284, 225.98263702478198, 328.90401606546834], [8.261564713177812, 425.4712512905903, 637.5110876645467], [-9.093479967612403, 32.857116044238445, 25.70423865861381]]"
A1,30,1,-1,67860,67912,0.203125,69976,223845,68427,2.21484375,platform_onset_hypothesis,68692,-1.0,,,68692,3.25,1.03515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.15,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,67796,68667,0.0,131.20162427343973,7.108672142547029,"[[-38.287360337786836, -26.990066920343807, -54.568604467362604], [8.193447290202768, 13.432621873498062, 6.029556547892895], [-0.5573147604236496, -29.451483315270515, -22.472414515023516]]"
A1,31,1,-1,69976,70028,0.203125,72081,223845,70544,2.21875,platform_onset_hypothesis,70795,-1.0,,,70795,3.19921875,0.98046875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.09921875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,69912,70770,0.0,607.9446443527697,10.593554120468866,"[[-12.623907667872036, 162.16297603150474, 139.33015974661453], [8.57675528258935, 16.712086561267995, -149.16468467221358], [0.7598860933736198, -29.042628626734853, -26.46946890334422]]"
A1,32,1,1,72081,72133,0.203125,74269,223845,72648,2.21484375,platform_onset_hypothesis,72986,1.0,,,72986,3.53515625,1.3203125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.43515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,72017,72961,0.0,182.34760319550105,10.18850276037049,"[[24.95077422175806, 91.74701526388577, -30.571658961620187], [2.3683853702787694, 57.56170616857497, 35.500099504626235], [-3.8506768866420447, -44.865383845109115, -69.91023917535395]]"
