dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,26,1,stimulus,2.0,N0,retrieval,1,219,27258.096098752056
A1,26,1,stimulus,2.0,N0,retrieval,2,219,100721.68146089914
A1,28,1,stimulus,2.0,N0,encoding,0,205,4033.0479297401052
A1,28,1,stimulus,2.0,N0,encoding,1,205,16497.01639708669
A1,28,1,stimulus,2.0,N0,encoding,2,205,22083.40422613075
A1,28,1,stimulus,2.0,N0,maintenance,0,362,1412.8871717603995
A1,28,1,stimulus,2.0,N0,maintenance,1,362,50218.86622774516
A1,28,1,stimulus,2.0,N0,maintenance,2,362,56582.74773227237
A1,28,1,stimulus,2.0,N0,retrieval,0,214,2606.031435142118
A1,28,1,stimulus,2.0,N0,retrieval,1,214,15326.01011420893
A1,28,1,stimulus,2.0,N0,retrieval,2,214,16212.034220563324
A1,29,1,stimulus,2.0,N0,encoding,0,205,766.6961189085316
A1,29,1,stimulus,2.0,N0,encoding,1,205,2716.9206377763653
A1,29,1,stimulus,2.0,N0,encoding,2,205,6243.991776623545
A1,29,1,stimulus,2.0,N0,maintenance,0,363,1480.0548925304506
A1,29,1,stimulus,2.0,N0,maintenance,1,363,10584.463603236189
A1,29,1,stimulus,2.0,N0,maintenance,2,363,23337.240578778463
A1,29,1,stimulus,2.0,N0,retrieval,0,319,2356.716235557371
A1,29,1,stimulus,2.0,N0,retrieval,1,319,77619.49173484712
A1,29,1,stimulus,2.0,N0,retrieval,2,319,143082.50977078715
A1,30,1,stimulus,2.0,N0,encoding,0,205,102.88922259361445
A1,30,1,stimulus,2.0,N0,encoding,1,205,239.04506289334176
A1,30,1,stimulus,2.0,N0,encoding,2,205,295.26130174745396
A1,30,1,stimulus,2.0,N0,maintenance,0,362,157.02507973769397
A1,30,1,stimulus,2.0,N0,maintenance,1,362,1124.62563163583
A1,30,1,stimulus,2.0,N0,maintenance,2,362,2876.9514914656193
A1,30,1,stimulus,2.0,N0,retrieval,0,240,120.06725624896193
A1,30,1,stimulus,2.0,N0,retrieval,1,240,963.8319966083551
A1,30,1,stimulus,2.0,N0,retrieval,2,240,7319.283346391682
A1,31,1,stimulus,2.0,N0,encoding,0,205,65.37825805576364
A1,31,1,stimulus,2.0,N0,encoding,1,205,20028.095736630366
A1,31,1,stimulus,2.0,N0,encoding,2,205,52814.956616802825
A1,31,1,stimulus,2.0,N0,maintenance,0,363,475.0859956598035
A1,31,1,stimulus,2.0,N0,maintenance,1,363,82712.80311281666
A1,31,1,stimulus,2.0,N0,maintenance,2,363,312557.6660717569
A1,31,1,stimulus,2.0,N0,retrieval,0,226,116.18660690259878
A1,31,1,stimulus,2.0,N0,retrieval,1,226,83457.60076575057
A1,31,1,stimulus,2.0,N0,retrieval,2,226,351582.3122242183
A1,32,1,stimulus,2.0,N0,encoding,0,205,145.02300520139323
A1,32,1,stimulus,2.0,N0,encoding,1,205,175.14003834918176
A1,32,1,stimulus,2.0,N0,encoding,2,205,2030.6119421021713
A1,32,1,stimulus,2.0,N0,maintenance,0,362,120.43015114858562
A1,32,1,stimulus,2.0,N0,maintenance,1,362,2295.4172882179378
A1,32,1,stimulus,2.0,N0,maintenance,2,362,14046.635045318864
A1,32,1,stimulus,2.0,N0,retrieval,0,313,194.08299908362417
A1,32,1,stimulus,2.0,N0,retrieval,1,313,8862.164779962539
A1,32,1,stimulus,2.0,N0,retrieval,2,313,23521.035443742672
A1,33,1,stimulus,2.0,N0,encoding,0,205,98.38081181848595
A1,33,1,stimulus,2.0,N0,encoding,1,205,1001.2104002529179
A1,33,1,stimulus,2.0,N0,encoding,2,205,114.09386026274153
A1,33,1,stimulus,2.0,N0,maintenance,0,363,135.8654749117621
A1,33,1,stimulus,2.0,N0,maintenance,1,363,4487.06662456361
A1,33,1,stimulus,2.0,N0,maintenance,2,363,243.38735298694607
A1,33,1,stimulus,2.0,N0,retrieval,0,276,211.73222468557663
A1,33,1,stimulus,2.0,N0,retrieval,1,276,6707.966252592318
A1,33,1,stimulus,2.0,N0,retrieval,2,276,332.85183119658905
A1,34,1,stimulus,2.0,N0,encoding,0,205,603.5789221353177
A1,34,1,stimulus,2.0,N0,encoding,1,205,330.90834253287807
A1,34,1,stimulus,2.0,N0,encoding,2,205,705.4091935510851
A1,34,1,stimulus,2.0,N0,maintenance,0,362,306.07862108975763
A1,34,1,stimulus,2.0,N0,maintenance,1,362,5122.05987555856
A1,34,1,stimulus,2.0,N0,maintenance,2,362,7777.153781559614
A1,34,1,stimulus,2.0,N0,retrieval,0,377,262.22446625001845
A1,34,1,stimulus,2.0,N0,retrieval,1,377,1539.8021956639761
A1,34,1,stimulus,2.0,N0,retrieval,2,377,5006.844414755177
A1,35,1,stimulus,2.0,N0,encoding,0,205,176.85544242005676
A1,35,1,stimulus,2.0,N0,encoding,1,205,278.93475899320504
A1,35,1,stimulus,2.0,N0,encoding,2,205,276.7913537661244
A1,35,1,stimulus,2.0,N0,maintenance,0,362,309.22313148792705
A1,35,1,stimulus,2.0,N0,maintenance,1,362,355.75963565272724
A1,35,1,stimulus,2.0,N0,maintenance,2,362,171.63552373890352
A1,35,1,stimulus,2.0,N0,retrieval,0,243,239.02634312748435
A1,35,1,stimulus,2.0,N0,retrieval,1,243,1622.1424345900625
A1,35,1,stimulus,2.0,N0,retrieval,2,243,2695.5886084644617
A1,37,1,stimulus,2.0,N0,encoding,0,205,993.6895969136473
A1,37,1,stimulus,2.0,N0,encoding,1,205,454.999634634228
A1,37,1,stimulus,2.0,N0,encoding,2,205,871.2350405432225
A1,37,1,stimulus,2.0,N0,maintenance,0,363,1562.765292828114
A1,37,1,stimulus,2.0,N0,maintenance,1,363,1224.9807819993287
A1,37,1,stimulus,2.0,N0,maintenance,2,363,7356.310615086663
A1,37,1,stimulus,2.0,N0,retrieval,0,266,1342.4421186984314
A1,37,1,stimulus,2.0,N0,retrieval,1,266,6249.975444511983
A1,37,1,stimulus,2.0,N0,retrieval,2,266,11492.03991280347
A1,44,2,stimulus,2.0,N0,encoding,0,205,183.15864270129498
A1,44,2,stimulus,2.0,N0,encoding,1,205,579.7028026765911
A1,44,2,stimulus,2.0,N0,encoding,2,205,853.6540495489625
A1,44,2,stimulus,2.0,N0,maintenance,0,362,783.2084362361704
A1,44,2,stimulus,2.0,N0,maintenance,1,362,991.063587360273
A1,44,2,stimulus,2.0,N0,maintenance,2,362,1319.9404544840759
A1,44,2,stimulus,2.0,N0,retrieval,0,242,61.19629173922256
A1,44,2,stimulus,2.0,N0,retrieval,1,242,1090.399333910923
A1,44,2,stimulus,2.0,N0,retrieval,2,242,1221.3594601708
A1,45,2,stimulus,2.0,N0,encoding,0,205,210.75470258403143
A1,45,2,stimulus,2.0,N0,encoding,1,205,11763.442409390847
A1,45,2,stimulus,2.0,N0,encoding,2,205,10924.603381435687
A1,45,2,stimulus,2.0,N0,maintenance,0,363,829.7204391834122
A1,45,2,stimulus,2.0,N0,maintenance,1,363,10973.732596471498
A1,45,2,stimulus,2.0,N0,maintenance,2,363,20822.23524128211
A1,45,2,stimulus,2.0,N0,retrieval,0,223,130.15411739950824
A1,45,2,stimulus,2.0,N0,retrieval,1,223,64825.86325976166
A1,45,2,stimulus,2.0,N0,retrieval,2,223,2038.621952372068
A1,47,2,stimulus,2.0,N0,encoding,0,205,99.78666802516442
A1,47,2,stimulus,2.0,N0,encoding,1,205,529.9581786904513
A1,47,2,stimulus,2.0,N0,encoding,2,205,484.10521071169444
A1,47,2,stimulus,2.0,N0,maintenance,0,362,109.28330669788673
A1,47,2,stimulus,2.0,N0,maintenance,1,362,3204.7336243193818
A1,47,2,stimulus,2.0,N0,maintenance,2,362,3789.8627554487653
A1,47,2,stimulus,2.0,N0,retrieval,0,313,179.01679007836916
A1,47,2,stimulus,2.0,N0,retrieval,1,313,19461.03329938268
A1,47,2,stimulus,2.0,N0,retrieval,2,313,36722.838174723634
A1,48,2,stimulus,2.0,N0,encoding,0,205,379.6739343325501
A1,48,2,stimulus,2.0,N0,encoding,1,205,358.12818358323125
A1,48,2,stimulus,2.0,N0,encoding,2,205,267.7193477803506
A1,48,2,stimulus,2.0,N0,maintenance,0,362,491.5226752766905
A1,48,2,stimulus,2.0,N0,maintenance,1,362,1977.5173339434775
A1,48,2,stimulus,2.0,N0,maintenance,2,362,2427.8306551121004
A1,48,2,stimulus,2.0,N0,retrieval,0,298,104.56888240751302
A1,48,2,stimulus,2.0,N0,retrieval,1,298,2926.936215923023
A1,48,2,stimulus,2.0,N0,retrieval,2,298,4454.003182770033
A1,49,2,stimulus,2.0,N0,encoding,0,205,88.38610495710242
A1,49,2,stimulus,2.0,N0,encoding,1,205,7496.828400977728
A1,49,2,stimulus,2.0,N0,encoding,2,205,7395.242836409497
A1,49,2,stimulus,2.0,N0,maintenance,0,363,162.15260612029627
A1,49,2,stimulus,2.0,N0,maintenance,1,363,6794.814633824229
A1,49,2,stimulus,2.0,N0,maintenance,2,363,2164.3712271010827
A1,49,2,stimulus,2.0,N0,retrieval,0,255,209.12266956765183
A1,49,2,stimulus,2.0,N0,retrieval,1,255,4057.6738038344456
A1,49,2,stimulus,2.0,N0,retrieval,2,255,26856.96443439814
A1,50,2,stimulus,2.0,N0,encoding,0,205,138.41284399864142
A1,50,2,stimulus,2.0,N0,encoding,1,205,4990.589443075207
A1,50,2,stimulus,2.0,N0,encoding,2,205,7445.481198215926
A1,50,2,stimulus,2.0,N0,maintenance,0,362,309.09554498763885
A1,50,2,stimulus,2.0,N0,maintenance,1,362,15339.486397679462
A1,50,2,stimulus,2.0,N0,maintenance,2,362,95544.43653738937
A1,50,2,stimulus,2.0,N0,retrieval,0,235,158.3067904766506
A1,50,2,stimulus,2.0,N0,retrieval,1,235,4665.4437244829305
A1,50,2,stimulus,2.0,N0,retrieval,2,235,20129.893893774304
A1,51,2,stimulus,2.0,N0,encoding,0,205,258.063115243874
A1,51,2,stimulus,2.0,N0,encoding,1,205,48504.69848342614
A1,51,2,stimulus,2.0,N0,encoding,2,205,52700.445526797695
A1,51,2,stimulus,2.0,N0,maintenance,0,362,2965.589853028633
A1,51,2,stimulus,2.0,N0,maintenance,1,362,421710.66491847375
A1,51,2,stimulus,2.0,N0,maintenance,2,362,605466.5000441964
