dataset,horizon_s,stage,control,S,ci_low,ci_high,n,n_blocks,mode
B2,1.5,maintenance,N0,0.03435383222248101,0.01501941176235233,0.04885413946453469,71,5,frozen_V2_common_cohort
B2,1.5,maintenance,N1,-0.004213914224484805,-0.013059498306228656,0.00524503730181014,71,5,frozen_V2_common_cohort
B2,1.5,maintenance,N3,0.027589113377834207,-0.0026623941941592566,0.0720952602560293,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N0,0.10079578929037936,0.011273599404359343,0.17278386390346978,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N1,0.021731664574270337,0.0058903116360139625,0.03558362746763284,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N3,-0.014445836433020887,-0.054692892373935154,0.0274214698854266,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N0,-0.05456820552052255,-0.10454181586085443,-0.0009052306508348096,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N1,-0.01686163323458323,-0.03294464261457475,-0.0020973286004324354,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N3,-0.020512808938166538,-0.049460318379585866,0.008406844989612416,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N0,0.03435383222248101,0.01501941176235233,0.04883469742298996,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N1,-0.004213914224484805,-0.013318090446010178,0.005246660417124621,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N3,0.027589113377834207,-0.0028070511927139248,0.0720952602560293,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N0,0.10124052756250435,0.01229101175802838,0.17281190958928005,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N1,0.02185156358987872,0.005680790943465075,0.03653303427165666,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N3,-0.01477929997880656,-0.05472535601590911,0.026632201521856413,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N0,-0.05456820552052255,-0.10454181586085465,-0.0009052306508348096,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N1,-0.01686163323458323,-0.03294464261457475,-0.0020973286004324354,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N3,-0.020512808938166538,-0.049460318379585866,0.008406844989612416,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N0,0.03435383222248101,0.013800234478487328,0.04883469742298996,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N1,-0.004213914224484805,-0.013318090446010178,0.0053360752920967305,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N3,0.027589113377834207,-0.0026623941941592566,0.08021203380499586,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N0,0.10124052756250435,0.01229101175802827,0.17281190958928005,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N1,0.02185156358987872,0.005680790943465075,0.03653303427165688,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N3,-0.01477929997880656,-0.05472535601590911,0.03027376144237126,71,5,frozen_V2_common_cohort
