scenario,time_s,correct_cdf,error_cdf,unresolved_survival
nominal,1.10546875,0.7835,0.001,0.21550000000000002
nominal,1.109375,0.7851666666666667,0.001,0.21383333333333332
nominal,1.11328125,0.7885,0.001,0.21050000000000002
nominal,1.1171875,0.7906666666666666,0.001,0.20833333333333337
nominal,1.12109375,0.792,0.001,0.20699999999999996
nominal,1.125,0.7953333333333333,0.001,0.20366666666666666
nominal,1.12890625,0.7973333333333333,0.001,0.20166666666666666
nominal,1.1328125,0.7988333333333333,0.001,0.20016666666666671
nominal,1.13671875,0.8005,0.001,0.1985
nominal,1.140625,0.802,0.001,0.19699999999999995
nominal,1.14453125,0.8051666666666667,0.001,0.1938333333333333
nominal,1.1484375,0.8076666666666666,0.001,0.19133333333333336
nominal,1.15234375,0.8108333333333333,0.001,0.1881666666666667
nominal,1.15625,0.812,0.001,0.18699999999999994
nominal,1.16015625,0.8136666666666666,0.001,0.18533333333333335
nominal,1.1640625,0.8148333333333333,0.001,0.1841666666666667
nominal,1.16796875,0.8165,0.001,0.1825
nominal,1.171875,0.8191666666666667,0.001,0.1798333333333333
nominal,1.17578125,0.8221666666666667,0.001,0.1768333333333333
nominal,1.1796875,0.8226666666666667,0.001,0.17633333333333334
nominal,1.18359375,0.824,0.001,0.17500000000000004
nominal,1.1875,0.8251666666666667,0.001,0.17383333333333328
nominal,1.19140625,0.8266666666666667,0.001,0.17233333333333334
nominal,1.1953125,0.829,0.001,0.17000000000000004
nominal,1.19921875,0.83,0.001,0.16900000000000004
nominal,1.203125,0.832,0.001,0.16700000000000004
nominal,1.20703125,0.834,0.001,0.16500000000000004
nominal,1.2109375,0.8366666666666667,0.001,0.16233333333333333
nominal,1.21484375,0.8388333333333333,0.001,0.16016666666666668
nominal,1.21875,0.8401666666666666,0.001,0.15883333333333338
nominal,1.22265625,0.8411666666666666,0.001,0.15783333333333338
nominal,1.2265625,0.8426666666666667,0.001,0.15633333333333332
nominal,1.23046875,0.8443333333333334,0.001,0.15466666666666662
nominal,1.234375,0.845,0.001,0.15400000000000003
nominal,1.23828125,0.8468333333333333,0.001,0.15216666666666667
nominal,1.2421875,0.848,0.001,0.15100000000000002
nominal,1.24609375,0.8503333333333334,0.001,0.1486666666666666
nominal,1.25,0.8523333333333334,0.001,0.1466666666666666
nominal,1.25390625,0.8536666666666667,0.001,0.14533333333333331
nominal,1.2578125,0.8556666666666667,0.001,0.1433333333333333
nominal,1.26171875,0.8568333333333333,0.001,0.14216666666666666
nominal,1.265625,0.8581666666666666,0.001,0.14083333333333337
nominal,1.26953125,0.8596666666666667,0.001,0.1393333333333333
nominal,1.2734375,0.8603333333333333,0.001,0.13866666666666672
nominal,1.27734375,0.8628333333333333,0.001,0.13616666666666666
nominal,1.28125,0.864,0.001,0.135
nominal,1.28515625,0.8651666666666666,0.001,0.13383333333333336
nominal,1.2890625,0.8666666666666667,0.001,0.1323333333333333
nominal,1.29296875,0.8676666666666667,0.001,0.1313333333333333
nominal,1.296875,0.8693333333333333,0.001,0.1296666666666667
nominal,1.30078125,0.8711666666666666,0.001,0.12783333333333335
nominal,1.3046875,0.873,0.001,0.126
nominal,1.30859375,0.8743333333333333,0.001,0.1246666666666667
nominal,1.3125,0.876,0.001,0.123
nominal,1.31640625,0.8781666666666667,0.001,0.12083333333333335
nominal,1.3203125,0.8795,0.001,0.11950000000000005
nominal,1.32421875,0.88,0.001,0.119
nominal,1.328125,0.8813333333333333,0.001,0.1176666666666667
nominal,1.33203125,0.8821666666666667,0.001,0.11683333333333334
nominal,1.3359375,0.8841666666666667,0.001,0.11483333333333334
nominal,1.33984375,0.8851666666666667,0.001,0.11383333333333334
nominal,1.34375,0.8863333333333333,0.001,0.11266666666666669
nominal,1.34765625,0.887,0.001,0.11199999999999999
nominal,1.3515625,0.8881666666666667,0.001,0.11083333333333334
nominal,1.35546875,0.8895,0.001,0.10950000000000004
nominal,1.359375,0.8903333333333333,0.001,0.10866666666666669
nominal,1.36328125,0.8913333333333333,0.001,0.10766666666666669
nominal,1.3671875,0.8926666666666667,0.001,0.10633333333333328
nominal,1.37109375,0.8935,0.001,0.10550000000000004
nominal,1.375,0.8948333333333334,0.001,0.10416666666666663
nominal,1.37890625,0.8958333333333334,0.001,0.10316666666666663
nominal,1.3828125,0.8971666666666667,0.001,0.10183333333333333
nominal,1.38671875,0.898,0.001,0.10099999999999998
nominal,1.390625,0.899,0.001,0.09999999999999998
nominal,1.39453125,0.8998333333333334,0.001,0.09916666666666663
nominal,1.3984375,0.9005,0.001,0.09850000000000003
nominal,1.40234375,0.9018333333333334,0.001,0.09716666666666662
nominal,1.40625,0.9023333333333333,0.001,0.09666666666666668
nominal,1.41015625,0.903,0.001,0.09599999999999997
nominal,1.4140625,0.9038333333333334,0.001,0.09516666666666662
nominal,1.41796875,0.9055,0.001,0.09350000000000003
nominal,1.421875,0.9061666666666667,0.001,0.09283333333333332
nominal,1.42578125,0.907,0.001,0.09199999999999997
nominal,1.4296875,0.9076666666666666,0.001,0.09133333333333338
nominal,1.43359375,0.9093333333333333,0.001,0.08966666666666667
nominal,1.4375,0.9103333333333333,0.001,0.08866666666666667
nominal,1.44140625,0.9111666666666667,0.001,0.08783333333333332
nominal,1.4453125,0.9118333333333334,0.001,0.08716666666666661
nominal,1.44921875,0.9126666666666666,0.001,0.08633333333333337
nominal,1.453125,0.914,0.001,0.08499999999999996
nominal,1.45703125,0.9148333333333334,0.001,0.08416666666666661
nominal,1.4609375,0.9165,0.001,0.08250000000000002
nominal,1.46484375,0.9175,0.001,0.08150000000000002
nominal,1.46875,0.9183333333333333,0.001,0.08066666666666666
nominal,1.47265625,0.919,0.001,0.07999999999999996
nominal,1.4765625,0.9191666666666667,0.001,0.07983333333333331
nominal,1.48046875,0.9203333333333333,0.001,0.07866666666666666
nominal,1.484375,0.921,0.001,0.07799999999999996
nominal,1.48828125,0.9223333333333333,0.001,0.07666666666666666
nominal,1.4921875,0.9235,0.001,0.07550000000000001
nominal,1.49609375,0.924,0.001,0.07499999999999996
nominal,1.5,0.9248333333333333,0.001,0.07416666666666671
nominal,1.50390625,0.9253333333333333,0.001,0.07366666666666666
nominal,1.5078125,0.9265,0.001,0.07250000000000001
nominal,1.51171875,0.9268333333333333,0.001,0.07216666666666671
nominal,1.515625,0.9276666666666666,0.001,0.07133333333333336
nominal,1.51953125,0.9283333333333333,0.001,0.07066666666666666
nominal,1.5234375,0.9285,0.001,0.07050000000000001
nominal,1.52734375,0.9296666666666666,0.001,0.06933333333333336
nominal,1.53125,0.9305,0.001,0.0685
nominal,1.53515625,0.9311666666666667,0.001,0.0678333333333333
nominal,1.5390625,0.9316666666666666,0.001,0.06733333333333336
nominal,1.54296875,0.9325,0.001,0.0665
nominal,1.546875,0.9326666666666666,0.001,0.06633333333333336
nominal,1.55078125,0.933,0.001,0.06599999999999995
nominal,1.5546875,0.9336666666666666,0.001,0.06533333333333335
nominal,1.55859375,0.9346666666666666,0.001,0.06433333333333335
nominal,1.5625,0.9358333333333333,0.001,0.0631666666666667
nominal,1.56640625,0.9363333333333334,0.001,0.06266666666666665
nominal,1.5703125,0.9373333333333334,0.001,0.06166666666666665
nominal,1.57421875,0.9375,0.001,0.0615
nominal,1.578125,0.938,0.001,0.061000000000000054
nominal,1.58203125,0.9385,0.001,0.0605
nominal,1.5859375,0.939,0.001,0.06000000000000005
nominal,1.58984375,0.94,0.001,0.05900000000000005
nominal,1.59375,0.9413333333333334,0.001,0.057666666666666644
nominal,1.59765625,0.9418333333333333,0.001,0.0571666666666667
nominal,1.6015625,0.9421666666666667,0.001,0.05683333333333329
nominal,1.60546875,0.9426666666666667,0.001,0.056333333333333346
nominal,1.609375,0.9426666666666667,0.001,0.056333333333333346
nominal,1.61328125,0.9433333333333334,0.001,0.05566666666666664
nominal,1.6171875,0.9438333333333333,0.001,0.0551666666666667
nominal,1.62109375,0.9443333333333334,0.001,0.05466666666666664
nominal,1.625,0.9446666666666667,0.001,0.054333333333333345
nominal,1.62890625,0.9448333333333333,0.001,0.054166666666666696
nominal,1.6328125,0.9453333333333334,0.001,0.05366666666666664
nominal,1.63671875,0.9456666666666667,0.001,0.053333333333333344
nominal,1.640625,0.946,0.001,0.05300000000000005
nominal,1.64453125,0.9465,0.001,0.05249999999999999
nominal,1.6484375,0.9471666666666667,0.001,0.05183333333333329
nominal,1.65234375,0.9475,0.001,0.05149999999999999
nominal,1.65625,0.9483333333333334,0.001,0.05066666666666664
nominal,1.66015625,0.9486666666666667,0.001,0.05033333333333334
nominal,1.6640625,0.9488333333333333,0.001,0.05016666666666669
nominal,1.66796875,0.9493333333333334,0.001,0.04966666666666664
nominal,1.671875,0.9498333333333333,0.001,0.04916666666666669
nominal,1.67578125,0.9506666666666667,0.001,0.04833333333333334
nominal,1.6796875,0.9508333333333333,0.001,0.04816666666666669
nominal,1.68359375,0.9513333333333334,0.001,0.047666666666666635
nominal,1.6875,0.9518333333333333,0.001,0.04716666666666669
nominal,1.69140625,0.952,0.001,0.04700000000000004
nominal,1.6953125,0.9521666666666667,0.001,0.04683333333333328
nominal,1.69921875,0.9526666666666667,0.001,0.04633333333333334
nominal,1.703125,0.953,0.001,0.04600000000000004
nominal,1.70703125,0.9536666666666667,0.001,0.04533333333333334
nominal,1.7109375,0.9536666666666667,0.001,0.04533333333333334
nominal,1.71484375,0.9541666666666667,0.001,0.04483333333333328
nominal,1.71875,0.9546666666666667,0.001,0.044333333333333336
nominal,1.72265625,0.9546666666666667,0.001,0.044333333333333336
nominal,1.7265625,0.9553333333333334,0.001,0.04366666666666663
nominal,1.73046875,0.9558333333333333,0.001,0.043166666666666687
nominal,1.734375,0.9563333333333334,0.001,0.04266666666666663
nominal,1.73828125,0.957,0.001,0.04200000000000004
nominal,1.7421875,0.9573333333333334,0.001,0.04166666666666663
nominal,1.74609375,0.9576666666666667,0.001,0.04133333333333333
nominal,1.75,0.9581666666666667,0.001,0.04083333333333328
nominal,1.75390625,0.9585,0.001,0.04049999999999998
nominal,1.7578125,0.9588333333333333,0.001,0.040166666666666684
nominal,1.76171875,0.959,0.001,0.040000000000000036
nominal,1.765625,0.9591666666666666,0.001,0.03983333333333339
nominal,1.76953125,0.9593333333333334,0.001,0.03966666666666663
