dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,2,0,-1,M1,maintenance,1,363,23187.38332863436,21111.310490446205,13120.17498387342,0.3536093415313479
B1,2,0,-1,M1,maintenance,2,363,987.7440168375769,1776.3728806535803,1435.7558328932482,0.014401848989409502
B1,3,0,1,M1,encoding,0,205,28017.482515636024,27073.834143808774,26492.947717736857,0.43507754213645
B1,3,0,1,M1,encoding,1,205,52721.290092250725,58172.96910128798,45341.12129430885,0.8040036432736171
B1,3,0,1,M1,encoding,2,205,118089.1722392535,130412.34894993603,111778.51956338949,1.7218048369649184
B1,3,0,1,M1,maintenance,0,362,136616.62977079558,138451.38069961197,117859.47665975617,2.121490660785509
B1,3,0,1,M1,maintenance,1,362,173256.64657946108,166856.30089315234,142390.90765913122,2.642176904766811
B1,3,0,1,M1,maintenance,2,362,501160.1282411941,484578.61190955836,529445.2697527512,7.3071892751638226
B1,4,0,-1,M1,encoding,0,205,69156.74039303821,65704.85582198881,64780.75935849698,1.0739203501092494
B1,4,0,-1,M1,encoding,1,205,34069.89922285658,37830.415592298974,27552.3255268929,0.519568528258908
B1,4,0,-1,M1,encoding,2,205,37673.31497114461,51251.20817148876,39640.09870766429,0.5492975749749376
B1,4,0,-1,M1,maintenance,0,362,279431.11482995405,285328.6145673192,255191.16092851805,4.3392265014822895
B1,4,0,-1,M1,maintenance,1,362,48799.57721609727,46513.579505836446,34273.31392968702,0.744197226647938
B1,4,0,-1,M1,maintenance,2,362,91907.13696354111,78740.82239533214,97220.33980925562,1.3400564164749085
B1,5,0,1,M1,encoding,0,205,26753.57666554061,27761.7681547819,28386.409421524346,0.4154506163252354
B1,5,0,1,M1,encoding,1,205,36184.335028637484,32711.2184616875,44315.727069018765,0.5518138334921713
B1,5,0,1,M1,encoding,2,205,50745.012934154845,44203.480253441034,57039.79526879068,0.7398900937746758
B1,5,0,1,M1,maintenance,0,362,25300.32656927757,25356.678799456855,25819.481508708017,0.39288340388425963
B1,5,0,1,M1,maintenance,1,362,228862.95691717524,219099.36526688567,195995.98857759126,3.4901773239958724
B1,5,0,1,M1,maintenance,2,362,169974.05911981734,157552.65497803275,176895.21755556593,2.4783149174601453
B1,7,0,1,M1,encoding,0,205,10401.348653324761,10990.683343075365,11368.45274325536,0.1615203366136581
B1,7,0,1,M1,encoding,1,205,7675.677255056882,5730.354568523071,10944.564104464565,0.11705465603857178
B1,7,0,1,M1,encoding,2,205,6817.920759578373,4136.608465767525,8424.877271858772,0.09940902048243351
