dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,55,2,1,M2,encoding,1,205,1918.921531704164,1053.2669530917603,908.8619239117317,0.04469693688379365
A1,55,2,1,M2,encoding,2,205,1731.6994951061088,1258.3062884761641,951.898932565649,0.02848971838675658
A1,55,2,1,M2,maintenance,0,362,536.3924723761207,539.2043478428888,724.9460088514708,0.24322141599926794
A1,55,2,1,M2,maintenance,1,362,4033.098561129242,2983.783894194281,15334.6243592302,0.09394190896009191
A1,55,2,1,M2,maintenance,2,362,2190.764694560999,2613.3502467237304,1797.3726967850116,0.036042205576705594
A1,56,2,-1,M2,encoding,0,205,215.04599371571138,237.7551441550386,258.6577716876516,0.09751030036795398
A1,56,2,-1,M2,encoding,1,205,9008.974977975582,5216.763624832774,4730.951108768823,0.20984369570372308
A1,56,2,-1,M2,encoding,2,205,2798.3679343307813,1000.4140423726617,741.4805160449216,0.046038423304343934
A1,56,2,-1,M2,maintenance,0,363,495.11840553261476,448.8506805171944,1047.8840524964412,0.22450613288342514
A1,56,2,-1,M2,maintenance,1,363,8629.029841121963,5865.666462403459,20269.315706782727,0.20099373309677443
A1,56,2,-1,M2,maintenance,2,363,3555.4434875279626,1801.6870713494477,13906.601855633899,0.058493742122095294
A1,57,2,-1,M2,encoding,0,205,1862.9586496551024,1929.662281686082,1980.7205167333013,0.8447386271287457
A1,57,2,-1,M2,encoding,1,205,451.2291643445266,958.0996047332442,1117.5605889012293,0.010510362797859104
A1,57,2,-1,M2,encoding,2,205,945.5305100234989,695.0281638194796,747.9851841776582,0.015555757816401746
A1,57,2,-1,M2,maintenance,0,362,217.1391163379602,233.13609116243376,233.86692683414282,0.09845940438089486
A1,57,2,-1,M2,maintenance,1,362,10753.463769381091,7573.711675725865,26236.817227996875,0.2504776164324621
A1,57,2,-1,M2,maintenance,2,362,8695.069183061818,5810.668731692617,25005.800497219876,0.1430502654062493
A1,44,2,1,M3,encoding,0,205,187.2938215571114,172.87375548197065,169.16379857464958,0.08492637543036262
A1,44,2,1,M3,encoding,1,205,574.1841397560273,295.3068799840645,239.5561430441708,0.013374320851753885
A1,44,2,1,M3,encoding,2,205,1403.0236825351371,594.3026097134684,423.30966242228436,0.023082382202188594
A1,44,2,1,M3,maintenance,0,362,692.022938987277,815.6556218117125,641.2692828659136,0.3137903825884369
A1,44,2,1,M3,maintenance,1,362,1432.0161834518062,871.307850387768,7273.106527351173,0.03335557807383248
A1,44,2,1,M3,maintenance,2,362,1346.9700144355338,1179.2300902107022,11103.752051660429,0.022160193783692484
A1,45,2,-1,M3,encoding,0,205,274.7529948058454,234.54314550156215,258.34298091010953,0.12458379990064186
A1,45,2,-1,M3,encoding,1,205,14538.12075405353,14205.258884117271,15058.450092182877,0.33863264079163025
A1,45,2,-1,M3,encoding,2,205,15600.672684489522,13113.637246352611,14159.511021021644,0.2566604498535344
A1,45,2,-1,M3,maintenance,0,363,947.9514103750811,774.7268734657544,1167.128170351199,0.4298384041606371
A1,45,2,-1,M3,maintenance,1,363,11337.378631416339,10650.867969818131,11268.75033923249,0.2640785924508615
A1,45,2,-1,M3,maintenance,2,363,42496.81081300713,17676.613411203343,45812.36474908102,0.6991525815070235
A1,47,2,-1,M3,encoding,0,205,143.2827774215118,131.0901135495806,142.77040342660604,0.06497003930422694
A1,47,2,-1,M3,encoding,1,205,501.8811226967588,147.05783146108612,143.58418034343117,0.011690185603588768
A1,47,2,-1,M3,encoding,2,205,801.555799435678,76.3750425881826,74.22729096627138,0.013187102647849842
A1,47,2,-1,M3,maintenance,0,362,160.6144770403133,98.99559147487294,287.5379936566969,0.07282891268528921
A1,47,2,-1,M3,maintenance,1,362,1394.0959756601603,3851.0384267460513,1543.645619731321,0.0324723126008674
A1,47,2,-1,M3,maintenance,2,362,2199.346604184618,4504.266415735211,1964.9520411018432,0.036183394154220616
A1,48,2,1,M3,encoding,0,205,371.9756878945636,386.8852683645924,403.6678122970447,0.168668387768831
A1,48,2,1,M3,encoding,1,205,442.30673457685924,333.7236666923901,346.5708739007227,0.010302534977082433
A1,48,2,1,M3,encoding,2,205,381.1470409652314,315.6950596681799,415.19555413630627,0.006270586722310995
A1,48,2,1,M3,maintenance,0,362,440.75014789990576,497.84079757631235,520.7404799699012,0.19985342933547512
A1,48,2,1,M3,maintenance,1,362,3161.2487123136125,1606.319949155314,12369.808463491343,0.0736341386730758
A1,48,2,1,M3,maintenance,2,362,2121.360170258689,2136.949070951877,15689.47311391767,0.03490037042705773
A1,49,2,-1,M3,encoding,0,205,128.98176228869463,90.12291549100664,92.1091656958661,0.05848539731172757
A1,49,2,-1,M3,encoding,1,205,5966.279840291102,5609.769314918862,5112.307265000196,0.13897099440836042
A1,49,2,-1,M3,encoding,2,205,5344.983135245194,5386.300002183158,4749.264998383902,0.08793503996244346
A1,49,2,-1,M3,maintenance,0,363,263.44106941204535,138.5954957643792,494.8286843576179,0.11945452860462549
A1,49,2,-1,M3,maintenance,1,363,996.5007731908252,8521.365044595654,544.3366481479549,0.023211231636139983
