dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,77,3,1,M3,encoding,0,205,5099.594255643828,912.197549890895,5594.411965728906,0.059599378348891
B2,77,3,1,M3,encoding,1,205,10978.621566716163,3135.76414155638,15640.250835027566,0.07796573651002849
B2,77,3,1,M3,encoding,2,205,7029.629137871514,1834.0496115387846,3600.0881394720295,0.03650839365898804
B2,77,3,1,M3,maintenance,0,363,12114.42382905408,2242.7585628350994,26694.94108623023,0.14158226970068233
B2,77,3,1,M3,maintenance,1,363,13613.867778616499,9631.215142130142,29638.559433062583,0.09668019082904437
B2,77,3,1,M3,maintenance,2,363,12599.844347573602,2178.5990240744386,22307.229273664434,0.06543731802364679
B2,77,3,1,M3,retrieval,0,256,989.1239200977559,2308.5145788589743,5766.24442035078,0.011559972772853817
B2,77,3,1,M3,retrieval,1,256,1058.8353973741864,245.72083815770605,320.0758270945099,0.007519421367928587
B2,77,3,1,M3,retrieval,2,256,552.0030915892391,7198.863317257369,1066.3746716669325,0.0028668292129590744
B2,84,4,-1,M0,encoding,0,205,4856.761602542574,3288.75865297267,5832.047763170811,0.060235491975617284
B2,84,4,-1,M0,encoding,1,205,6546.285107904835,9602.377679466934,3875.348277612032,0.04822886172902414
B2,84,4,-1,M0,encoding,2,205,6656.6154808883575,8346.392920691465,5928.226155248909,0.03372769157184622
B2,84,4,-1,M0,maintenance,0,363,3400.0339556321105,3052.7518363213417,8660.04206114866,0.04216857544419879
B2,84,4,-1,M0,maintenance,1,363,17291.670784236303,17017.16617249756,2518.367983864699,0.12739402356761248
B2,84,4,-1,M0,maintenance,2,363,9462.402684602173,8749.83930649066,5085.336175343036,0.04794403405021081
B2,84,4,-1,M0,retrieval,0,329,1918.3323077996215,4636.8635740248665,15951.628352376252,0.023791921405518193
B2,84,4,-1,M0,retrieval,1,329,15054.939926466075,17437.44849347532,19178.256938741986,0.1109152143672341
B2,84,4,-1,M0,retrieval,2,329,7654.499281771323,11621.578489764635,30621.974975178855,0.03878376205651699
B2,85,4,-1,M0,encoding,0,205,178810.3912507919,223769.43111318018,156928.44567552826,2.217677697358144
B2,85,4,-1,M0,encoding,1,205,318177.16886530974,350117.03711581114,272162.1284888832,2.3441268489830134
B2,85,4,-1,M0,encoding,2,205,298784.756338677,333380.65510400507,257155.35903101505,1.5138804602868927
B2,85,4,-1,M0,maintenance,0,362,179204.24247324528,177050.63997024306,81219.97556757422,2.2225623971007167
B2,85,4,-1,M0,maintenance,1,362,180330.05797649088,179765.60237490304,121593.05142181137,1.3285570806002722
B2,85,4,-1,M0,maintenance,2,362,234832.34636503994,231738.59145686252,109270.1239573276,1.1898468481517306
B2,85,4,-1,M0,retrieval,0,374,390985.0094523095,433085.9941914429,259222.74092344104,4.849151827242645
