dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,43,2,-1,95698,95751,0.20703125,96266,platform_onset_hypothesis,96596,-1.0,,,96596,platform_end_proxy,2.21875,3.5078125,1.2890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4078125,0.1,zero_phase,False,90403,133255,False,block_boundary_24s_buffer,95634,96571,,,
A1,44,2,1,97879,97931,0.203125,98446,platform_onset_hypothesis,98713,1.0,,,98713,platform_end_proxy,2.21484375,3.2578125,1.04296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.1578125,0.1,zero_phase,False,90403,133255,True,retained,97815,98688,0.0,209.131567997916,8.803322823267393
A1,45,2,-1,99995,100048,0.20703125,100563,platform_onset_hypothesis,100811,-1.0,,,100811,platform_end_proxy,2.21875,3.1875,0.96875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.0875,0.1,zero_phase,False,90403,133255,True,retained,99931,100786,0.0,354.38299476009695,8.313913217267753
A1,46,2,-1,102096,102148,0.203125,102663,platform_onset_hypothesis,102949,-1.0,,,102949,platform_end_proxy,2.21484375,3.33203125,1.1171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.23203125,0.1,zero_phase,False,90403,133255,False,quality,102032,102924,0.11352657004830918,1010.6950144886556,11.450164597822095
A1,47,2,-1,104233,104285,0.203125,104800,platform_onset_hypothesis,105138,-1.0,,,105138,platform_end_proxy,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.43515625,0.1,zero_phase,False,90403,133255,True,retained,104169,105113,0.0,116.90182963451146,9.650279101339862
A1,48,2,1,106421,106473,0.203125,106988,platform_onset_hypothesis,107311,1.0,,,107311,platform_end_proxy,2.21484375,3.4765625,1.26171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3765625,0.1,zero_phase,False,90403,133255,True,retained,106357,107286,0.0,277.1395509097721,11.20839377000803
A1,49,2,-1,108593,108646,0.20703125,109161,platform_onset_hypothesis,109441,-1.0,,,109441,platform_end_proxy,2.21875,3.3125,1.09375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2125,0.1,zero_phase,False,90403,133255,True,retained,108529,109416,0.0,217.60129289327836,8.378262583915532
A1,50,2,-1,110726,110778,0.203125,111293,platform_onset_hypothesis,111553,-1.0,,,111553,platform_end_proxy,2.21484375,3.23046875,1.015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.13046875,0.1,zero_phase,False,90403,133255,True,retained,110662,111528,0.0,343.9466502091591,13.732992378431845
A1,51,2,1,112835,112887,0.203125,113402,platform_onset_hypothesis,113700,1.0,,,113700,platform_end_proxy,2.21484375,3.37890625,1.1640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.27890625,0.1,zero_phase,False,90403,133255,True,retained,112771,113675,0.007936507936507936,1052.9467813242914,12.395402729003251
A1,52,2,1,114983,115035,0.203125,115551,platform_onset_hypothesis,115865,1.0,,,115865,platform_end_proxy,2.21875,3.4453125,1.2265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3453125,0.1,zero_phase,False,90403,133255,True,retained,114919,115840,0.0,1137.1813168727076,11.70025147715478
