iteration,model,n,BA,AUC
1996,lateral_3windows,275,0.42420634920634925,0.35708994708994707
1997,all_9windows,275,0.4728835978835979,0.4832804232804233
1997,early_lateral,275,0.5062169312169312,0.513968253968254
1997,lateral_3windows,275,0.5242063492063492,0.5333862433862434
1998,all_9windows,275,0.4632275132275132,0.445978835978836
1998,early_lateral,275,0.4808201058201058,0.4678306878306878
1998,lateral_3windows,275,0.4398148148148148,0.39656084656084656
1999,all_9windows,275,0.5116402116402117,0.4997883597883598
1999,early_lateral,275,0.5316137566137566,0.5202645502645502
1999,lateral_3windows,275,0.5313492063492063,0.5321164021164022
2000,all_9windows,275,0.5038359788359789,0.5022751322751323
2000,early_lateral,275,0.4472222222222222,0.4519047619047619
2000,lateral_3windows,275,0.4361111111111111,0.4435978835978836
2001,all_9windows,275,0.4777777777777778,0.47507936507936516
2001,early_lateral,275,0.4793650793650793,0.46460317460317463
2001,lateral_3windows,275,0.5212962962962963,0.4828571428571429
2002,all_9windows,275,0.47870370370370374,0.4915343915343916
2002,early_lateral,275,0.5301587301587302,0.5094179894179894
2002,lateral_3windows,275,0.50489417989418,0.4935978835978836
2003,all_9windows,275,0.4603174603174603,0.4644973544973545
2003,early_lateral,275,0.45846560846560847,0.4273015873015873
2003,lateral_3windows,275,0.4718253968253968,0.46534391534391534
2004,all_9windows,275,0.5015873015873016,0.4563492063492064
2004,early_lateral,275,0.5134920634920634,0.5281481481481481
2004,lateral_3windows,275,0.5240740740740741,0.5254497354497354
2005,all_9windows,275,0.4880952380952381,0.5221164021164022
2005,early_lateral,275,0.5388888888888889,0.5487830687830688
2005,lateral_3windows,275,0.5387566137566138,0.5714285714285714
2006,all_9windows,275,0.4714285714285714,0.4848677248677249
2006,early_lateral,275,0.4033068783068783,0.3717989417989418
2006,lateral_3windows,275,0.4009259259259259,0.35492063492063497
2007,all_9windows,275,0.44417989417989423,0.40994708994708995
2007,early_lateral,275,0.5461640211640211,0.5151322751322751
2007,lateral_3windows,275,0.5387566137566138,0.5004761904761905
2008,all_9windows,275,0.43716931216931215,0.4324867724867725
2008,early_lateral,275,0.5170634920634921,0.5379365079365079
2008,lateral_3windows,275,0.5060846560846561,0.5221164021164022
2009,all_9windows,275,0.5302910052910053,0.5342328042328043
2009,early_lateral,275,0.5316137566137566,0.522910052910053
2009,lateral_3windows,275,0.546031746031746,0.5729100529100529
2010,all_9windows,275,0.5207671957671958,0.5216931216931218
2010,early_lateral,275,0.4624338624338624,0.4557142857142858
2010,lateral_3windows,275,0.5093915343915344,0.5199470899470899
2011,all_9windows,275,0.4288359788359788,0.3988888888888889
2011,early_lateral,275,0.35753968253968255,0.3421693121693122
2011,lateral_3windows,275,0.43597883597883597,0.41084656084656085
2012,all_9windows,275,0.5056878306878307,0.48693121693121694
2012,early_lateral,275,0.5388888888888889,0.5312169312169313
2012,lateral_3windows,275,0.5132275132275133,0.523068783068783
2013,all_9windows,275,0.48677248677248675,0.4391005291005291
2013,early_lateral,275,0.4740740740740741,0.4391005291005291
2013,lateral_3windows,275,0.47010582010582014,0.46142857142857135
2014,all_9windows,275,0.43267195767195765,0.3905820105820106
2014,early_lateral,275,0.4771164021164021,0.4850264550264551
2014,lateral_3windows,275,0.5096560846560847,0.5028042328042328
2015,all_9windows,275,0.46415343915343915,0.4404761904761905
2015,early_lateral,275,0.4826719576719577,0.4480952380952381
2015,lateral_3windows,275,0.4394179894179894,0.4137037037037037
2016,all_9windows,275,0.5164021164021164,0.4874603174603175
2016,early_lateral,275,0.4736772486772487,0.5004761904761905
2016,lateral_3windows,275,0.48068783068783066,0.5014814814814815
2017,all_9windows,275,0.5246031746031745,0.5441798941798942
2017,early_lateral,275,0.4677248677248677,0.43629629629629624
2017,lateral_3windows,275,0.4911375661375661,0.48888888888888893
2018,all_9windows,275,0.446957671957672,0.40253968253968253
2018,early_lateral,275,0.5316137566137566,0.532910052910053
2018,lateral_3windows,275,0.5317460317460317,0.5223280423280423
2019,all_9windows,275,0.5231481481481481,0.5233333333333333
2019,early_lateral,275,0.4916666666666667,0.4815873015873016
2019,lateral_3windows,275,0.5025132275132276,0.5096825396825396
2020,all_9windows,275,0.49669312169312174,0.49767195767195777
2020,early_lateral,275,0.5374338624338625,0.5197883597883599
2020,lateral_3windows,275,0.5630952380952381,0.5305820105820106
2021,all_9windows,275,0.510978835978836,0.5024338624338625
2021,early_lateral,275,0.4989417989417989,0.4891534391534392
2021,lateral_3windows,275,0.4724867724867725,0.4443386243386243
2022,all_9windows,275,0.47698412698412695,0.4917989417989419
2022,early_lateral,275,0.4914021164021164,0.5010582010582011
2022,lateral_3windows,275,0.5568783068783069,0.5457671957671958
2023,all_9windows,275,0.5773809523809523,0.5691005291005291
2023,early_lateral,275,0.5607142857142857,0.5535449735449736
2023,lateral_3windows,275,0.5531746031746032,0.5558730158730159
2024,all_9windows,275,0.5194444444444445,0.5313227513227513
2024,early_lateral,275,0.5461640211640211,0.5802116402116402
2024,lateral_3windows,275,0.5567460317460318,0.5734920634920635
2025,all_9windows,275,0.47605820105820107,0.4516931216931217
2025,early_lateral,275,0.5044973544973546,0.5007936507936508
2025,lateral_3windows,275,0.5302910052910053,0.5006878306878306
2026,all_9windows,275,0.49986772486772485,0.5075661375661376
2026,early_lateral,275,0.505026455026455,0.48873015873015874
2026,lateral_3windows,275,0.5195767195767196,0.4809523809523809
2027,all_9windows,275,0.5481481481481482,0.5793650793650794
2027,early_lateral,275,0.5097883597883598,0.5434920634920635
2027,lateral_3windows,275,0.5205026455026456,0.5296296296296297
2028,all_9windows,275,0.48134920634920636,0.493915343915344
2028,early_lateral,275,0.4832010582010582,0.45153439153439157
2028,lateral_3windows,275,0.44246031746031744,0.41238095238095235
2029,all_9windows,275,0.46706349206349207,0.433968253968254
2029,early_lateral,275,0.4388888888888889,0.4237037037037037
2029,lateral_3windows,275,0.4466931216931217,0.42026455026455023
2030,all_9windows,275,0.5576719576719577,0.539153439153439
2030,early_lateral,275,0.46097883597883593,0.4191005291005291
2030,lateral_3windows,275,0.533994708994709,0.5222222222222223
2031,all_9windows,275,0.4714285714285714,0.4770899470899471
2031,early_lateral,275,0.4576719576719577,0.4462433862433863
2031,lateral_3windows,275,0.49047619047619045,0.464973544973545
2032,all_9windows,275,0.5406084656084655,0.566878306878307
2032,early_lateral,275,0.5461640211640211,0.5414285714285714
2032,lateral_3windows,275,0.5351851851851852,0.5383597883597884
2033,all_9windows,275,0.5044973544973546,0.5264021164021164
2033,early_lateral,275,0.4281746031746032,0.4183068783068783
2033,lateral_3windows,275,0.4978835978835978,0.4873015873015873
2034,all_9windows,275,0.48822751322751323,0.46121693121693125
2034,early_lateral,275,0.4625661375661375,0.4432804232804233
2034,lateral_3windows,275,0.4623015873015873,0.45936507936507937
2035,all_9windows,275,0.49378306878306877,0.46925925925925926
