dataset,origin,held_block,method,alpha,gate,level,weight,contrast_normalized,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,1,gated,0.05,1.0,1.0,0.25,0.3112755220122994,42.286383351029016,0.4374055318513219,30.092705951597086,2.7412965209105606,78.125,1,0.6213989517639664
A1,semisynthetic,1,gated,0.05,2.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.1,0.0,1.0,0.25,0.31831118512402873,41.31876083435655,0.4273965547765271,30.772881957172633,2.739691110753093,78.125,1,0.614891200065266
A1,semisynthetic,1,gated,0.1,1.0,1.0,0.25,0.312851741897656,42.27385189214165,0.4372759078682539,30.245087742553405,2.742462641139349,78.125,1,0.6220694999383716
A1,semisynthetic,1,gated,0.1,2.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.15,0.0,1.0,0.25,0.3243099780723227,40.99825081271393,0.4240812356271807,31.35281805716058,2.739471465788753,78.125,1,0.6145730054075788
A1,semisynthetic,1,gated,0.15,1.0,1.0,0.25,0.31460671490507036,42.27023586186133,0.43723850406299525,30.414750574772583,2.7436287613681363,78.125,1,0.6229216448516149
A1,semisynthetic,1,gated,0.15,2.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,gated,0.25,0.0,1.0,0.25,0.33955979762228883,40.71897215339506,0.4211924089923741,32.827101459097705,2.739032175860073,78.125,1,0.6193045445827796
A1,semisynthetic,1,gated,0.25,1.0,1.0,0.25,0.3186408054927512,42.28975359640977,0.43744039328558076,30.80474815971724,2.7459610018257123,78.125,1,0.6251647037976304
A1,semisynthetic,1,gated,0.25,2.0,1.0,0.25,0.3098807829637971,42.307822316348954,0.4376272940661291,29.95786890500101,2.740130400681773,78.125,1,0.6209112822397277
A1,semisynthetic,1,shrink,0.0,0.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,shrink,0.05,0.0,2.0,0.25,0.6039202961449728,81.25173370141407,0.840458676697026,58.38427568157449,3.9684849184515425,78.125,1,1.1834683806511224
A1,semisynthetic,1,shrink,0.1,0.0,2.0,0.25,0.5954865697204125,77.62123321106003,0.8029051932343371,57.568941254601846,4.0439354803904175,78.125,1,1.1424784859930446
A1,semisynthetic,1,shrink,0.15,0.0,2.0,0.25,0.5890589343326303,74.35539392875154,0.7691237237631645,56.94754661220217,4.119381160253328,78.125,1,1.1062636003452349
A1,semisynthetic,1,shrink,0.25,0.0,2.0,0.25,0.5824669117220235,69.11898121796435,0.7149588672479724,56.310259758533554,4.268918117135671,78.125,1,1.0503495257705362
A1,semisynthetic,1,gated,0.0,0.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.0,1.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.0,2.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.05,0.0,2.0,0.25,0.6140046658206384,83.59333708255876,0.8646799553013482,59.35918681302226,3.893626415341125,78.125,1,1.2119575162654566
A1,semisynthetic,1,gated,0.05,1.0,2.0,0.25,0.6152946389833799,85.1225876356006,0.8804983488001367,59.48389556885658,3.88379848725407,78.125,1,1.2283192373771428
A1,semisynthetic,1,gated,0.05,2.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.1,0.0,2.0,0.25,0.6142954347720262,82.04699400623132,0.8486847586889816,59.38729703671542,3.8921500622654737,78.125,1,1.1960924329007647
A1,semisynthetic,1,gated,0.1,1.0,2.0,0.25,0.6164474933135454,85.05019378356023,0.8797495150421957,59.59534829773941,3.8724942060913636,78.125,1,1.2280299005877926
A1,semisynthetic,1,gated,0.1,2.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.15,0.0,2.0,0.25,0.6151489989012057,80.56475297374051,0.8333526263151517,59.46981574613457,3.8913813598360534,78.125,1,1.1811791312211701
A1,semisynthetic,1,gated,0.15,1.0,2.0,0.25,0.617735294446607,84.9831240286033,0.879055753137931,59.719847071593605,3.8611899249286576,78.125,1,1.2278631090535668
A1,semisynthetic,1,gated,0.15,2.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,1,gated,0.25,0.0,2.0,0.25,0.6185336567960168,77.80707384579762,0.8048275075879244,59.797029123263776,3.887896872915937,78.125,1,1.1543102983056213
A1,semisynthetic,1,gated,0.25,1.0,2.0,0.25,0.6207122894021445,84.8650063002305,0.8778339568123601,60.00764944435081,3.838581362603245,78.125,1,1.2278959498127808
A1,semisynthetic,1,gated,0.25,2.0,2.0,0.25,0.6142774912467805,85.20029201322635,0.8813021140297241,59.38556233806175,3.8951027684167765,78.125,1,1.2287313589349227
A1,semisynthetic,2,shrink,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,2,shrink,0.05,0.0,0.0,0.5,0.04126495408126762,4.780728144786598,0.04945130727894418,3.989308639645222,0.2179712364911508,0.0,2,0.07233845395718326
A1,semisynthetic,2,shrink,0.1,0.0,0.0,0.5,0.0825299081625351,9.56145628957319,0.0989026145578883,7.978617279290431,0.4359424729823012,1.953125,2,0.1446769079143664
A1,semisynthetic,2,shrink,0.15,0.0,0.0,0.5,0.12379486224380268,14.34218443435979,0.14835392183683252,11.967925918935649,0.6545667416782096,50.78125,2,0.21702211676227812
A1,semisynthetic,2,shrink,0.25,0.0,0.0,0.5,0.20632477040633776,23.903640723932988,0.2472565363947209,19.946543198226077,1.0922084400523442,58.59375,2,0.36171660127051125
A1,semisynthetic,2,gated,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
