dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,1,asymmetric_burst,20260927,2.0,uncorrected,12,34.368525933216944,0.6366807485284585,33.96738020916723,13.279499747774345,64.84375,5,1.1973096915764851
A1,semisynthetic,1,asymmetric_burst,20260927,2.0,V7,12,31.47293064249822,0.5830395251395764,31.140339537211208,11.480259446033559,64.0625,5,1.0841517216259298
A1,semisynthetic,1,asymmetric_burst,20260927,2.0,shrink,12,34.368525933216944,0.6366807485284585,33.96738020916723,13.279499747774345,64.84375,5,1.1973096915764851
A1,semisynthetic,1,asymmetric_burst,20260927,2.0,gated,12,34.368525933216944,0.6366807485284585,33.96738020916723,13.279499747774345,64.84375,5,1.1973096915764851
A1,semisynthetic,1,asymmetric_burst,20260928,0.0,uncorrected,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260928,0.0,V7,12,6.177472142359287,0.11443835546667185,1.1894816912400343,0.3554725847051882,12.5,5,0.13204116448026806
A1,semisynthetic,1,asymmetric_burst,20260928,0.0,shrink,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260928,0.0,gated,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260928,0.5,uncorrected,12,8.462256593355853,0.15676424041481682,10.670430482513577,1.5646482782768674,5.46875,5,0.28458497613380435
A1,semisynthetic,1,asymmetric_burst,20260928,0.5,V7,12,10.090563608285477,0.18692880816829027,11.232503157341691,1.577397719301456,5.46875,5,0.3201919579636567
A1,semisynthetic,1,asymmetric_burst,20260928,0.5,shrink,12,8.462256593355853,0.15676424041481682,10.670430482513577,1.5646482782768674,5.46875,5,0.28458497613380435
A1,semisynthetic,1,asymmetric_burst,20260928,0.5,gated,12,8.462256593355853,0.15676424041481682,10.670430482513577,1.5646482782768674,5.46875,5,0.28458497613380435
A1,semisynthetic,1,asymmetric_burst,20260928,1.0,uncorrected,12,16.924513186711707,0.31352848082963364,21.340860965027154,2.7296988115320993,5.46875,5,0.5617673597937555
A1,semisynthetic,1,asymmetric_burst,20260928,1.0,V7,12,16.696157704032494,0.30929817022727346,19.930719346980432,2.615089304127592,5.46875,5,0.5423523805666363
A1,semisynthetic,1,asymmetric_burst,20260928,1.0,shrink,12,16.924513186711707,0.31352848082963364,21.340860965027154,2.7296988115320993,5.46875,5,0.5617673597937555
A1,semisynthetic,1,asymmetric_burst,20260928,1.0,gated,12,16.924513186711707,0.31352848082963364,21.340860965027154,2.7296988115320993,5.46875,5,0.5617673597937555
