dataset,fold,seed,level,stage,n_trials,V7_policy,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,4,2027,1.0,未校正,18,训练均值保护,41.87530089664242,0.4104857118229322,32.411754256915,13.091959916346958,48.4375,5,0.6976799107110196
VisualCogA_Task-1,4,2027,1.0,V7,18,训练均值保护,39.03057625113084,0.38260008960530917,30.35344225690239,12.188707721974465,49.21875,5,0.6508517152767908
VisualCogA_Task-1,4,2027,2.0,未校正,18,训练均值保护,83.7795261047343,0.8212549563326772,64.29345013465897,26.175496982585077,77.34375,5,1.392962820410947
VisualCogA_Task-1,4,2027,2.0,V7,18,训练均值保护,76.11698012037097,0.7461422866821164,60.20748063888679,24.321400129711005,61.71875,5,1.279648722217377
VisualCogA_Task-1,4,2039,0.0,未校正,18,训练均值保护,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,6,1.289719718440583e-16
VisualCogA_Task-1,4,2039,0.0,V7,18,训练均值保护,7.479213008636188,0.07331553469437929,1.5485051531553724,1.6146419088178832,0.0,6,0.09673284829715996
VisualCogA_Task-1,4,2039,0.5,未校正,18,训练均值保护,21.266206793938004,0.20846355361432758,17.228022133147817,4.639993697031944,35.15625,4,0.33838690851324155
VisualCogA_Task-1,4,2039,0.5,V7,18,训练均值保护,20.537579038457775,0.2013211265401802,15.727270619456144,4.931211883990521,35.15625,4,0.32674355564564694
VisualCogA_Task-1,4,2039,1.0,未校正,18,训练均值保护,42.317240848931704,0.41481786065563475,34.601574578952004,8.64766453442916,78.125,4,0.6691794649800782
VisualCogA_Task-1,4,2039,1.0,V7,18,训练均值保护,38.33040182276544,0.37573657835945135,32.002861098962605,8.642862105749813,72.265625,4,0.6173140666722892
VisualCogA_Task-1,4,2039,2.0,未校正,18,训练均值保护,83.65377738752338,0.8200222952988484,67.69940921992594,15.545911690669087,83.0078125,4,1.3042264510646433
VisualCogA_Task-1,4,2039,2.0,V7,18,训练均值保护,74.9071717689351,0.7342830514843987,62.533440887932784,15.096927524922618,75.1953125,4,1.1887661150495183
VisualCogA_Task-1,4,2053,0.0,未校正,18,训练均值保护,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,6,1.289719718440583e-16
VisualCogA_Task-1,4,2053,0.0,V7,18,训练均值保护,7.479213008636188,0.07331553469437929,1.5485051531553724,1.6146419088178832,0.0,6,0.09673284829715996
VisualCogA_Task-1,4,2053,0.5,未校正,18,训练均值保护,19.305944191315497,0.18924793551564328,15.134322962983582,3.1569117592838563,22.786458333333332,6,0.2943714508963772
VisualCogA_Task-1,4,2053,0.5,V7,18,训练均值保护,21.0695102858427,0.20653542165086128,14.102368209539847,3.447016614245218,42.96875,5,0.3094448050518645
VisualCogA_Task-1,4,2053,1.0,未校正,18,训练均值保护,38.59216837316548,0.37830256419051694,29.459520222643324,5.583676740346882,32.2265625,4,0.577426520486576
VisualCogA_Task-1,4,2053,1.0,V7,18,训练均值保护,37.941770534265146,0.37192699161784304,27.721414670862476,5.50270079474443,32.2265625,4,0.5617382216135759
VisualCogA_Task-1,4,2053,2.0,未校正,18,训练均值保护,77.08684812384944,0.755649489000848,57.8114319617147,9.733558980694712,43.9453125,4,1.1344138189829265
VisualCogA_Task-1,4,2053,2.0,V7,18,训练均值保护,71.83441176041055,0.7041620958768564,53.37130286655399,9.374797505298694,48.828125,4,1.0576472944128887
VisualCogA_Task-1,5,2027,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2027,0.0,V7,18,保守比例,19.265426011202255,0.14376208239634072,13.191072657249306,2.8439829413727407,0.9765625,4,0.21420147710716264
VisualCogA_Task-1,5,2027,0.5,未校正,18,保守比例,17.582545462870677,0.13120412432618095,13.281661363002323,3.7471294141192026,21.484375,4,0.2087209554789471
VisualCogA_Task-1,5,2027,0.5,V7,18,保守比例,24.83072193626814,0.18529132399598766,20.96241463606525,4.737425654885589,9.765625,4,0.29885550711553877
VisualCogA_Task-1,5,2027,1.0,未校正,18,保守比例,35.19958298110215,0.26266563458828224,26.9939570085596,7.291808030724876,30.2734375,4,0.41779530787074576
VisualCogA_Task-1,5,2027,1.0,V7,18,保守比例,35.98239046828078,0.26850708519554156,31.064757990079364,6.872868056445644,30.2734375,4,0.4356990782951531
VisualCogA_Task-1,5,2027,2.0,未校正,18,保守比例,70.67409167638057,0.5273828144240612,53.79910543444657,14.379907799798042,47.8515625,4,0.8354175913697581
VisualCogA_Task-1,5,2027,2.0,V7,18,保守比例,63.3875136403302,0.4730090553700475,52.00952330954086,12.8492449309109,48.828125,4,0.7629446577777365
VisualCogA_Task-1,5,2039,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2039,0.0,V7,18,保守比例,19.265426011202255,0.14376208239634072,13.191072657249306,2.8439829413727407,0.9765625,4,0.21420147710716264
VisualCogA_Task-1,5,2039,0.5,未校正,18,保守比例,17.12075531362264,0.12775816297305997,16.404454116222475,4.218998964710658,33.854166666666664,3,0.2204475910665868
VisualCogA_Task-1,5,2039,0.5,V7,18,保守比例,28.142764611279446,0.2100063835886646,26.9732412939832,6.754326410202791,35.15625,3,0.36104797991382986
VisualCogA_Task-1,5,2039,1.0,未校正,18,保守比例,34.228333977780615,0.2554179994121027,32.604051018041936,8.308194289915482,33.854166666666664,3,0.4390638967034219
VisualCogA_Task-1,5,2039,1.0,V7,18,保守比例,40.618079830928345,0.30309943502104075,41.15030194284117,10.500270602133645,44.270833333333336,3,0.5349898336117924
VisualCogA_Task-1,5,2039,2.0,未校正,18,保守比例,66.8841591977436,0.4991016549545762,62.62315832101555,15.820691212744656,41.666666666666664,3,0.8508111542922074
VisualCogA_Task-1,5,2039,2.0,V7,18,保守比例,66.42647206811326,0.49568631107360506,66.55667454746394,16.94415069774511,42.96875,3,0.8704555712865095
VisualCogA_Task-1,5,2053,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2053,0.0,V7,18,保守比例,19.265426011202255,0.14376208239634072,13.191072657249306,2.8439829413727407,0.9765625,4,0.21420147710716264
VisualCogA_Task-1,5,2053,0.5,未校正,18,保守比例,16.2652369122755,0.12137413041470711,12.765005036151212,3.723266092061516,36.1328125,4,0.1967851978244863
VisualCogA_Task-1,5,2053,0.5,V7,18,保守比例,23.927725520374445,0.1785530019329393,17.45712760707225,4.035015240427544,36.1328125,4,0.27379712999548844
VisualCogA_Task-1,5,2053,1.0,未校正,18,保守比例,32.52490988034479,0.24270674167458434,26.126829449010025,8.282620444620983,54.6875,4,0.40199470473518284
VisualCogA_Task-1,5,2053,1.0,V7,18,保守比例,33.94083468905945,0.2532726278843727,26.179156399685997,7.983644332880917,36.1328125,4,0.41052481386480727
VisualCogA_Task-1,5,2053,2.0,未校正,18,保守比例,64.97329316211297,0.48484242807306505,52.68361055000571,17.405118681965938,54.6875,4,0.8112898620841921
VisualCogA_Task-1,5,2053,2.0,V7,18,保守比例,58.68275637365873,0.43790130839197805,47.081290938445065,16.099919984784197,54.6875,4,0.7337063548894066
VisualCogA_Task-2,1,2027,0.0,未校正,19,训练均值保护,1.3793062589784674e-14,1.0068825578393047e-16,9.271327876054924e-15,3.552713678800501e-15,0.0,6,1.604627586959379e-16
VisualCogA_Task-2,1,2027,0.0,V7,19,训练均值保护,10.058496268898155,0.07342621977765841,4.536011917714286,2.2548999058038213,0.0,6,0.10644307151912011
VisualCogA_Task-2,1,2027,0.5,未校正,19,训练均值保护,33.63158275878201,0.24550786927789423,21.74067826552665,11.339398221795557,67.70833333333333,6,0.4076371789285257
VisualCogA_Task-2,1,2027,0.5,V7,19,训练均值保护,33.81742229288236,0.24686448304096967,22.607122517359187,10.310049827709138,67.70833333333333,6,0.40464211852364
VisualCogA_Task-2,1,2027,1.0,未校正,19,训练均值保护,67.00747377655105,0.4891492092586605,43.377451006453924,20.512362718966816,102.21354166666667,6,0.7972137843025991
VisualCogA_Task-2,1,2027,1.0,V7,19,训练均值保护,63.630625772768546,0.4644984884100418,42.12763302475304,18.477257318338214,100.91145833333333,6,0.7531451707492423
VisualCogA_Task-2,1,2027,2.0,未校正,19,训练均值保护,134.18814087808283,0.9795627159633896,86.86885620457959,38.366361544827576,119.79166666666667,6,1.576701950103922
VisualCogA_Task-2,1,2027,2.0,V7,19,训练均值保护,121.6731859663205,0.8882045441957116,80.90272931142394,33.56519095235057,120.44270833333333,6,1.428519491278574
VisualCogA_Task-2,1,2039,0.0,未校正,19,训练均值保护,1.3793062589784674e-14,1.0068825578393047e-16,9.271327876054924e-15,3.552713678800501e-15,0.0,6,1.604627586959379e-16
VisualCogA_Task-2,1,2039,0.0,V7,19,训练均值保护,10.058496268898155,0.07342621977765841,4.536011917714286,2.2548999058038213,0.0,6,0.10644307151912011
VisualCogA_Task-2,1,2039,0.5,未校正,19,训练均值保护,37.77965323789332,0.2757884526285314,35.66699895105089,13.851476033160877,79.42708333333333,6,0.5070862443813916
VisualCogA_Task-2,1,2039,0.5,V7,19,训练均值保护,37.901967954234486,0.27668134029324915,32.0134216303619,12.74653280974979,31.901041666666668,6,0.4865777233393795
VisualCogA_Task-2,1,2039,1.0,未校正,19,训练均值保护,75.91357577522187,0.5541630428610745,72.03559643706471,22.444783145036492,56.25,5,0.9809352196569286
VisualCogA_Task-2,1,2039,1.0,V7,19,训练均值保护,72.20239643848433,0.5270717299720709,65.41430078807902,20.87697156384455,56.25,5,0.9182315425613778
VisualCogA_Task-2,1,2039,2.0,未校正,19,训练均值保护,151.92959912937386,1.1090739448697904,142.86132574041608,36.20569958462469,56.25,5,1.89481079801295
VisualCogA_Task-2,1,2039,2.0,V7,19,训练均值保护,139.00857204051317,1.0147514786266636,130.06232256783932,33.5585422556982,57.03125,5,1.7344484438975134
