iteration,dataset,model,n,BA,AUC,recall_left,recall_right
3,A1,past_only,67,0.4901785714285714,0.41607142857142854,0.4375,0.5428571428571428
3,A1,post_erp,67,0.5629464285714285,0.5955357142857143,0.46875,0.6571428571428571
3,A1,post_given_past,67,0.5642857142857143,0.6053571428571428,0.5,0.6285714285714286
3,A2,past_only,70,0.46593776282590416,0.4970563498738436,0.4146341463414634,0.5172413793103449
3,A2,post_erp,70,0.5218671152228764,0.5231286795626576,0.5609756097560976,0.4827586206896552
3,A2,post_given_past,70,0.5046257359125316,0.5121951219512195,0.5609756097560976,0.4482758620689655
3,B1,past_only,69,0.4487394957983193,0.39075630252100846,0.4857142857142857,0.4117647058823529
3,B1,post_erp,69,0.5348739495798319,0.5781512605042017,0.6285714285714286,0.4411764705882353
3,B1,post_given_past,69,0.623109243697479,0.6873949579831933,0.6285714285714286,0.6176470588235294
3,B2,past_only,69,0.5586993243243243,0.5523648648648649,0.46875,0.6486486486486487
3,B2,post_erp,69,0.5650337837837838,0.5751689189189189,0.5625,0.5675675675675675
3,B2,post_given_past,69,0.5202702702702703,0.5016891891891893,0.5,0.5405405405405406
4,pooled,past_only,275,0.5227513227513227,0.5438095238095237,0.5714285714285714,0.4740740740740741
4,pooled,post_erp,275,0.5120370370370371,0.5406878306878307,0.55,0.4740740740740741
4,pooled,post_given_past,275,0.5304232804232805,0.5311111111111111,0.5571428571428572,0.5037037037037037
4,A1,past_only,67,0.54375,0.5,0.6875,0.4
4,A1,post_erp,67,0.40714285714285714,0.43839285714285714,0.5,0.3142857142857143
4,A1,post_given_past,67,0.49419642857142854,0.4642857142857143,0.53125,0.45714285714285713
4,A2,past_only,70,0.5634987384356602,0.6030277544154752,0.6097560975609756,0.5172413793103449
4,A2,post_erp,70,0.5584524810765349,0.6223717409587889,0.6341463414634146,0.4827586206896552
4,A2,post_given_past,70,0.5756938603868798,0.5719091673675357,0.6341463414634146,0.5172413793103449
4,B1,past_only,69,0.565546218487395,0.6176470588235294,0.5428571428571428,0.5882352941176471
4,B1,post_erp,69,0.5651260504201681,0.5504201680672269,0.5714285714285714,0.5588235294117647
4,B1,post_given_past,69,0.49243697478991594,0.5193277310924369,0.5142857142857142,0.47058823529411764
4,B2,past_only,69,0.42145270270270274,0.410472972972973,0.4375,0.40540540540540543
4,B2,post_erp,69,0.5046452702702703,0.5152027027027026,0.46875,0.5405405405405406
4,B2,post_given_past,69,0.5494087837837838,0.5523648648648648,0.53125,0.5675675675675675
5,pooled,past_only,275,0.5242063492063492,0.5228571428571428,0.4928571428571429,0.5555555555555556
5,pooled,post_erp,275,0.5092592592592593,0.4970899470899471,0.5,0.5185185185185185
5,pooled,post_given_past,275,0.5044973544973546,0.4937566137566137,0.5571428571428572,0.45185185185185184
5,A1,past_only,67,0.5642857142857143,0.5258928571428572,0.5,0.6285714285714286
5,A1,post_erp,67,0.5200892857142857,0.5330357142857143,0.46875,0.5714285714285714
5,A1,post_given_past,67,0.465625,0.4794642857142857,0.53125,0.4
5,A2,past_only,70,0.4701429772918419,0.47014297729184185,0.5609756097560976,0.3793103448275862
5,A2,post_erp,70,0.4142136248948696,0.4112699747687132,0.4146341463414634,0.41379310344827586
5,A2,post_given_past,70,0.3889823380992431,0.3507148864592094,0.5365853658536586,0.2413793103448276
