dataset,trial_id,block,truth,past_only_common_dct0,past_only_common_dct1,past_only_common_dct2,past_only_common_dct3,past_only_common_dct4,past_only_common_dct5,past_only_midline_dct0,past_only_midline_dct1,past_only_midline_dct2,past_only_midline_dct3,past_only_midline_dct4,past_only_midline_dct5,past_only_lateral_dct0,past_only_lateral_dct1,past_only_lateral_dct2,past_only_lateral_dct3,past_only_lateral_dct4,past_only_lateral_dct5,post_erp_common_dct0,post_erp_common_dct1,post_erp_common_dct2,post_erp_common_dct3,post_erp_common_dct4,post_erp_common_dct5,post_erp_midline_dct0,post_erp_midline_dct1,post_erp_midline_dct2,post_erp_midline_dct3,post_erp_midline_dct4,post_erp_midline_dct5,post_erp_lateral_dct0,post_erp_lateral_dct1,post_erp_lateral_dct2,post_erp_lateral_dct3,post_erp_lateral_dct4,post_erp_lateral_dct5,post_given_past_common_dct0,post_given_past_common_dct1,post_given_past_common_dct2,post_given_past_common_dct3,post_given_past_common_dct4,post_given_past_common_dct5,post_given_past_midline_dct0,post_given_past_midline_dct1,post_given_past_midline_dct2,post_given_past_midline_dct3,post_given_past_midline_dct4,post_given_past_midline_dct5,post_given_past_lateral_dct0,post_given_past_lateral_dct1,post_given_past_lateral_dct2,post_given_past_lateral_dct3,post_given_past_lateral_dct4,post_given_past_lateral_dct5
A1,13,0,-1,-0.19957445928303308,0.5268476791365625,-0.6608685939884891,0.5657370358059106,-1.7536914614225538,1.0297735982128384,-0.0715277694492998,-0.30667477067628507,0.2531178359166332,0.7438284956032137,-0.5909655015219207,1.2412436701879095,-0.11492611540079618,0.0018526049191734165,0.7304731253705361,0.30124169037887155,0.8703013716448502,-0.5664334627622309,0.09380071760538278,-0.09476993959109833,-0.404962985857555,-0.07072556675636309,0.015082947872185237,-0.47009327648598803,-0.08493036524781723,0.1308398447279746,0.010436729864963376,0.1614155090358136,-0.20469951510366255,0.13735461211348657,-0.03908094419942118,0.15534693785842785,0.3323197664146471,0.37684174585390784,0.6378992011464076,-1.0412625209821231,0.183793245919199,-0.22470795677359265,-0.3262961853129584,-0.005553115818883722,0.01493691174754032,-0.491170776860037,-0.17729409207393979,0.1910492154132803,0.1142734065427367,0.23746178570697096,-0.0806803150923741,0.1993378736521695,-0.11828363787519405,0.22910161418784616,0.2634493215710989,0.6671305874382976,0.6039444410764961,-0.9442264531159886
A1,15,0,1,0.673347268770924,0.37265148757999966,-1.0956577652715762,1.8891448254064032,0.7139838081088486,-1.9519597661511427,0.5805602625471884,-0.3473300647841935,-0.07770148245800342,0.07654536763563864,0.2951554023726686,-0.6765881826483334,1.0668891526743465,-0.4468403954214654,0.12302568682802305,1.0929300953661338,1.1855111100886047,-0.8699256566473704,-0.4540682024660691,0.4967652289213445,0.2646437943242405,-0.34800426004802004,0.695704883462125,0.8615955410717271,0.3357016068792831,-0.388728531516332,-0.3187061581161646,-0.11970785229558424,-1.1960632272509288,0.732459734435726,0.27292837963202204,-0.05809544180229242,-0.24935184166295277,0.5605648464832543,0.20854050713379674,-0.3205767257287211,-0.4155618906960578,0.467562962736558,0.20115582296552198,-0.35741467188920784,0.8172717737106922,0.7172095526092832,0.33307184799241174,-0.33143256497160023,-0.35539875472973287,-0.07968547578948329,-1.1596830824087294,0.8103449877055587,0.047959474337171765,0.22374014180013907,-0.19462660806774132,0.9614718966782337,0.03630086295158663,-0.1926757735020382
A1,16,0,-1,-0.23755184524320486,-0.42261974959422843,-1.0674538534671565,-0.9391910745326222,-1.6862181818945507,-0.5144712623289796,-0.497498062334271,0.27443422839464354,-0.5049872049965263,-0.3825706742037018,-1.0507339507713493,0.1159271072944528,0.4699822147000721,-1.1377737139145856,0.5038416965769444,0.7533754905611504,-0.11260187597371016,-0.2367084275860366,-0.4430698590935444,0.31039686456865967,-0.06307702256433992,0.34910465805891067,0.04518933485222638,0.34133643735639035,0.3966364320243792,-0.25774880250103777,-0.3151444051013735,-0.5015910156169531,-0.7833953738332954,-0.11374042888970227,0.5604117893983894,-0.5201521538873244,-0.2326542276596867,-0.5315941549469704,0.9904013948089107,-0.8210669153845148,-0.9376349464706756,0.7089809754089196,0.379311160866324,0.39271040459088735,0.09384057171732751,0.2864117386146059,0.916960050442805,-0.6766920564793306,-0.9129483504782223,-0.8853798671455211,-1.3705158368862709,-0.4936276243860857,0.16918637984110907,-0.24999575144935804,-0.12743827074941094,-0.35231798320091945,0.8174371866790184,-0.6684678288712612
A1,17,0,1,1.2486265658884161,-1.1514100055913359,0.005307298123842309,1.1953447077238262,-2.1107452741877983,0.6320423870433927,-1.7574051781760631,0.8891052298319548,-0.42115647195266076,0.7707953252308701,-0.6664339979622793,1.4042239105320733,0.05081218914256773,0.6606369380687976,0.5743573421632573,1.5698951131881769,0.534665354934996,-0.4685882667634906,0.1727861481121975,-0.5302484319111247,0.09339980470082132,0.4472912476138821,-0.01413427090032521,1.3530952447869016,-0.1510051693640545,0.2955359506335935,-0.24684174360736502,0.05634330350573588,-0.2428379208795191,0.18673877088997454,-0.012978414909350611,0.11435284315805147,-0.06859027015357434,0.3396822654332373,1.614047427668796,-0.19591908058738444,-0.5026422045340252,0.1811105356470597,0.3935553660093628,0.8286860994358225,0.22689133108293105,1.5665294059744268,0.48507711497151096,-0.45084652688398386,-0.4630532515321343,-0.6177651758014656,-0.3954088094729421,-0.5292769272953459,0.26670716045764026,-0.32087175865324424,-0.045684244335550794,0.1988079937831156,1.3941098913604044,-0.4371566193401223
A1,24,1,-1,0.33475602342705674,0.09214879481172279,0.08651444290253484,0.3960780174005218,0.706635685146847,1.246681860533442,-0.6119758625708206,-0.1670573030792289,0.24941766699147017,0.14915044147695394,0.657299539827165,-1.065707971928356,0.3996379061893586,0.9323169185021193,2.8623048518122265,0.7962540237186534,2.1607341445911215,-0.9739019764143841,0.1944690926972592,0.12237904288574723,-0.6656045641537756,-2.4994580125976484,-3.949729602132665,-0.0485547716609938,-0.0695592859902108,0.11623711047523619,-0.058667855569389374,0.11211469519929687,-0.13145902873098458,0.1501320112128216,-0.04015160990779156,0.1122287920708906,-0.14931392897623458,-0.4152021553600393,-0.8265433748377378,-0.5562605285037534,0.5330220774082146,-0.2465017537889886,-0.9442433533364902,-2.7995441746190894,-3.829204894848486,-0.5958186689136674,-0.432441067945033,0.43099260805150186,0.29347081423192667,0.40448327153595587,0.1406486923933603,0.3940548645979045,0.22324877926485678,-0.08823367409022635,-0.4187346050937915,-0.3943087834682284,-0.6138412765126534,-0.854836987367463
A1,25,1,-1,1.2472097956993007,0.838176258619494,0.8621019347188174,-0.30712255371346486,-0.9969633729210124,-0.67261219781252,-1.0355518445225282,-0.7385668928713887,-0.610413801983922,-0.2412920147295339,-1.7367819342793205,-1.4890905227970819,-2.115481806819937,-1.5399846190449828,-0.27651480579091,-0.22344877414600428,-0.496267188311428,0.649927229425316,-1.0354416930817831,0.742766402578054,0.942831145846177,1.630470480069657,-0.7911217162029279,1.380006524620701,0.8720335474378063,-0.6856200601605008,-0.7443109864715568,-0.6238390104007352,-0.6406524199620619,-0.7425766624166645,2.1717992420037757,-2.4076085909556415,-1.439299198061267,-1.4114472954336508,0.6996876191069608,0.2466543639197199,-1.1283650820331668,0.8708437753362819,1.0434638719935627,1.5782697993654533,-0.6183482288010002,1.6897005765757613,1.0251478887848289,-0.9355815878878058,-0.8573973840556305,-0.7494149416460909,-0.7411969843570912,-0.8905974766439483,1.7013158815495573,-2.3836384973078486,-0.6828725590177263,-1.4962924104674975,1.2879974085530406,0.2691551801417519
A1,26,1,1,0.2889787160445276,0.4309689424830871,2.062353396384574,-0.15938554588605222,2.4504628556898806,0.3100266146092163,-0.12916943851679777,0.3546891235233949,-1.2434589249206482,1.2038187607671118,1.5125057042757493,0.2090919012048718,-0.42099980864430436,-0.08023764823557972,1.2587876647353822,-0.25143998449876037,-2.1641407903437733,-0.191599480241298,0.0179269841677225,0.38058900348293007,-0.43196868344712214,-2.5102985917547804,-3.423357191648409,-0.7230804254061696,0.014347715770677677,0.10305185260818316,-0.2599797467668587,0.20051107443293076,-0.338094634031855,0.34648253746744784,-0.06681005654924377,-0.26903964226675575,0.5148369319304232,-1.2288620412072824,0.3887944992650689,0.543067571737937,-0.2454384322541823,0.7163895142250295,-0.6562205030196749,-2.1122617635244008,-3.9746919846966002,-0.1396353712023788,0.2082590596191606,-0.2073799041625738,-0.23049583423611658,-0.12112636756039108,-0.512186075473773,0.048758469165771534,-0.15273685479640042,-0.31738322603157487,0.585290610046956,-1.2230198903052656,0.8740470540588734,0.5946922160648812
A1,28,1,-1,-1.081086224419652,0.5592813924916233,-0.04687178870580535,0.3985271225855552,-1.5358971031198652,1.1918582604191992,0.5795973236944131,-0.34779539232522466,0.697895366829908,-0.5138254599963195,0.05904688461021082,1.37173839421855,-0.49770164425268987,0.09703227855970915,-1.0415215937464968,0.39558692952953295,-0.2711218798879338,-1.787780998321905,-0.03522012962986517,1.6769261289628223,-3.656330530127408,-1.4093960536421128,-0.2633101224320513,-2.507892713174692,-0.1244576096850661,-0.030369549953659297,0.6585313384350954,0.07276746696912328,-0.05494907953746002,-0.08541266468155562,0.17589664644692282,-0.4921503273840987,1.3932490361750025,-1.2188185914377565,0.040270885163741714,1.3231727333051646,0.38359730768026856,1.3341069517069124,-4.098614684004075,-1.5146027812415956,-0.6550223085393501,-2.485982929936606,-0.5599208433774711,0.39700179447218564,0.9457404998513457,0.5071690725641949,0.24054233501908479,0.3668046080746915,0.18381312054462526,-0.30105664517070485,1.4893800557707602,-1.094983800388351,-0.1783562152355682,1.5364630309750285
A1,29,1,-1,0.08689071967794129,-0.798824564411091,0.34923843686338235,0.9840804221859318,-0.44989012837433273,-0.08647226823498927,0.053553436650712896,0.4301795132597143,0.7632440322464259,1.0273555875290075,-1.811606118143632,-0.6882064424924719,1.4813408896464546,0.3350656938857959,0.30566157161962715,-1.0775107494932588,-1.0816529974374285,1.2722720661201017,0.5633116110995201,-0.523923568665434,-0.5091033478596575,-0.004409584447376629,-0.9212245011524663,-0.10203088682766782,-0.3208026694645649,0.4840465310672003,-0.1319383798424018,0.7405955052651848,-0.26215095247272047,0.14584819282160283,-0.3190115092909802,0.8167760589861256,0.4842804446774145,0.22798615383442936,0.07430390538040789,0.5360775506801468,0.3784028703874903,-0.31698632605963883,-0.4400007861206837,-0.15300756429041534,-0.6793091370497624,0.021128356781308907,-0.10051098546726081,0.2318320159872262,-0.15563556037444418,0.47401729250245866,-0.29955699715057743,-0.09977458977586764,-0.2792770428917554,0.6488109969660052,0.6183500221505017,0.2589512608335693,0.17766574690138462,0.6225340182851031
A1,30,1,-1,-0.09418563242914829,-0.00637497678240753,1.8713684499204584,-0.21617141641184592,0.006285809110135623,-0.3458044471575489,-0.18780684591045776,-0.059854214103503105,0.40920567372078437,-1.2010141058890769,0.6509302188286815,-0.02613765877117849,0.4062008054220827,0.009128416130718985,-0.15461647323234443,-0.23369984705344757,-1.2980455810943485,0.06685743004301183,0.040665030418967116,0.15643890830288476,0.06210372923547826,0.45405956587361795,0.17158621701388407,0.16833192825254617,0.046420663588412306,-0.009622315812404516,0.06606328335934507,-0.06095291074225413,-0.07729261159756372,-0.252085628946037,-0.2616650071215873,0.11857499772634231,0.3483974102928099,0.18027353840669355,0.3281098026363999,1.9603090221858999,0.10823697877569062,0.030713005586745112,-0.12285404354130351,0.38671497905459207,-0.12445286067669156,0.4201819584834063,-0.04135655468192863,0.12082439360104623,0.029595599935742456,0.055154777923854634,-0.20643318627608276,-0.1015039362360346,-0.36400367982420634,0.16791063443921195,0.6381246130959642,0.32177158477233214,0.5557722788800668,1.945972125254485
