dataset,feature,right_minus_left,pooled_sd,standardized_difference,interpretation
A2,kernel_lateral_1,0.8399544660515581,12.445793501058574,0.06748902478416631,descriptive_in_sample_not_neural_specific
A2,kernel_lateral_2,6.596318074155526,17.162121420807605,0.384353304140947,descriptive_in_sample_not_neural_specific
A2,kernel_lateral_3,12.130833981508486,32.91405916987992,0.36856086084361084,descriptive_in_sample_not_neural_specific
A2,window_common_50_250,18.811272004819447,119.68150748797378,0.15717776622014643,descriptive_in_sample_not_neural_specific
A2,window_common_250_500,43.38363225263339,200.89966569482408,0.2159467617956873,descriptive_in_sample_not_neural_specific
A2,window_common_500_750,65.90647543462208,288.24023666302503,0.22865119803406148,descriptive_in_sample_not_neural_specific
A2,window_midline_50_250,-2.9156572795734235,50.00647294533608,-0.05830559741257169,descriptive_in_sample_not_neural_specific
A2,window_midline_250_500,-13.27220894100101,78.01246880736976,-0.17012932860480373,descriptive_in_sample_not_neural_specific
A2,window_midline_500_750,-23.23961749705959,99.76897772116448,-0.23293430511045177,descriptive_in_sample_not_neural_specific
A2,window_lateral_50_250,12.701513452356156,35.31115929933977,0.35970253326102614,descriptive_in_sample_not_neural_specific
A2,window_lateral_250_500,21.31967108876482,55.72335171035619,0.3825985055526112,descriptive_in_sample_not_neural_specific
A2,window_lateral_500_750,28.254951916950525,74.68542699533113,0.3783194801673538,descriptive_in_sample_not_neural_specific
B1,kernel_common_1,3.1068504986386047,23.921385420827004,0.12987753192311532,descriptive_in_sample_not_neural_specific
B1,kernel_common_2,-6.229019033715771,29.724251608030347,-0.20956016372950262,descriptive_in_sample_not_neural_specific
B1,kernel_common_3,-7.4616793359023745,66.31710641860117,-0.11251515240733515,descriptive_in_sample_not_neural_specific
B1,kernel_midline_1,2.1508965483531317,30.274082915818386,0.07104745515608255,descriptive_in_sample_not_neural_specific
B1,kernel_midline_2,5.27104469809194,64.84310314251483,0.08128921107472326,descriptive_in_sample_not_neural_specific
B1,kernel_midline_3,9.251802404025142,123.10674661169138,0.0751526838184391,descriptive_in_sample_not_neural_specific
B1,kernel_lateral_1,2.5317898712362457,15.75717998698146,0.16067531584509434,descriptive_in_sample_not_neural_specific
B1,kernel_lateral_2,11.783036042993029,33.91996334279086,0.34737761724313077,descriptive_in_sample_not_neural_specific
B1,kernel_lateral_3,19.81242127503244,64.40809005917487,0.3076076507909146,descriptive_in_sample_not_neural_specific
B1,window_common_50_250,-0.4961624559963216,57.22147556800992,-0.008670913342781828,descriptive_in_sample_not_neural_specific
B1,window_common_250_500,-12.348872517759283,93.23486538616032,-0.13244908400535252,descriptive_in_sample_not_neural_specific
B1,window_common_500_750,-16.77211321916689,152.25828128304514,-0.11015567151968478,descriptive_in_sample_not_neural_specific
B1,window_midline_50_250,13.559095963329456,127.5701149494364,0.1062874010006476,descriptive_in_sample_not_neural_specific
B1,window_midline_250_500,18.677809588535908,210.04946906411132,0.08892100357004504,descriptive_in_sample_not_neural_specific
B1,window_midline_500_750,21.488590080055207,281.1936903936009,0.07641917587118172,descriptive_in_sample_not_neural_specific
B1,window_lateral_50_250,24.115217941772755,63.05532571257033,0.38244537902633163,descriptive_in_sample_not_neural_specific
B1,window_lateral_250_500,38.55207609039052,107.56205472655596,0.35841706620794417,descriptive_in_sample_not_neural_specific
B1,window_lateral_500_750,45.6287886082024,146.49491239240814,0.31147012454588857,descriptive_in_sample_not_neural_specific
B2,kernel_common_1,-4.228507983375593,48.52891391674699,-0.08713378565672711,descriptive_in_sample_not_neural_specific
B2,kernel_common_2,38.884278127360474,119.49652597118335,0.3254009086150123,descriptive_in_sample_not_neural_specific
B2,kernel_common_3,79.12311322189649,219.8723199710354,0.3598593639814219,descriptive_in_sample_not_neural_specific
B2,kernel_midline_1,-0.28974771476545214,14.046032166033312,-0.02062843878900775,descriptive_in_sample_not_neural_specific
B2,kernel_midline_2,-11.21530770986923,27.112356709417853,-0.41366037744603135,descriptive_in_sample_not_neural_specific
B2,kernel_midline_3,-20.766715884212733,47.81473917631073,-0.4343162012792358,descriptive_in_sample_not_neural_specific
B2,kernel_lateral_1,4.1755324514289835,12.26822630209847,0.34035339327859987,descriptive_in_sample_not_neural_specific
B2,kernel_lateral_2,-0.9597980822598702,19.0629188469172,-0.0503489570494125,descriptive_in_sample_not_neural_specific
B2,kernel_lateral_3,-4.109878979830015,35.83940519121028,-0.11467486577701279,descriptive_in_sample_not_neural_specific
B2,window_common_50_250,65.80143953128508,228.52389612860955,0.28794117659473606,descriptive_in_sample_not_neural_specific
B2,window_common_250_500,126.9426402262162,383.7879078584412,0.3307624800754237,descriptive_in_sample_not_neural_specific
B2,window_common_500_750,177.21206272100054,501.08484522313813,0.3536567996625127,descriptive_in_sample_not_neural_specific
B2,window_midline_50_250,-20.966456575457038,55.67202192951928,-0.3766067020522543,descriptive_in_sample_not_neural_specific
B2,window_midline_250_500,-35.9354696978983,88.79759845840796,-0.4046896573980001,descriptive_in_sample_not_neural_specific
B2,window_midline_500_750,-47.377039228970425,108.86713748557163,-0.43518218925568236,descriptive_in_sample_not_neural_specific
B2,window_lateral_50_250,4.459662331859481,34.68691294637664,0.1285690179104086,descriptive_in_sample_not_neural_specific
B2,window_lateral_250_500,-0.26276712846865635,59.10125589692225,-0.004446049825522239,descriptive_in_sample_not_neural_specific
B2,window_lateral_500_750,-8.81565400921803,81.48982818876368,-0.10818103566002592,descriptive_in_sample_not_neural_specific
