dataset,trial_id,block,kernel_common_1,kernel_common_2,kernel_common_3,kernel_midline_1,kernel_midline_2,kernel_midline_3,kernel_lateral_1,kernel_lateral_2,kernel_lateral_3,window_common_50_250,window_common_250_500,window_common_500_750,window_midline_50_250,window_midline_250_500,window_midline_500_750,window_lateral_50_250,window_lateral_250_500,window_lateral_500_750
A2,3,0,-28.69167226819539,29.262667356965125,44.13304685593347,2.219847918372582,-4.325378825087184,-5.817242950355453,0.5456826578167876,-1.1989034767012325,-4.906298208695352,-3.183452514282281,41.522793514505665,106.05112684575367,-3.071642908348751,-10.149927626231236,-12.134100003162803,-3.235475511939782,-4.665969362904493,-12.031780672841222
A2,4,0,-22.126362679950933,-12.704773050255714,-10.232015600658563,-1.9741585660737373,6.861407227831514,12.856397765710966,4.409323270511982,5.138352056368964,7.247868764889955,-39.35637872670424,-67.42298905590634,-14.623573159950345,9.692012115532153,19.57617512057292,28.85005113768571,18.02455765591284,19.14641496646065,17.28393457828991
A2,5,0,-34.84529118493714,-5.162616745371752,5.052530807072378,6.566175767534941,-16.255094799151273,-32.098438382828384,-4.596329777334698,3.036756758423542,5.084740165310547,-72.64906762147308,-40.17563487203655,3.839357915769011,-17.46964237065747,-45.849410122654895,-72.11468495328725,-3.5591232440158644,5.415283956154812,9.6828232071923
A2,6,0,-56.44048288770912,-12.927901038535976,67.68910638463952,7.152348610235501,3.0614977383498445,2.176179684588005,7.903001262551621,0.1232210840907132,-11.704066558547973,-60.414620291869134,-41.08847264284782,159.28371417705225,16.16453078155337,14.918949302925387,6.136954438402897,7.932372107956317,-0.4210558734396146,-26.230343683475205
A2,7,0,6.899631255686399,-0.26562875852374623,3.502277490348815,3.0227695430332613,-2.129275055400697,-6.391822818004825,-7.843064432184846,1.4672977342463551,5.5125295787688735,12.013449378687564,10.045360413950501,9.868102034460307,-0.3597872699132775,-4.894486275025251,-14.64118252291548,-7.932355814968993,-2.8039852038628954,11.898901787866075
A2,8,0,-33.309328142705255,20.574444603742947,99.59460979165773,4.382017161137621,-5.241514844804646,-13.675977887467797,1.6294821736642155,-2.2676923595927883,-8.373972849116248,33.244843647765315,67.27638226050789,232.1249775476715,-5.490566518048219,-14.532141553915494,-30.847171295509554,-0.5961222851384108,-10.193864703805138,-17.789721517920707
A2,9,0,-20.515809590274785,10.95202324363259,41.960902877112986,7.679845875835751,0.6224587756346596,-4.99395081745532,-0.9266797563270933,-4.687630500446146,-7.608002587619028,4.069307905608608,27.801325116239468,94.40846962754203,9.83738817606674,6.7671378947846454,-11.16221900393219,-8.865181346360249,-15.497269536583442,-17.106689689735532
A2,10,0,-49.108824391891645,65.89897222521763,173.47228591837194,6.25279437040662,-14.260645462230059,-32.00187926368692,2.237283495446408,2.5350745220890616,4.716685099773912,62.69226082067738,195.51260248848496,390.6930935306398,-18.97998580740179,-41.69369475197473,-72.58937809363947,9.508415642014574,9.693591487485818,11.323967230278594
A2,11,0,-21.64000124026962,-10.456050297922676,28.73275284075139,-4.921850340563338,1.1085114513642482,3.5454069840887885,8.626092010076473,-1.4044205466325046,-18.265825455230832,-19.627414735952147,-29.713703227910823,76.25850700585016,-7.376313700849709,0.6795572892118538,6.287418351459512,-0.8866108661817298,-6.278585181185247,-41.82854676393549
A2,12,0,-63.551645308861666,69.80168503710242,160.78909533902532,4.2905239095493535,-35.801344962683295,-70.6173208264142,2.920800782654779,3.4015868271123733,7.59324488060692,33.12015399716504,159.19919108916258,372.500223596953,-60.19146779586128,-110.71482516481319,-161.8997124043535,16.484765545813524,14.068191043349486,18.157561243129145
A2,13,0,68.04990884148498,28.676873838525637,35.46158998179195,-7.543018226645766,-8.361640152247995,-6.7109051185538835,-5.185736955637639,6.273190278884934,20.589895013443673,175.14542811013376,139.44577490410688,99.5889978709684,-23.02453736208106,-27.987883707403846,-16.26174179694014,17.118535923320554,18.134466157659713,49.28983682016409
A2,14,0,-56.21858216890565,101.0820572003162,252.73200617963954,5.329864828473064,3.2473195668073935,2.2223803744326607,1.9861925733557917,-14.155876466962697,-33.68737351175873,162.97004400902185,286.6702469490345,592.5476353674349,10.327514733046806,15.072597917759861,4.505576579024653,-30.35890885047042,-47.11939310173965,-77.44253042951343
A2,15,0,-79.62135531178222,4.141561639738569,67.85892685008349,1.3159275275403297,7.885694963287807,11.043560293143189,3.090043178674699,-7.5660451631633014,-22.158299813227842,-62.0402272386202,-59.884880524563286,173.22251229313733,8.212256255315824,26.570597456541766,23.231858329793553,-13.340427845928826,-26.74419223451452,-50.77292207352672
A2,16,0,28.861180781380465,-30.21915777949288,-56.882668781457525,-8.915600414799586,2.737354312315547,14.769789053777329,1.6111322646116597,-0.7748009297159654,-6.8660952264827895,-1.809011312587191,-59.278905189983796,-128.62970301092585,-0.8765730359425564,4.363957119843581,34.35540662745847,-3.86463825333217,-4.662346760989371,-15.856571417088249
