dataset,trial_id,block,gap_s,model,stage,MSE,method
A2,6,0,0.05,M2,retrieval,14010.293587013017,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M3,encoding,5318.331963345393,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M3,maintenance,19704.664575595394,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M3,retrieval,7523.418303320023,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_feedback,encoding,3115.7356439539276,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_feedback,maintenance,11297.65300379464,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_feedback,retrieval,14010.293587013017,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_direct_memory,encoding,3484.4894413217908,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_direct_memory,maintenance,12681.557002246665,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2_no_direct_memory,retrieval,11885.222822759866,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M0,encoding,779.7930355019644,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M0,maintenance,10383.302208991097,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M0,retrieval,34701.54146744048,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M1,encoding,6088.648999667104,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M1,maintenance,11922.656933210887,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M1,retrieval,48665.0506059475,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2,encoding,6376.826127269652,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2,maintenance,15220.40028260679,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2,retrieval,81637.88218354591,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M3,encoding,3193.7567537553437,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M3,maintenance,15534.76846571927,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M3,retrieval,74927.82844027184,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_feedback,encoding,6376.826127269652,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_feedback,maintenance,15220.40028260679,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_feedback,retrieval,81637.88218354591,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_direct_memory,encoding,5323.183484891037,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_direct_memory,maintenance,11404.71718464023,frozen_main_fit_common_trial_rescore
A2,7,0,0.05,M2_no_direct_memory,retrieval,62025.818389333,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M0,encoding,4253.7733831088935,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M0,maintenance,13502.24611622791,frozen_main_fit_common_trial_rescore
A2,8,0,0.05,M0,retrieval,17798.30519504333,frozen_main_fit_common_trial_rescore
