dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,11,0,1,M0,maintenance,2,362,96113.59202499338,99069.3676782208,56648.6445743053,0.49268914091781446
B2,11,0,1,M0,retrieval,0,330,966167.7234261642,963665.9360763702,581154.8786034319,8.360792950313208
B2,11,0,1,M0,retrieval,1,330,237800.53612376453,237181.72703093558,73407.52260231315,1.1469085120603506
B2,11,0,1,M0,retrieval,2,330,286348.5996361484,285301.54831723165,104512.40422859644,1.467855301059464
B2,12,0,1,M0,encoding,0,205,66664.53379291795,61291.14961779175,56925.491070996344,0.576885721451385
B2,12,0,1,M0,encoding,1,205,44613.51943621765,41267.03105552872,24785.716321856646,0.21517035255016184
B2,12,0,1,M0,encoding,2,205,91162.08227676342,86134.38656316932,80198.61561493544,0.46730714204852625
B2,12,0,1,M0,maintenance,0,363,262772.1875611144,273168.7698142697,152184.46672564652,2.2739155946014598
B2,12,0,1,M0,maintenance,1,363,71005.06137063669,75209.38626251563,16242.616519685693,0.34245637378616695
B2,12,0,1,M0,maintenance,2,363,315888.07099712593,325135.7166425231,219939.13921753012,1.6192779714786676
B2,12,0,1,M0,retrieval,0,365,246391.21342464408,245097.04111816536,76256.15211744717,2.1321618082156006
B2,12,0,1,M0,retrieval,1,365,12689.191761670469,12486.162822510198,13110.639415825122,0.061199786509529036
B2,12,0,1,M0,retrieval,2,365,255210.43154132043,254125.36442080492,86108.89259188587,1.30823753040736
B2,13,0,1,M0,encoding,0,205,1356.8222460762959,732.4277743976348,614.16041183865,0.011741346346776151
B2,13,0,1,M0,encoding,1,205,3338.340781560509,2886.326288481078,1705.1518328315556,0.016100768824748347
B2,13,0,1,M0,encoding,2,205,1553.6258784291108,1157.728492229477,937.9191670345232,0.007964061931551516
B2,13,0,1,M0,maintenance,0,362,24740.21242554897,27842.561613745544,5443.416521356701,0.21409097884502926
B2,13,0,1,M0,maintenance,1,362,40549.49511164802,43264.53149586359,25993.792462336245,0.19556962259788227
B2,13,0,1,M0,maintenance,2,362,56655.399777954226,60275.4302696095,29498.052740905176,0.29042198566147615
B2,13,0,1,M0,retrieval,0,329,51994.68036565219,52593.08931634111,194440.32402931424,0.44993922536903586
B2,13,0,1,M0,retrieval,1,329,121639.28330051809,122059.60277814462,318826.0048683023,0.5866644865160288
B2,13,0,1,M0,retrieval,2,329,135939.33125898123,136748.6753479252,334136.8135044627,0.6968403835902133
B2,15,0,1,M0,encoding,0,205,30521.440843135668,34312.080133130396,37842.79124335984,0.2641192013015861
B2,15,0,1,M0,encoding,1,205,11716.636819752886,12065.280511507828,11649.000350541122,0.05650916823122919
B2,15,0,1,M0,encoding,2,205,244975.92044978577,253625.522769678,264419.4862383136,1.2557742692684903
B2,15,0,1,M0,maintenance,0,362,36911.81321837331,37165.697050617666,29087.473977765865,0.31941868917445565
B2,15,0,1,M0,maintenance,1,362,505054.64108875825,513890.98269250744,327734.7622847847,2.435871156399781
B2,15,0,1,M0,maintenance,2,362,111083.2092109812,105159.65586476208,170772.78385155517,0.5694250913265246
B2,15,0,1,M0,retrieval,0,347,404177.5927795658,402560.66813149484,176255.8655882461,3.4975761314015803
B2,15,0,1,M0,retrieval,1,347,1009698.7687353605,1007813.6612835577,619961.1128351861,4.869762412464607
B2,15,0,1,M0,retrieval,2,347,52651.76999979214,51956.875524358045,8038.84523960657,0.26989892670179527
B2,17,0,-1,M0,encoding,0,205,10018.901289421514,10490.980679064585,12098.647410198097,0.08669919025387599
B2,17,0,-1,M0,encoding,1,205,11113.112250697497,10540.803185654659,21815.136112988104,0.05359837805064301
B2,17,0,-1,M0,encoding,2,205,33268.211417605766,33362.98060880725,36895.798155807664,0.1705366135827087
B2,17,0,-1,M0,maintenance,0,362,12187.641612801941,12721.79490734727,13051.048258680676,0.1054665205704789
B2,17,0,-1,M0,maintenance,1,362,28860.329616366278,28010.151243277935,9087.893015513524,0.1391929481632908
B2,17,0,-1,M0,maintenance,2,362,25192.70733443912,25220.1325604961,21688.87711727568,0.12914066650189363
B2,17,0,-1,M0,retrieval,0,304,2100.8464863927356,2107.4470500633784,34316.28812714906,0.018179806742907586
B2,17,0,-1,M0,retrieval,1,304,13836.047854993443,13787.855000306865,19615.224126180332,0.066731056694958
B2,17,0,-1,M0,retrieval,2,304,1163.7861127554156,1149.6154052444547,37757.30033807192,0.005965699210954945
B2,2,0,-1,M1,encoding,0,205,7306.242949484024,12526.900900381486,14660.776387364182,0.06322503129032529
B2,2,0,-1,M1,encoding,1,205,319700.440702734,309291.5878501823,363420.702845186,1.5419105554941945
B2,2,0,-1,M1,encoding,2,205,464931.6368366532,482842.596611469,497691.57070139406,2.3832921433109844
B2,2,0,-1,M1,maintenance,0,362,145462.77482821958,170632.94326292828,93320.42377148996,1.2587712390184371
B2,2,0,-1,M1,maintenance,1,362,219749.03364541693,227760.44690903454,388221.7368384468,1.0598463792940889
B2,2,0,-1,M1,maintenance,2,362,448815.4587055975,442683.82240971166,584931.1057105073,2.3006787918486484
B2,2,0,-1,M1,retrieval,0,385,768953.62724099,829088.4451703458,483036.13857502455,6.654188408360296
B2,2,0,-1,M1,retrieval,1,385,129903.45958712802,85688.06512004627,95385.07387679485,0.6265224880276284
B2,2,0,-1,M1,retrieval,2,385,141590.83841130443,80529.3886405403,167292.93282647358,0.7258106483062062
B2,3,0,-1,M1,encoding,0,205,3017.5677369295627,7662.669012367044,9047.441279627035,0.026112711540959812
B2,3,0,-1,M1,encoding,1,205,19914.203371181822,18160.96509789129,31245.702376139045,0.09604591196305078
B2,3,0,-1,M1,encoding,2,205,16653.802814823255,21209.749401104247,23924.890995969407,0.0853692763840965
B2,3,0,-1,M1,maintenance,0,363,44187.6030071096,32289.857376951837,95935.11998062312,0.3823801921295644
B2,3,0,-1,M1,maintenance,1,363,93082.9837446716,97485.5696408768,211115.9989475403,0.4489378708935144
B2,3,0,-1,M1,maintenance,2,363,123709.038333518,116295.70667199962,193777.66756849448,0.6341465190944117
B2,3,0,-1,M1,retrieval,0,384,91202.48192430758,52287.77878440152,199700.59427796747,0.7892263935497651
B2,3,0,-1,M1,retrieval,1,384,147199.95924053082,109282.54803143581,292366.6362081737,0.7099432531978636
B2,3,0,-1,M1,retrieval,2,384,222123.60740533494,166955.11177419074,382332.45175930456,1.138630728540893
B2,4,0,1,M1,encoding,0,205,25820.860863064016,5063.25162117945,3945.20794029761,0.22344243782991766
B2,4,0,1,M1,encoding,1,205,35217.078493407884,12451.152010294712,4799.656631297143,0.16985145514123415
B2,4,0,1,M1,encoding,2,205,43132.65661150115,11407.633957249485,9372.783538567286,0.22110287508448837
B2,4,0,1,M1,maintenance,0,363,70617.59579808883,105842.92710044651,41643.58100273295,0.6110937912757226
B2,4,0,1,M1,maintenance,1,363,157436.782788229,196669.0314239954,102987.06164692412,0.7593153036343034
B2,4,0,1,M1,maintenance,2,363,153879.1480946096,205835.46913313086,132498.31225916464,0.7888019132630434
B2,4,0,1,M1,retrieval,0,248,139469.73058220526,51963.47985789724,183337.1446514522,1.2069100550147875
B2,4,0,1,M1,retrieval,1,248,373622.95579030336,218073.45816974624,459126.0625755034,1.8019780580899367
B2,4,0,1,M1,retrieval,2,248,322352.6851279287,170055.63181223485,376763.11667820724,1.6524163145097153
B2,5,0,-1,M1,encoding,0,205,30699.221838681562,18668.30540528371,16319.177170823801,0.26565764028916566
B2,5,0,-1,M1,encoding,1,205,15791.555250555855,18142.545021536014,8052.773403419505,0.07616244029873688
B2,5,0,-1,M1,encoding,2,205,44510.48419682038,38842.49293411236,34847.958419515446,0.2281657750868863
B2,5,0,-1,M1,maintenance,0,363,71192.97612739042,85459.55937781517,25342.960474916777,0.6160728810179409
B2,5,0,-1,M1,maintenance,1,363,40608.06939262882,37287.56765168842,3096.9166640659764,0.19585212549943048
B2,5,0,-1,M1,maintenance,2,363,115969.29394330004,120794.01841963743,60591.41450569567,0.5944717141662144
B2,5,0,-1,M1,retrieval,0,285,22272.529285248613,44181.587556796236,1449.3095174856298,0.1927367281256337
B2,5,0,-1,M1,retrieval,1,285,17663.38587814753,2502.6076287564024,38947.39196981979,0.08519025207289886
B2,5,0,-1,M1,retrieval,2,285,25837.240135529646,42343.47930687169,3704.0608866652565,0.13244461452185805
B2,6,0,1,M1,encoding,0,205,58602.23491884218,107231.59100143485,113167.43703320557,0.5071181128309526
B2,6,0,1,M1,encoding,1,205,113070.49543168393,164723.79756531026,204808.48790550043,0.5453373477929666
B2,6,0,1,M1,encoding,2,205,183629.2967782915,272457.7270857589,283499.2771497668,0.9413045394611038
B2,6,0,1,M1,maintenance,0,362,131483.67794399048,98931.28705171628,196163.20533367337,1.1378022479751966
B2,6,0,1,M1,maintenance,1,362,44821.429284912396,40940.627103807885,99073.83631680628,0.21617309871337947
B2,6,0,1,M1,maintenance,2,362,201989.64806559312,165411.62983522625,250741.2602389125,1.0354217762858147
B2,6,0,1,M1,retrieval,0,284,19954.99640183449,2639.2302150984087,48920.841901315966,0.17268181206503871
B2,6,0,1,M1,retrieval,1,284,11507.783093769296,37548.48496961824,1249.7764754274892,0.05550186976163519
B2,6,0,1,M1,retrieval,2,284,12575.807310189302,6728.5873933045705,27453.284036285906,0.06446501030149764
B2,7,0,1,M1,encoding,0,205,17752.45459686719,2067.0524360570025,2094.635270726578,0.15362197850897805
B2,7,0,1,M1,encoding,1,205,81892.21006631406,125206.75546392566,160786.50504427668,0.39496493291170415
B2,7,0,1,M1,encoding,2,205,278960.0221551608,382800.0177448651,396071.5531626348,1.4299806174167398
B2,7,0,1,M1,maintenance,0,363,383376.27330150094,479332.2261203851,326905.09474780754,3.317570609552134
B2,7,0,1,M1,maintenance,1,363,61463.10779929709,50006.42792825704,126951.96156636962,0.2964356710954114
B2,7,0,1,M1,maintenance,2,363,302987.84203464544,259257.0811663027,365994.6090891068,1.55314993910303
B2,7,0,1,M1,retrieval,0,297,853445.1182063363,1072194.2833782984,665998.3913735924,7.385340821027809
B2,7,0,1,M1,retrieval,1,297,13782.895299442454,1685.2897244922353,35889.77773272038,0.06647470269596002
B2,7,0,1,M1,retrieval,2,297,111341.89949609184,41011.801883531065,169888.44256112678,0.5707511669798183
B2,8,0,1,M1,encoding,0,205,1970.8099452146798,5124.182114597277,6205.1962433180715,0.01705452738363732
B2,8,0,1,M1,encoding,1,205,20099.83175226277,46593.86142747045,67420.60323188976,0.09694119493344289
B2,8,0,1,M1,encoding,2,205,3167.6988279170346,19758.05749090168,22394.341621882908,0.01623798238449947
B2,8,0,1,M1,maintenance,0,362,930.4991888957878,6536.676610351934,12682.395593754321,0.008052133051189216
B2,8,0,1,M1,maintenance,1,362,34986.49507600504,24897.291958384823,87076.05179300111,0.16873935468734091
B2,8,0,1,M1,maintenance,2,362,14409.484932111885,9237.512595815637,29782.748103581966,0.07386464913749421
B2,8,0,1,M1,retrieval,0,257,9474.35921562286,4365.844592965325,24267.720061994467,0.08198696128847459
B2,8,0,1,M1,retrieval,1,257,83633.59163485563,23018.37336512168,135144.1203422616,0.4033635907795984
B2,8,0,1,M1,retrieval,2,257,53005.17157034786,6031.677083556469,82956.36506659923,0.2717105031139101
B2,9,0,1,M1,encoding,0,205,14747.406723136632,868.3828803792793,499.59321262264365,0.12761760838890732
B2,9,0,1,M1,encoding,1,205,32640.710721454052,10842.452398289854,3645.6040109867877,0.15742567101131966
B2,9,0,1,M1,encoding,2,205,23052.721009465702,2152.9558877938925,1370.6197607866109,0.11817085461771341
B2,9,0,1,M1,maintenance,0,362,9603.28268687463,22838.661824008595,1898.2853324579696,0.08310260862737484
B2,9,0,1,M1,maintenance,1,362,64621.60411310262,88589.77602651551,29474.125855859365,0.3116690526792503
B2,9,0,1,M1,maintenance,2,362,23354.763965682247,44571.19147053529,14095.58933250091,0.11971916096526836
B2,9,0,1,M1,retrieval,0,252,44160.377024657544,4367.071924601157,72280.68747291456,0.3821445903839967
B2,9,0,1,M1,retrieval,1,252,60967.67140890361,10265.01092593173,98027.04957799206,0.29404618862161663
B2,9,0,1,M1,retrieval,2,252,70409.24651765327,12365.022825201191,95074.75390074664,0.360925759287328
B2,10,0,-1,M1,encoding,0,205,56875.48979200329,76110.53253551779,81210.65549616882,0.4921756156501661
B2,10,0,-1,M1,encoding,1,205,378806.34345228266,367533.3324656216,426046.6938348318,1.8269774610674754
B2,10,0,-1,M1,encoding,2,205,961053.7879107144,988356.0362858989,1009177.0879116884,4.926470389520059
B2,10,0,-1,M1,maintenance,0,362,53843.171046374286,56968.49245968803,99638.64898451697,0.4659352553308897
B2,10,0,-1,M1,maintenance,1,362,256976.36302212378,265487.33198604087,431893.43853334786,1.2393932450807914
B2,10,0,-1,M1,maintenance,2,362,1709936.9323315602,1694990.7062644074,1968027.6650419943,8.765330068977176
B2,10,0,-1,M1,retrieval,0,290,65421.618406625246,118820.47337021225,17694.12326932905,0.5661300752549864
B2,10,0,-1,M1,retrieval,1,290,97615.91520765377,46775.28997013785,187196.10940485305,0.4708001331248101
B2,10,0,-1,M1,retrieval,2,290,1229461.3204804065,1027853.4467295856,1500593.8274722714,6.302357752082099
B2,11,0,1,M1,encoding,0,205,104036.78597616495,52846.704452808444,48903.866658070736,0.9002888480669036
