dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,47,2,-1,104233,104285,0.203125,104800,platform_onset_hypothesis,105138,-1.0,,,105138,platform_end_proxy,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.43515625,0.1,causal,False,90403,133255,True,retained,104169,105113,0.0,264.7895759860021,11.756649675719899
A1,48,2,1,106421,106473,0.203125,106988,platform_onset_hypothesis,107311,1.0,,,107311,platform_end_proxy,2.21484375,3.4765625,1.26171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3765625,0.1,causal,False,90403,133255,True,retained,106357,107286,0.0,149.21045764477827,11.760844940746523
A1,49,2,-1,108593,108646,0.20703125,109161,platform_onset_hypothesis,109441,-1.0,,,109441,platform_end_proxy,2.21875,3.3125,1.09375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2125,0.1,causal,False,90403,133255,True,retained,108529,109416,0.0,324.68027720731897,9.204304390968627
A1,50,2,-1,110726,110778,0.203125,111293,platform_onset_hypothesis,111553,-1.0,,,111553,platform_end_proxy,2.21484375,3.23046875,1.015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.13046875,0.1,causal,False,90403,133255,True,retained,110662,111528,0.0,395.83505020508494,14.368360500540428
A1,51,2,1,112835,112887,0.203125,113402,platform_onset_hypothesis,113700,1.0,,,113700,platform_end_proxy,2.21484375,3.37890625,1.1640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.27890625,0.1,causal,False,90403,133255,True,retained,112771,113675,0.007936507936507936,1230.4383214898578,13.138225432628929
A1,52,2,1,114983,115035,0.203125,115551,platform_onset_hypothesis,115865,1.0,,,115865,platform_end_proxy,2.21875,3.4453125,1.2265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3453125,0.1,causal,False,90403,133255,True,retained,114919,115840,0.0,1662.9747293530772,13.93418996903091
A1,53,2,1,117148,117200,0.203125,117715,platform_onset_hypothesis,117979,1.0,,,117979,platform_end_proxy,2.21484375,3.24609375,1.03125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.14609375,0.1,causal,False,90403,133255,True,retained,117084,117954,0.006617038875103391,1361.5617141483235,15.920357653006647
A1,54,2,-1,119264,119316,0.203125,119832,platform_onset_hypothesis,120130,-1.0,,,120130,platform_end_proxy,2.21875,3.3828125,1.1640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2828125,0.1,causal,False,90403,133255,True,retained,119200,120105,0.0,1221.9500247466535,10.495804433582293
A1,55,2,1,121417,121469,0.203125,121984,platform_onset_hypothesis,122259,1.0,,,122259,platform_end_proxy,2.21484375,3.2890625,1.07421875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.1890625,0.1,causal,False,90403,133255,True,retained,121353,122234,0.0,161.8449021881371,10.906989011620496
A1,56,2,-1,123541,123593,0.203125,124109,platform_onset_hypothesis,124416,-1.0,,,124416,platform_end_proxy,2.21875,3.41796875,1.19921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.31796875,0.1,causal,False,90403,133255,True,retained,123477,124391,0.0,222.5075489124897,9.360602461563296
