dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B1,2,M2_no_feedback,maintenance,39785.77133997953,39915.802392301535,0.003257633431592577,362
B1,2,M2_no_direct_memory,maintenance,39806.331333381604,39915.802392301535,0.0027425493754084096,362
B1,2,M0,retrieval,88268.74087607356,88266.68331658025,-2.331071493788528e-05,220
B1,2,M1,retrieval,88268.29196773579,88266.68331658025,-1.8224896360496956e-05,220
B1,2,M2,retrieval,88314.17337537548,88266.68331658025,-0.00053802926552593,220
B1,2,M3,retrieval,89360.00170745845,88266.68331658025,-0.012386535324510506,220
B1,2,M2_no_feedback,retrieval,88298.32651072872,88266.68331658025,-0.00035849533436049796,220
B1,2,M2_no_direct_memory,retrieval,88265.38305612524,88266.68331658025,1.4731044672311455e-05,220
B1,3,M0,encoding,6340.346021981251,5698.6406675042035,-0.11260674113675795,205
B1,3,M1,encoding,7408.538778202722,5698.6406675042035,-0.30005368130140253,205
B1,3,M2,encoding,7994.657518394818,5698.6406675042035,-0.40290605862962514,205
B1,3,M3,encoding,6169.436773174779,5698.6406675042035,-0.08261551010844248,205
B1,3,M2_no_feedback,encoding,7987.654418946046,5698.6406675042035,-0.40167715162225637,205
B1,3,M2_no_direct_memory,encoding,9061.475979257333,5698.6406675042035,-0.5901118368331739,205
B1,3,M0,maintenance,5079.504323955572,5541.738059057895,0.08340952426410853,362
B1,3,M1,maintenance,4740.857515432193,5541.738059057895,0.14451793554490966,362
B1,3,M2,maintenance,4629.7749728829585,5541.738059057895,0.1645626473962163,362
B1,3,M3,maintenance,5432.747642370214,5541.738059057895,0.01966719024359842,362
B1,3,M2_no_feedback,maintenance,4607.837965310558,5541.738059057895,0.16852115415684266,362
B1,3,M2_no_direct_memory,maintenance,4242.722823819029,5541.738059057895,0.23440574444251172,362
B1,3,M0,retrieval,4217.645048304613,4214.446802210204,-0.0007588768454098727,258
B1,3,M1,retrieval,3941.7231797692425,4214.446802210204,0.06471160634841455,258
B1,3,M2,retrieval,3827.4630882272168,4214.446802210204,0.09182313412522825,258
B1,3,M3,retrieval,3948.9475744247347,4214.446802210204,0.06299740873374693,258
B1,3,M2_no_feedback,retrieval,3858.422220354913,4214.446802210204,0.08447718017666728,258
B1,3,M2_no_direct_memory,retrieval,4042.769005822954,4214.446802210204,0.04073554714161198,258
B1,4,M0,encoding,4265.5448911844915,4312.4301257781535,0.010872114614309702,205
B1,4,M1,encoding,4157.450351784008,4312.4301257781535,0.035937921189199695,205
B1,4,M2,encoding,4066.006415163253,4312.4301257781535,0.05714265586400302,205
B1,4,M3,encoding,4217.250754310272,4312.4301257781535,0.02207093650026548,205
B1,4,M2_no_feedback,encoding,4109.822090362557,4312.4301257781535,0.046982334671228365,205
B1,4,M2_no_direct_memory,encoding,3588.720511622458,4312.4301257781535,0.1678194412541597,205
B1,4,M0,maintenance,17766.722727517616,17644.021184892114,-0.0069542844762942035,363
B1,4,M1,maintenance,17878.333484740742,17644.021184892114,-0.013279982912810295,363
B1,4,M2,maintenance,18005.96465348878,17644.021184892114,-0.0205136609621952,363
B1,4,M3,maintenance,17751.698904440866,17644.021184892114,-0.006102787931412834,363
B1,4,M2_no_feedback,maintenance,17913.837016288886,17644.021184892114,-0.015292196068535935,363
B1,4,M2_no_direct_memory,maintenance,19189.039722482736,17644.021184892114,-0.08756612347040038,363
B1,4,M0,retrieval,20113.262246328428,20123.355949925255,0.0005015914652577447,255
B1,4,M1,retrieval,20134.13890698651,20123.355949925255,-0.0005358428826727213,255
B1,4,M2,retrieval,20132.829397639092,20123.355949925255,-0.00047076877919427496,255
B1,4,M3,retrieval,20219.969517389596,20123.355949925255,-0.004801066368092632,255
B1,4,M2_no_feedback,retrieval,20142.60589583084,20123.355949925255,-0.0009565971974796472,255
B1,4,M2_no_direct_memory,retrieval,20071.505239121518,20123.355949925255,0.0025766433259324373,255
