dataset,trial_id,block,gap_s,model,stage,MSE,method
B2,7,0,0.05,M2_no_direct_memory,maintenance,253268.79366628823,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_direct_memory,retrieval,314425.9013555659,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M0,encoding,22724.849702510775,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M0,maintenance,14575.193407911673,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M0,retrieval,11007.612347561277,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M1,encoding,8412.780175131495,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M1,maintenance,16775.493065670908,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M1,retrieval,46833.38821666183,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2,encoding,9710.816134317221,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2,maintenance,18660.086931677757,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2,retrieval,84128.39864550815,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M3,encoding,25833.866132370793,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M3,maintenance,21934.723967226124,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M3,retrieval,92927.8023566601,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_feedback,encoding,10662.293746769474,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_feedback,maintenance,22508.70341148978,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_feedback,retrieval,81197.91713490032,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_direct_memory,encoding,10595.81011213172,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_direct_memory,maintenance,15656.23586640907,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M2_no_direct_memory,retrieval,49515.693673292844,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M0,encoding,5946.6571096077805,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M0,maintenance,48529.39129302486,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M0,retrieval,8958.355824351342,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M1,encoding,23480.279484685463,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M1,maintenance,32526.550255219827,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M1,retrieval,56777.482112607744,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2,encoding,20791.434463395428,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2,maintenance,28655.814891203125,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2,retrieval,101697.2111330509,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M3,encoding,7145.3127563534745,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M3,maintenance,32526.972007497214,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M3,retrieval,110212.26496460364,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_feedback,encoding,19224.337448152583,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_feedback,maintenance,22862.244748644793,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_feedback,retrieval,98729.01812327065,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_direct_memory,encoding,17944.968305935858,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_direct_memory,maintenance,34313.475156211134,frozen_main_fit_common_trial_rescore
B2,9,0,0.05,M2_no_direct_memory,retrieval,60971.6392289639,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M0,encoding,477197.9046358415,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M0,maintenance,672531.9579721206,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M0,retrieval,396967.2115569347,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M1,encoding,465578.5403850001,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M1,maintenance,673585.4888000194,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M1,retrieval,459551.66552614537,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2,encoding,483464.55963649694,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2,maintenance,727219.4833493179,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2,retrieval,483923.64360613475,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M3,encoding,513089.8541410988,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M3,maintenance,706695.5833513772,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M3,retrieval,480629.0310968261,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_feedback,encoding,495216.73712045694,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_feedback,maintenance,750095.5633455723,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_feedback,retrieval,485892.04117546993,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_direct_memory,encoding,472505.08441722114,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_direct_memory,maintenance,672289.9962073778,frozen_main_fit_common_trial_rescore
B2,10,0,0.05,M2_no_direct_memory,retrieval,483882.2095827246,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M0,encoding,23894.819906112916,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M0,maintenance,291942.3779308385,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M0,retrieval,494547.22384191153,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M1,encoding,38002.93393428528,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M1,maintenance,233220.708335458,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M1,retrieval,388552.14829167695,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2,encoding,35817.85722707022,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2,maintenance,233466.8514624301,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2,retrieval,265970.2944650181,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M3,encoding,25364.667297593303,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M3,maintenance,259083.21961990785,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M3,retrieval,247884.07838501735,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_feedback,encoding,35204.35754270763,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_feedback,maintenance,222855.7515066797,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_feedback,retrieval,270442.39492693136,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_direct_memory,encoding,33014.4684762339,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_direct_memory,maintenance,245540.84323142373,frozen_main_fit_common_trial_rescore
B2,11,0,0.05,M2_no_direct_memory,retrieval,346594.66197185684,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M0,encoding,67480.045168633,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M0,maintenance,216555.106642959,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M0,retrieval,169655.03509478125,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M1,encoding,117785.20759985365,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M1,maintenance,174097.78904123264,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M1,retrieval,132994.34195050658,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2,encoding,112124.03853610046,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2,maintenance,171249.60529439608,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2,retrieval,69653.83689995266,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M3,encoding,74296.53989761406,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M3,maintenance,187365.72679959828,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M3,retrieval,63136.489039679815,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_feedback,encoding,108240.66077021755,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_feedback,maintenance,159919.93013568432,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_feedback,retrieval,70620.13000487977,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_direct_memory,encoding,104950.722140283,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_direct_memory,maintenance,180800.9775056031,frozen_main_fit_common_trial_rescore
B2,12,0,0.05,M2_no_direct_memory,retrieval,105543.15556950467,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M0,encoding,2082.929635355305,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M0,maintenance,40648.36910505041,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M0,retrieval,101998.84492139563,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M1,encoding,14772.44583275257,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M1,maintenance,30449.2971048335,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M1,retrieval,182918.7071791089,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2,encoding,12537.979061281141,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2,maintenance,26850.589103186092,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2,retrieval,285192.74818380893,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M3,encoding,3113.1435666127654,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M3,maintenance,29279.930561102872,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M3,retrieval,301324.49850183993,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_feedback,encoding,11520.518857392357,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_feedback,maintenance,21932.80158774728,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_feedback,retrieval,281557.55292497895,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_direct_memory,encoding,10190.115867268616,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_direct_memory,maintenance,30624.99564300309,frozen_main_fit_common_trial_rescore
B2,13,0,0.05,M2_no_direct_memory,retrieval,205493.89996694727,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M0,encoding,95737.99937089146,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M0,maintenance,217683.22117270424,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M0,retrieval,488974.49079828965,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M1,encoding,71787.58288044755,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M1,maintenance,192509.34625682788,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M1,retrieval,410571.13384773466,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2,encoding,71517.43662344516,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2,maintenance,189710.71156162926,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2,retrieval,288517.5213797023,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M3,encoding,80470.88166775087,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M3,maintenance,194496.5841405343,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M3,retrieval,266341.2519024882,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_feedback,encoding,73443.87231184113,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_feedback,maintenance,186044.4180614879,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_feedback,retrieval,292275.87407822144,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_direct_memory,encoding,74174.99593947936,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_direct_memory,maintenance,198794.9928251172,frozen_main_fit_common_trial_rescore
B2,15,0,0.05,M2_no_direct_memory,retrieval,360879.1342953973,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M0,encoding,18133.408319241593,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M0,maintenance,22080.22618786911,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M0,retrieval,6424.984060953653,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M1,encoding,14818.39773042504,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M1,maintenance,19199.70829696396,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M1,retrieval,14927.309739948487,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2,encoding,17944.896683661023,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2,maintenance,14097.220728642973,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2,retrieval,13577.062240557243,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M3,encoding,25455.44948563025,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M3,maintenance,19989.369891050927,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M3,retrieval,9504.260074840398,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_feedback,encoding,20338.095492114346,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_feedback,maintenance,12554.997766417206,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_feedback,retrieval,14382.236937223897,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_direct_memory,encoding,16432.97440368882,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_direct_memory,maintenance,20712.65297152819,frozen_main_fit_common_trial_rescore
B2,17,0,0.05,M2_no_direct_memory,retrieval,12786.971682444164,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M0,encoding,38891.56893922175,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M0,maintenance,207632.92967000202,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M0,retrieval,220446.46885821523,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M1,encoding,40723.33386212883,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M1,maintenance,205143.8519068317,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M1,retrieval,192021.98293711615,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2,encoding,41088.406562057484,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2,maintenance,203834.33111378175,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2,retrieval,163361.8640241583,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M3,encoding,50067.7378544777,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M3,maintenance,233246.32385991293,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M3,retrieval,185184.46677615718,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_feedback,encoding,41118.307343220426,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_feedback,maintenance,199854.6803007875,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_feedback,retrieval,174470.59868524378,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_direct_memory,encoding,40216.122044443175,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_direct_memory,maintenance,205339.70371310427,frozen_main_fit_common_trial_rescore
B2,24,1,0.05,M2_no_direct_memory,retrieval,172660.2069125995,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M0,encoding,103876.7676211427,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M0,maintenance,784028.9628577867,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M0,retrieval,745215.2890206258,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M1,encoding,103827.8774331164,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M1,maintenance,779894.9792588936,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M1,retrieval,689267.4447342874,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2,encoding,104470.46002660449,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2,maintenance,777362.9091145617,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M2,retrieval,639845.5028547334,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M3,encoding,122066.58061871151,frozen_main_fit_common_trial_rescore
B2,25,1,0.05,M3,maintenance,835584.9813279405,frozen_main_fit_common_trial_rescore
