dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
B1,maintenance,M0,-0.004155573272317081,-0.01534758550700821,-8.958446701079481e-05,5,2000
B1,maintenance,M1,-0.0014522453558856174,-0.0030844479405891523,0.00014261687018657376,5,2000
B1,maintenance,M3,0.000677130381592006,-0.015562804680582909,0.00992471593935551,5,2000
B1,maintenance,M2_no_feedback,-0.0001535407370965025,-0.0010733238125884004,0.0014223248263656174,5,2000
B1,maintenance,M2_no_direct_memory,-0.0007951148094149652,-0.0028534713428267633,0.0019850296720744787,5,2000
B1,retrieval,M0,-0.0022009864354248787,-0.010796177099372972,0.0017660890147424002,5,2000
B1,retrieval,M1,-0.0014321631039140303,-0.007188902779861506,0.0011082754842788312,5,2000
B1,retrieval,M3,-0.0004077705980400914,-0.006309920528536406,0.005281592885787339,5,2000
B1,retrieval,M2_no_feedback,-0.0006260191710432128,-0.0019646881786608006,8.808505066104644e-05,5,2000
B1,retrieval,M2_no_direct_memory,-0.0012551024899671859,-0.008864960892241097,0.004001621758105503,5,2000
B2,encoding,M0,-0.05048157592301217,-0.08250385708445873,-0.017343835844040534,5,2000
B2,encoding,M1,-0.002001723347496931,-0.01211688990803994,0.006900496933864408,5,2000
B2,encoding,M3,0.0037922428824199717,-0.0257334382691341,0.031295105415618196,5,2000
B2,encoding,M2_no_feedback,0.005544560022275102,0.00040939514498686833,0.013081635224240329,5,2000
B2,encoding,M2_no_direct_memory,-0.016652566949900915,-0.022053486247240572,-0.012114804055500134,5,2000
B2,maintenance,M0,0.028540172430206567,-0.00761648155287209,0.049160377504568455,5,2000
B2,maintenance,M1,-0.015557600877386335,-0.032157337240604544,-0.0033259911527154795,5,2000
B2,maintenance,M3,0.025872209376087918,0.0031948280867836187,0.058909954659918995,5,2000
B2,maintenance,M2_no_feedback,-0.0012204044505332856,-0.00433558452559053,0.0009616215629005899,5,2000
B2,maintenance,M2_no_direct_memory,-0.00988245651954589,-0.02977720255061045,0.0028934453434135143,5,2000
B2,retrieval,M0,0.12193857737712621,0.003925448398930054,0.21670132809012632,5,2000
B2,retrieval,M1,0.06271992550569372,-0.0013226413369302747,0.1261063378438564,5,2000
B2,retrieval,M3,0.002125538056840459,-0.006420522255246475,0.024691046921107684,5,2000
B2,retrieval,M2_no_feedback,0.005046462273307517,-0.0015241523481568375,0.012884596816468696,5,2000
B2,retrieval,M2_no_direct_memory,0.027560765609837667,-0.01432552340327192,0.06687110286241738,5,2000
