dataset,trial_id,block,prefix_end_s,cognitive_0,cognitive_1,cognitive_2,cognitive_3,cognitive_4,cognitive_5,cognitive_6,cognitive_7,cognitive_8,ordinary_0,ordinary_1,ordinary_2,ordinary_3,ordinary_4,ordinary_5,ordinary_6,ordinary_7,ordinary_8
A2,64,3,2.8203125,0.016055550150334878,0.013883391360919727,-0.08306723709467635,0.1569735897596853,0.10366583668489178,0.16919005721830546,0.10722411509579417,0.09000644356759832,0.20059017376120256,-13.784759725958635,-240.53930038335625,-62.876698669801904,-425.3299918250529,-689.9861474021625,-677.5165176405566,-378.5184481615049,-624.0313094179147,-600.6297176206826
A2,65,3,2.81640625,0.011680106293442481,0.014420211469798565,0.04516107054140812,-0.029393758341199047,-0.0011440303082719111,0.000740699084279466,-0.02547550972357951,-0.0007797952229323074,0.0008777945932985345,-15.647281551948781,46.660172309564274,12.053329582607912,21.4154053254746,205.5837602749209,71.72478423455716,-5.989486920278371,42.870801406958655,-7.743552042546378
A2,66,3,2.8203125,-0.028241021812913273,-0.02606769674752406,-0.011960235548987029,-0.018378776414746268,-0.02398151002683789,0.24431898599177032,-0.012554010140377972,-0.02082161778578454,0.28966233985023804,23.262685674588397,-10.797009425309046,-1.059623292191341,156.33768269900276,111.18157933564616,130.30017696449968,362.96312407382493,126.195918144739,376.39424847799484
A2,67,3,2.81640625,0.10232197923588274,0.05872377012888071,0.035898760211587576,0.07335293756765282,0.05746524489176264,-0.5293442294773306,0.06357483968420048,0.039169524729567785,-0.6273202066679819,87.27173488205067,-13.048666732865192,55.77818356218146,-97.85943733479839,-503.89755179596887,-270.7781030342912,-455.94372922813903,-923.2100486669611,-825.2623229780033
A2,69,3,2.8203125,-0.006241024490590991,-0.00900744937536474,0.019514432149933415,-0.007955611503087226,-0.0139171163082302,0.11931589171892051,-0.005417465021128972,-0.012003313402824352,0.14106284530346136,65.29213338215347,14.95588571741567,86.31516150311249,101.07898215021777,-12.083348330900465,166.8633755652629,140.5711234360623,16.348445302778902,278.6614717600475
A2,70,3,2.81640625,-0.03289439107448501,-0.008774276321375351,-0.05791678109914573,0.145760080808545,0.09727793345722684,0.6116353998949896,0.09935314990074075,0.0843105842714167,0.7248425959917079,-81.62340696974265,-87.78336240965756,-112.02035285880436,-401.0840916013493,-403.58017004872454,-593.0403274211952,-208.91189082781537,168.16490264340962,-242.27561404610572
A2,71,3,2.8203125,-0.01975306201452929,0.008048686882807616,-0.021450876589267226,0.009812250129265978,0.023515943112911275,0.025714181009065685,0.0085193518498814,0.01606306000127241,0.030486496201606757,-56.12453725132889,1.4967566129264913,-104.43911788023338,-152.43421877728804,104.72601679433235,-226.23007871642614,-143.54285961332363,176.15361943106825,-284.84318358152996
A2,72,3,2.81640625,0.07448902006547409,0.045935498121097554,0.04018188038112869,0.07766410287643989,0.05618702913304328,-0.27408595820596987,0.06731131776465148,0.03829826586927434,-0.32481634893107725,142.30189971435257,-132.67919518138052,122.65768689498509,-35.84192622938329,-651.4060567353498,-248.68742712879154,-280.85449511822145,-817.8158754187251,-585.6274580394149
A2,73,3,2.81640625,-0.017342706311464163,0.00403381664570162,0.005821612527365295,-0.015244078611395716,0.007493040258070546,0.0858687812866993,-0.013212011488415203,0.005107414511866335,0.10176217784840672,15.55861643323453,30.52508035761337,10.776649386063815,-10.40891571013163,107.95982185915555,5.0687605138942615,16.56582542797819,132.93216006365378,6.325777100898893
A2,74,3,2.81640625,0.010090836968985202,0.012384382004059186,0.0387801900976493,0.006251591272758685,0.016906243633470742,0.1505039183800457,0.005418241260893212,0.011523652763207047,0.17836059018860936,69.24758208891875,131.7817297794515,98.43600594290189,9.943053830281535,48.20094991592108,11.452063690666266,32.83185380026324,-9.23695336199489,5.531412167812554
