dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A2,1,M2,maintenance,7413.457668907378,7500.146412411621,0.011558273497272786,362
A2,1,M3,maintenance,7095.486307279918,7500.146412411621,0.05395362742013288,362
A2,1,M2_no_feedback,maintenance,7413.457668907378,7500.146412411621,0.011558273497272786,362
A2,1,M2_no_direct_memory,maintenance,8146.072780130167,7500.146412411621,-0.08612183445507604,362
A2,1,M0,retrieval,17884.77385647034,17774.443449399023,-0.006207249604490261,301
A2,1,M1,retrieval,16997.26114350747,17774.443449399023,0.043724705536016706,301
A2,1,M2,retrieval,14185.026852906738,17774.443449399023,0.20194255908550807,301
A2,1,M3,retrieval,12985.676681123401,17774.443449399023,0.2694186617943043,301
A2,1,M2_no_feedback,retrieval,14185.026852906738,17774.443449399023,0.20194255908550807,301
A2,1,M2_no_direct_memory,retrieval,17429.1010027138,17774.443449399023,0.019429156680396575,301
A2,2,M0,encoding,19862.819726300786,19513.089166505622,-0.017922869967482047,205
A2,2,M1,encoding,25716.97694872973,19513.089166505622,-0.3179346811407562,205
A2,2,M2,encoding,28231.119078930813,19513.089166505622,-0.44677856171485963,205
A2,2,M3,encoding,26238.985631420554,19513.089166505622,-0.34468640037067977,205
A2,2,M2_no_feedback,encoding,28231.119078930813,19513.089166505622,-0.44677856171485963,205
A2,2,M2_no_direct_memory,encoding,25568.20705488305,19513.089166505622,-0.31031057341607826,205
A2,2,M0,maintenance,29228.06870181365,29601.245527106174,0.012606794702297308,363
A2,2,M1,maintenance,27446.64254274272,29601.245527106174,0.07278757856288376,363
A2,2,M2,maintenance,33131.23204962285,29601.245527106174,-0.11925128350711556,363
A2,2,M3,maintenance,33399.914790465344,29601.245527106174,-0.12832802119359088,363
A2,2,M2_no_feedback,maintenance,33131.23204962285,29601.245527106174,-0.11925128350711556,363
A2,2,M2_no_direct_memory,maintenance,27454.884925221315,29601.245527106174,0.07250913141203508,363
A2,2,M0,retrieval,19163.680980820853,19154.66544625566,-0.00047067042702919615,355
A2,2,M1,retrieval,18557.08928655019,19154.66544625566,0.031197420878070536,355
A2,2,M2,retrieval,15747.489393455242,19154.66544625566,0.17787708495146026,355
A2,2,M3,retrieval,15557.848658993593,19154.66544625566,0.18777758334407102,355
A2,2,M2_no_feedback,retrieval,15747.489393455242,19154.66544625566,0.17787708495146026,355
A2,2,M2_no_direct_memory,retrieval,18726.46431344709,19154.66544625566,0.022354926219412374,355
A2,3,M0,encoding,7440.721584765184,7794.445299922961,0.04538151228815124,205
A2,3,M1,encoding,5262.40195245977,7794.445299922961,0.32485228262339816,205
A2,3,M2,encoding,5748.503665542341,7794.445299922961,0.2624871373978135,205
A2,3,M3,encoding,5506.75551091265,7794.445299922961,0.2935025779233992,205
A2,3,M2_no_feedback,encoding,5743.567517659794,7794.445299922961,0.2631204278620618,205
A2,3,M2_no_direct_memory,encoding,5329.834223999425,7794.445299922961,0.3162009586426754,205
A2,3,M0,maintenance,16104.490528890874,15513.21955655766,-0.03811400787422459,362
A2,3,M1,maintenance,17529.27225449933,15513.21955655766,-0.1299570789023905,362
A2,3,M2,maintenance,15823.655423424472,15513.21955655766,-0.020011053523418143,362
A2,3,M3,maintenance,14508.10451391776,15513.21955655766,0.06479087329199973,362
A2,3,M2_no_feedback,maintenance,15881.807684685558,15513.21955655766,-0.02375961526130088,362
A2,3,M2_no_direct_memory,maintenance,17493.201356007867,15513.21955655766,-0.12763190724089513,362
A2,3,M0,retrieval,25832.744380356613,25802.090431715595,-0.0011880412837921295,340
A2,3,M1,retrieval,24567.351626294574,25802.090431715595,0.047854215870172134,340
A2,3,M2,retrieval,23536.17456174496,25802.090431715595,0.08781908101466851,340
A2,3,M3,retrieval,18510.48547112843,25802.090431715595,0.2825974499967032,340
A2,3,M2_no_feedback,retrieval,23579.600774783517,25802.090431715595,0.08613603083106092,340
A2,3,M2_no_direct_memory,retrieval,24769.001526541455,25802.090431715595,0.04003896149066588,340
A2,4,M0,encoding,21264.888707631322,21484.55409495634,0.010224340070273397,205
A2,4,M1,encoding,18206.91838829903,21484.55409495634,0.1525577720706226,205
A2,4,M2,encoding,18018.833821429907,21484.55409495634,0.1613121807512885,205
A2,4,M3,encoding,16067.551957743502,21484.55409495634,0.25213472494104583,205
A2,4,M2_no_feedback,encoding,18358.56316736987,21484.55409495634,0.14549945573784662,205
A2,4,M2_no_direct_memory,encoding,18485.254669205628,21484.55409495634,0.13960259135444752,205
A2,4,M0,maintenance,16854.02631667058,16631.826910634438,-0.013359891684182168,362
A2,4,M1,maintenance,17616.16516518289,16631.826910634438,-0.05918401266664608,362
A2,4,M2,maintenance,16033.64618086147,16631.826910634438,0.03596602664199744,362
A2,4,M3,maintenance,15016.918597087388,16631.826910634438,0.09709746994267199,362
A2,4,M2_no_feedback,maintenance,16151.907269086994,16631.826910634438,0.028855497602646496,362
A2,4,M2_no_direct_memory,maintenance,17571.183464993414,16631.826910634438,-0.05647945709189339,362
A2,4,M0,retrieval,63434.381958575796,63359.528758465334,-0.0011814039904844975,300
A2,4,M1,retrieval,62529.6945687711,63359.528758465334,0.01309722793011403,300
A2,4,M2,retrieval,59178.44629905966,63359.528758465334,0.0659897972938609,300
A2,4,M3,retrieval,52208.37021888549,63359.528758465334,0.17599812937513304,300
A2,4,M2_no_feedback,retrieval,59925.876106290045,63359.528758465334,0.054193153255050475,300
A2,4,M2_no_direct_memory,retrieval,62917.17030003641,63359.528758465334,0.006981719515548379,300
