dataset,fold,seed,level,stage,n,candidate,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,3,2039,0.0,V3,18,保守双分量,152.46164194921238,0.9630345059433504,90.36140609668499,16.58389317044316,19.53125,4,1.353174849730039
VisualCogA_Task-1,3,2039,0.0,V4,18,保守双分量,75.23562141366422,0.47523100611486874,43.70899474290033,8.102519228187676,19.53125,4,0.6644565733574103
VisualCogA_Task-1,3,2039,0.5,预处理,18,保守双分量,24.257896511551753,0.15322668104288936,26.641921867894386,6.845702623432785,75.1953125,4,0.28061080617238743
VisualCogA_Task-1,3,2039,0.5,V3,18,保守双分量,154.82702822979243,0.9779756319797761,86.84201161115601,16.493500009095204,26.3671875,4,1.3564297517727049
VisualCogA_Task-1,3,2039,0.5,V4,18,保守双分量,74.77788506256738,0.47233968279514676,41.59006745242659,7.913210716910787,58.59375,4,0.653677294343333
VisualCogA_Task-1,3,2039,1.0,预处理,18,保守双分量,47.891873291777685,0.30251232995124466,52.672095119680726,14.06510563067342,118.1640625,4,0.5577090083087354
VisualCogA_Task-1,3,2039,1.0,V3,18,保守双分量,155.3100721126338,0.981026812074085,90.86122676245715,19.116293985445456,45.8984375,4,1.3887418166569623
VisualCogA_Task-1,3,2039,1.0,V4,18,保守双分量,76.91356640336348,0.48582986169254533,49.44685721470478,13.884302009033199,61.5234375,4,0.7296982623236388
VisualCogA_Task-1,3,2039,2.0,预处理,18,保守双分量,95.45006272669038,0.602916922742317,104.60436054127425,27.825300245471727,117.1875,4,1.1090476952091484
VisualCogA_Task-1,3,2039,2.0,V3,18,保守双分量,156.86103660511287,0.9908235865588293,90.68087298026308,19.58277638137582,26.3671875,4,1.4009155508890747
VisualCogA_Task-1,3,2039,2.0,V4,18,保守双分量,88.03013727223444,0.5560484504314337,73.45373702844873,22.538125097055527,63.4765625,4,0.9303998814699842
VisualCogA_Task-1,3,2053,0.0,预处理,18,保守双分量,9.215541987798065e-15,5.821060833239412e-17,1.0067897405123407e-14,2.3754146797709077e-15,0.0,4,1.0501236458421508e-16
VisualCogA_Task-1,3,2053,0.0,V3,18,保守双分量,152.46164194921238,0.9630345059433504,90.36140609668499,16.58389317044316,19.53125,4,1.353174849730039
VisualCogA_Task-1,3,2053,0.0,V4,18,保守双分量,75.23562141366422,0.47523100611486874,43.70899474290033,8.102519228187676,19.53125,4,0.6644565733574103
VisualCogA_Task-1,3,2053,0.5,预处理,18,保守双分量,20.390510496359227,0.12879806980129047,9.359594346806627,3.065173882456106,16.6015625,4,0.17771971513428342
VisualCogA_Task-1,3,2053,0.5,V3,18,保守双分量,153.69824865145927,0.9708456177044403,85.45673182421109,15.31568410486373,49.8046875,4,1.337484874086474
VisualCogA_Task-1,3,2053,0.5,V4,18,保守双分量,78.41835793946277,0.49533498150489697,45.618872591772494,8.668017652730827,20.5078125,4,0.6941644964189438
VisualCogA_Task-1,3,2053,1.0,预处理,18,保守双分量,40.5534214413121,0.2561584912948541,19.579772175047413,6.436259220120359,48.828125,4,0.35865206036527914
VisualCogA_Task-1,3,2053,1.0,V3,18,保守双分量,154.85056378064516,0.9781242959145061,88.49060700332726,17.270205043502624,23.4375,4,1.3666912601833452
