dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
A1,54,2,-1,119264,203.125,90403,133255,113056,119264,True,retained
A1,55,2,1,121417,203.125,90403,133255,115209,121417,True,retained
A1,56,2,-1,123541,203.125,90403,133255,117333,123541,True,retained
A1,57,2,-1,125702,203.125,90403,133255,119494,125702,True,retained
A1,58,2,1,127862,203.125,90403,133255,121654,127862,False,boundary
A1,59,2,1,130027,203.125,90403,133255,123819,130027,False,boundary
A1,60,2,-1,132175,203.125,90403,133255,125967,132175,False,boundary
A1,61,3,1,134336,203.125,133255,176086,128128,134336,False,boundary
A1,62,3,-1,136656,203.125,133255,176086,130448,136656,False,boundary
A1,63,3,1,138788,207.03125,133255,176086,132580,138788,False,boundary
A1,64,3,1,140941,203.125,133255,176086,134733,140941,True,retained
A1,65,3,-1,143037,207.03125,133255,176086,136829,143037,True,retained
A1,66,3,1,145214,203.125,133255,176086,139006,145214,True,retained
A1,67,3,-1,147338,207.03125,133255,176086,141130,147338,True,retained
A1,68,3,-1,149495,203.125,133255,176086,143287,149495,True,retained
A1,69,3,1,151611,207.03125,133255,176086,145403,151611,True,retained
A1,70,3,1,153760,203.125,133255,176086,147552,153760,True,retained
A1,71,3,-1,155889,203.125,133255,176086,149681,155889,True,retained
A1,72,3,1,158017,203.125,133255,176086,151809,158017,True,retained
A1,73,3,-1,160090,203.125,133255,176086,153882,160090,True,retained
A1,74,3,1,162254,203.125,133255,176086,156046,162254,True,retained
A1,75,3,-1,164367,203.125,133255,176086,158159,164367,True,retained
A1,76,3,1,166495,203.125,133255,176086,160287,166495,True,retained
A1,77,3,-1,168596,203.125,133255,176086,162388,168596,False,quality
A1,78,3,-1,170736,207.03125,133255,176086,164528,170736,False,boundary
A1,79,3,-1,172861,203.125,133255,176086,166653,172861,False,boundary
A1,80,3,-1,175002,203.125,133255,176086,168794,175002,False,boundary
A1,81,4,-1,177170,203.125,176086,223845,170962,177170,False,boundary
A1,82,4,1,179318,207.03125,176086,223845,173110,179318,False,boundary
A1,83,4,-1,181459,203.125,176086,223845,175251,181459,False,boundary
A1,84,4,1,183556,203.125,176086,223845,177348,183556,True,retained
A1,85,4,-1,185672,203.125,176086,223845,179464,185672,True,retained
A1,86,4,1,187789,203.125,176086,223845,181581,187789,True,retained
A1,87,4,1,189909,203.125,176086,223845,183701,189909,True,retained
A1,88,4,1,192086,203.125,176086,223845,185878,192086,False,quality
A1,89,4,1,194210,203.125,176086,223845,188002,194210,True,retained
A1,90,4,1,196339,203.125,176086,223845,190131,196339,True,retained
A1,91,4,-1,198451,207.03125,176086,223845,192243,198451,True,retained
A1,92,4,1,200656,203.125,176086,223845,194448,200656,True,retained
A1,93,4,1,202756,203.125,176086,223845,196548,202756,True,retained
A1,94,4,1,204941,203.125,176086,223845,198733,204941,True,retained
A1,95,4,-1,207113,203.125,176086,223845,200905,207113,True,retained
A1,96,4,1,209286,203.125,176086,223845,203078,209286,True,retained
A1,97,4,1,211382,203.125,176086,223845,205174,211382,True,retained
A1,98,4,-1,213467,203.125,176086,223845,207259,213467,True,retained
A1,99,4,-1,215619,207.03125,176086,223845,209411,215619,True,retained
A1,100,4,1,217816,203.125,176086,223845,211608,217816,False,boundary
A2,1,0,1,5133,203.125,0,48707,-1075,5133,False,boundary
A2,2,0,-1,7418,203.125,0,48707,1210,7418,True,retained
A2,3,0,-1,9778,203.125,0,48707,3570,9778,True,retained
A2,4,0,-1,12014,203.125,0,48707,5806,12014,True,retained
A2,5,0,1,14255,203.125,0,48707,8047,14255,True,retained
A2,6,0,-1,16479,203.125,0,48707,10271,16479,True,retained
A2,7,0,1,18675,203.125,0,48707,12467,18675,True,retained
A2,8,0,1,20864,203.125,0,48707,14656,20864,True,retained
A2,9,0,-1,23056,203.125,0,48707,16848,23056,True,retained
A2,10,0,-1,25337,203.125,0,48707,19129,25337,True,retained
A2,11,0,1,27533,203.125,0,48707,21325,27533,True,retained
A2,12,0,1,29761,207.03125,0,48707,23553,29761,True,retained
A2,13,0,1,31970,203.125,0,48707,25762,31970,True,retained
