dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
B2,60,2,-1,134318,203.125,91728,135404,128110,134318,False,boundary
B2,61,3,-1,136490,203.125,135404,179440,130282,136490,False,boundary
B2,62,3,1,138639,203.125,135404,179440,132431,138639,False,boundary
B2,63,3,-1,140879,203.125,135404,179440,134671,140879,False,boundary
B2,64,3,-1,143127,207.03125,135404,179440,136919,143127,True,retained
B2,65,3,1,145292,203.125,135404,179440,139084,145292,True,retained
B2,66,3,1,147452,207.03125,135404,179440,141244,147452,True,retained
B2,67,3,1,149653,203.125,135404,179440,143445,149653,True,retained
B2,68,3,1,151825,207.03125,135404,179440,145617,151825,True,retained
B2,69,3,-1,154038,203.125,135404,179440,147830,154038,True,retained
B2,70,3,-1,156234,203.125,135404,179440,150026,156234,True,retained
B2,71,3,1,158383,203.125,135404,179440,152175,158383,True,retained
B2,72,3,1,160615,207.03125,135404,179440,154407,160615,True,retained
B2,73,3,1,162772,203.125,135404,179440,156564,162772,True,retained
B2,74,3,-1,164964,207.03125,135404,179440,158756,164964,True,retained
B2,75,3,-1,167161,207.03125,135404,179440,160953,167161,True,retained
B2,76,3,1,169398,203.125,135404,179440,163190,169398,True,retained
B2,77,3,1,171666,207.03125,135404,179440,165458,171666,True,retained
B2,78,3,-1,173803,203.125,135404,179440,167595,173803,False,boundary
B2,79,3,-1,176015,207.03125,135404,179440,169807,176015,False,boundary
B2,80,3,-1,178336,203.125,135404,179440,172128,178336,False,boundary
B2,81,4,1,180544,203.125,179440,228330,174336,180544,False,boundary
B2,82,4,-1,182721,203.125,179440,228330,176513,182721,False,boundary
B2,83,4,1,184925,203.125,179440,228330,178717,184925,False,boundary
B2,84,4,-1,187125,203.125,179440,228330,180917,187125,True,retained
B2,85,4,-1,189338,203.125,179440,228330,183130,189338,True,retained
B2,86,4,1,191590,203.125,179440,228330,185382,191590,True,retained
B2,87,4,-1,193775,203.125,179440,228330,187567,193775,True,retained
B2,88,4,1,195927,203.125,179440,228330,189719,195927,True,retained
B2,89,4,-1,198084,203.125,179440,228330,191876,198084,True,retained
B2,90,4,1,200264,203.125,179440,228330,194056,200264,True,retained
B2,91,4,-1,202445,203.125,179440,228330,196237,202445,True,retained
B2,92,4,-1,204593,203.125,179440,228330,198385,204593,True,retained
B2,93,4,1,206818,203.125,179440,228330,200610,206818,True,retained
B2,94,4,-1,208962,207.03125,179440,228330,202754,208962,True,retained
B2,95,4,1,211219,203.125,179440,228330,205011,211219,True,retained
B2,96,4,1,213363,203.125,179440,228330,207155,213363,True,retained
B2,97,4,-1,215651,207.03125,179440,228330,209443,215651,True,retained
B2,98,4,-1,217940,203.125,179440,228330,211732,217940,True,retained
B2,99,4,1,220148,203.125,179440,228330,213940,220148,True,retained
B2,100,4,-1,222325,203.125,179440,228330,216117,222325,False,boundary
