dataset,model,held_block,n_train,n_test,scale,recurrence,ridge,delta_MSE,zero_MSE,S_delta,RMSE,R2,Corr
B1,no_recurrence,0,54,15,0.75,0.0,100.0,2768.0805130072936,2770.930344855878,0.0010284747337208078,38.08906632670608,-0.09209344482492865,-0.29611334660364186
B1,no_recurrence,1,56,13,1.25,0.0,10.0,10522.441836603311,9630.66234573259,-0.09259793966983754,69.80823832950551,-0.1206269908203752,-0.3382932091425376
B1,no_recurrence,2,56,13,0.75,0.0,100.0,31592.16250486729,31569.005626316484,-0.0007335320860248906,125.67878733701731,-0.1941586320487252,0.052169067735927714
B1,no_recurrence,3,55,14,0.75,0.0,100.0,3243.492361121727,3217.1279041586836,-0.00819502915285475,52.963300209160074,-0.250871988329914,0.028890957973491057
B1,no_recurrence,4,55,14,0.75,0.0,100.0,384.44196141179077,380.9189232899665,-0.009248787357152288,32.9026041221295,-0.9790697588451276,-0.2978412915740868
B1,symmetric_readout,0,54,15,0.75,0.2,100.0,2768.104490410191,2770.930344855878,0.0010198215378937059,38.14241296359837,-0.095154707098702,-0.4332859929606228
B1,symmetric_readout,1,56,13,1.25,0.0,10.0,10625.058685258606,9630.66234573259,-0.10325316201814916,70.12491266717645,-0.13081715558711338,-0.5732056480156883
B1,symmetric_readout,2,56,13,0.75,0.2,100.0,31602.722311281348,31569.005626316484,-0.0010680312634476774,125.71732846861487,-0.1948911547431722,-0.10644991708272747
B1,symmetric_readout,3,55,14,0.75,0.2,100.0,3236.6477672102283,3217.1279041586836,-0.006067481192249646,52.996317210436594,-0.2524320465200418,-0.13526977908643747
B1,symmetric_readout,4,55,14,0.75,0.2,100.0,389.05841008275684,380.9189232899665,-0.021368029507408792,32.930975730560135,-0.9824842971348502,-0.5416899314021516
B1,gamma,0,54,15,,,100.0,2760.583745266957,2770.930344855878,0.003733980396919412,38.369897071494776,-0.10825682558944871,-0.41046173863633173
B1,gamma,1,56,13,,,10.0,11066.339682239444,9630.66234573259,-0.1490735823733882,70.37680189194694,-0.13895555378934232,-0.38107205332529315
B1,gamma,2,56,13,,,100.0,31640.300698999596,31569.005626316484,-0.0022583882915740983,125.52264855922742,-0.1911933162448307,0.2382176345613565
B1,gamma,3,55,14,,,100.0,3291.152571057543,3217.1279041586836,-0.023009550476115637,52.76311981644307,-0.241434251702775,0.13276953159051483
B1,gamma,4,55,14,,,100.0,381.8151493848101,380.9189232899665,-0.0023528001368453566,32.596944326350744,-0.9424700877228802,0.020934949724412906
B1,step,0,54,15,,,100.0,2760.3692269007115,2770.930344855878,0.003811397848658582,38.3487098954048,-0.1070332440081132,-0.4021198112392531
B1,step,1,56,13,,,10.0,11057.976287853839,9630.66234573259,-0.14820516916509918,70.06871823793048,-0.12900552656235043,-0.36861209904554065
B1,step,2,56,13,,,100.0,31640.27094994277,31569.005626316484,-0.0022574459414355097,125.5169350612677,-0.19108487803441676,0.26213142742381634
B1,step,3,55,14,,,100.0,3289.200858854594,3217.1279041586836,-0.022402887557794626,52.75443582876645,-0.24102564384860625,0.1449407937632514
B1,step,4,55,14,,,100.0,379.2769947793113,380.9189232899665,0.004310440910821667,32.56116467583287,-0.9382081693808622,0.0770766935183327
B1,ramp,0,54,15,,,100.0,2760.7818681635,2770.930344855878,0.0036624799000156694,38.29011472002968,-0.10365283040811235,-0.29672834674186455
B1,ramp,1,56,13,,,3.0,12977.836354080771,9630.66234573259,-0.3475538740937518,72.21785828702662,-0.19932512292684001,-0.30323745079700676
B1,ramp,2,56,13,,,100.0,31641.75828178255,31569.005626316484,-0.002304559615441848,125.47121209635489,-0.19021726582252496,0.34566044453597455
B1,ramp,3,55,14,,,100.0,3284.2905808743476,3217.1279041586836,-0.020876595123509034,52.687698986628945,-0.2378877183173922,0.2316018136268252
B1,ramp,4,55,14,,,100.0,376.7512000570603,380.9189232899665,0.010941234415213219,32.39947883366243,-0.919007212609898,0.35655345419038625
B1,zero,0,54,15,1.25,0.2,0.1,2770.930344855878,2770.930344855878,0.0,64.05333948532588,-2.0884651165693744,-0.49566419071764894
B1,zero,1,56,13,1.25,0.2,3.0,9630.66234573259,9630.66234573259,0.0,67.22089072085119,-0.03909737441812311,0.033972814715725615
B1,zero,2,56,13,1.25,0.2,100.0,31569.005626316484,31569.005626316484,0.0,125.37065132174776,-0.18831019558916218,0.3441382235295083
B1,zero,3,55,14,1.25,0.2,100.0,3217.1279041586836,3217.1279041586836,0.0,52.43981949926738,-0.2262673527140473,0.5502615104347807
