dataset,block,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP
B2,3,mechanism,14,0.5,0.4777777777777778,0.625,0.5555555555555556,0.5882352941176471,0.28888888888888886,2,3,4,5
B2,3,past_only,14,0.5,0.5222222222222221,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.4,3,2,5,4
B2,3,peak_latency,14,0.5,0.4777777777777778,0.625,0.5555555555555556,0.5882352941176471,0.4888888888888889,2,3,4,5
B2,3,post_given_past,14,0.6428571428571429,0.6777777777777778,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6666666666666666,4,1,4,5
B2,3,previous_cue,14,0.35714285714285715,0.3666666666666667,0.5,0.3333333333333333,0.4,0.36666666666666664,2,3,6,3
B2,3,spatial,14,0.5,0.4777777777777778,0.625,0.5555555555555556,0.5882352941176471,0.28888888888888886,2,3,4,5
B2,4,amplitude,16,0.5,0.4920634920634921,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5079365079365079,5,4,4,3
B2,4,covariance,16,0.4375,0.45238095238095233,0.4,0.5714285714285714,0.47058823529411764,0.3968253968253968,3,6,3,4
B2,4,mechanism,16,0.5,0.5079365079365079,0.4444444444444444,0.5714285714285714,0.5,0.46031746031746035,4,5,3,4
B2,4,past_only,16,0.6875,0.7222222222222222,0.5833333333333334,1.0,0.7368421052631579,0.6190476190476191,4,5,0,7
B2,4,peak_latency,16,0.5,0.5079365079365079,0.4444444444444444,0.5714285714285714,0.5,0.5555555555555556,4,5,3,4
B2,4,post_given_past,16,0.4375,0.45238095238095233,0.4,0.5714285714285714,0.47058823529411764,0.4603174603174603,3,6,3,4
B2,4,previous_cue,16,0.25,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2380952380952381,3,6,6,1
B2,4,spatial,16,0.5,0.5079365079365079,0.4444444444444444,0.5714285714285714,0.5,0.5079365079365079,4,5,3,4
