dataset,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP,BA_low,BA_high,AUC_low,AUC_high,block_permutation_p,block_permutation_maxT_p,circular_shift_p,circular_shift_maxT_p
B1,post_given_past,69,0.5652173913043478,0.5668067226890756,0.5476190476190477,0.6764705882352942,0.6052631578947368,0.6218487394957983,16,19,11,23,0.49673811742777263,0.6001602564102564,0.5750773993808049,0.6536458333333333,0.182,,0.25,
B2,amplitude,69,0.5797101449275363,0.5806587837837838,0.6176470588235294,0.5675675675675675,0.5915492957746479,0.5717905405405406,19,13,16,21,0.5010141987829615,0.6422222222222222,0.5131048387096774,0.6098901098901098,0.1265,0.4505,0.145,0.525
B2,peak_latency,69,0.4057971014492754,0.4016047297297297,0.4473684210526316,0.4594594594594595,0.4533333333333333,0.4434121621621622,11,21,20,17,0.27903225806451615,0.4747054747054747,0.3516129032258065,0.512781954887218,0.882,0.9985,0.89,1.0
B2,spatial,69,0.43478260869565216,0.42863175675675674,0.475,0.5135135135135135,0.4935064935064935,0.39442567567567566,11,21,18,19,0.3425324675324676,0.4840609840609841,0.29892473118279567,0.45738045738045735,0.7995,0.9955,0.86,1.0
B2,mechanism,69,0.42028985507246375,0.41511824324324326,0.46153846153846156,0.4864864864864865,0.47368421052631576,0.3809121621621621,11,21,19,18,0.2943722943722944,0.4847539847539848,0.3058608058608059,0.4234234234234234,0.8545,0.998,0.895,1.0
B2,covariance,69,0.4057971014492754,0.4016047297297297,0.4473684210526316,0.4594594594594595,0.4533333333333333,0.3657094594594595,11,21,20,17,0.3359559402045633,0.48430735930735935,0.2842059587699122,0.41586748038360943,0.9095,0.9985,0.925,1.0
B2,projection6,69,0.4927536231884058,0.4847972972972973,0.5238095238095238,0.5945945945945946,0.5569620253164557,0.4923986486486487,12,20,15,22,0.41574239539209296,0.5664092664092664,0.4371482176360225,0.533498759305211,0.5765,0.946,0.69,0.94
B2,direction3,69,0.4782608695652174,0.46494932432432434,0.5106382978723404,0.6486486486486487,0.5714285714285714,0.4206081081081081,9,23,13,24,0.37293469708890636,0.567663257277734,0.3536082819619405,0.4761526232114468,0.685,0.9745,0.76,0.96
B2,past_only,69,0.5507246376811594,0.5451858108108107,0.575,0.6216216216216216,0.5974025974025974,0.5548986486486487,15,17,14,23,0.44573643410852715,0.6386922846600266,0.46942291128337643,0.6086580086580087,0.259,,0.265,
B2,previous_cue,69,0.4057971014492754,0.4079391891891892,0.4375,0.3783783783783784,0.4057971014492754,0.39358108108108114,14,18,23,14,0.31392931392931395,0.5405844155844155,0.3267498267498267,0.5065922920892495,0.846,,0.805,
B2,post_given_past,69,0.4927536231884058,0.4847972972972973,0.5238095238095238,0.5945945945945946,0.5569620253164557,0.46452702702702703,12,20,15,22,0.409375,0.5838011226944667,0.4023569023569023,0.5525260625501203,0.578,,0.65,
pooled,amplitude,275,0.5163636363636364,0.5161375661375661,0.5074626865671642,0.5037037037037037,0.5055762081784386,0.5336507936507936,74,66,67,68,0.48463872733455216,0.5480583699534468,0.49771949047458985,0.5650909009515718,0.3125,0.7855,0.235,0.815
pooled,peak_latency,275,0.4690909090909091,0.46904761904761905,0.45985401459854014,0.4666666666666667,0.4632352941176471,0.4662962962962963,66,74,72,63,0.4199816809788762,0.5158770396270396,0.42424622640766946,0.5020266641329634,0.8165,0.996,0.79,0.99
pooled,spatial,275,0.4690909090909091,0.4693121693121693,0.46099290780141844,0.48148148148148145,0.47101449275362317,0.4721164021164021,64,76,70,65,0.433212961438316,0.5004127554253223,0.4276947785803285,0.5118235828358983,0.8035,0.996,0.775,0.99
pooled,mechanism,275,0.44727272727272727,0.4470899470899471,0.43703703703703706,0.43703703703703706,0.43703703703703706,0.4678835978835978,64,76,76,59,0.401553492335435,0.48365236985346377,0.4244657266601711,0.508292123744192,0.9175,0.9995,0.91,1.0
pooled,covariance,275,0.4690909090909091,0.4691798941798942,0.460431654676259,0.4740740740740741,0.46715328467153283,0.47703703703703704,65,75,71,64,0.4220505908561641,0.5208108306464557,0.43651932785240066,0.5184622302158274,0.7945,0.996,0.87,0.99
pooled,projection6,275,0.48363636363636364,0.483994708994709,0.4755244755244755,0.5037037037037037,0.4892086330935252,0.48957671957671955,65,75,67,68,0.45207644565919214,0.5205011442476959,0.45541106159976974,0.5261099201449883,0.6825,0.9795,0.69,0.98
pooled,direction3,275,0.4909090909090909,0.49193121693121694,0.48366013071895425,0.5481481481481482,0.5138888888888888,0.4632275132275132,61,79,61,74,0.44513439569955454,0.537780662692341,0.4132958394013866,0.5113389133683015,0.5775,0.9535,0.595,0.97
pooled,past_only,275,0.5236363636363637,0.5242063492063492,0.5136986301369864,0.5555555555555556,0.5338078291814946,0.48513227513227514,69,71,60,75,0.4821613021055825,0.5666569754799459,0.43955900466268316,0.5299033750125555,0.237,,0.21,
pooled,previous_cue,275,0.5454545454545454,0.5448412698412699,0.5390625,0.5111111111111111,0.5247148288973384,0.5012698412698413,81,59,66,69,0.5010045449383685,0.5910773571316168,0.4534870852327764,0.5560338421373763,0.1505,,0.66,
pooled,post_given_past,275,0.48363636363636364,0.4846560846560847,0.477124183006536,0.5407407407407407,0.5069444444444444,0.49566137566137564,60,80,62,73,0.4392765446376235,0.5269368663982433,0.4525153601478054,0.5316332538477713,0.672,,0.705,
