dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,gamma,2,Right,F3,301.5089190208453,-17.12407437735116,-0.9119471946550926
A1,strict_oof,gamma,2,Right,F4,267.41080624649936,-17.06162186265843,-0.9420390917749292
A1,strict_oof,gamma,3,Left,Fz,7.467565355520971,-0.05838974783165596,-0.07861598984008053
A1,strict_oof,gamma,3,Left,F3,8.49736718686831,-0.5047835103167682,0.3564525319854819
A1,strict_oof,gamma,3,Left,F4,18.93788349817027,-2.5551676192252195,0.723372863531652
A1,strict_oof,gamma,3,Right,Fz,12.451759686766326,-3.5154086838900422,-0.3952603498379721
A1,strict_oof,gamma,3,Right,F3,84.7057817416106,-11.129945420695604,-0.5972331257080958
A1,strict_oof,gamma,3,Right,F4,98.24351747512922,-5.810286907824627,-0.5534197059268268
A1,strict_oof,gamma,4,Left,Fz,30.526597473935066,-5.956762314195951,-0.7254632097409821
A1,strict_oof,gamma,4,Left,F3,169.1144007477164,-6.783181061591648,0.6832176418935433
A1,strict_oof,gamma,4,Left,F4,106.02097575526787,-9.319970427506084,0.8259948554133953
A1,strict_oof,gamma,4,Right,Fz,6.998540829932563,-0.28942498315241694,-0.0653929031469664
A1,strict_oof,gamma,4,Right,F3,17.028054927812107,-3.1883361853920684,-0.6473109133608475
A1,strict_oof,gamma,4,Right,F4,18.26906921557886,-2.55851368881832,-0.6899972746432992
A1,strict_oof,step,0,Left,Fz,4.103602525381855,-0.07141063277619586,-0.26191598416160033
A1,strict_oof,step,0,Left,F3,94.04083794534283,-8.05527942732443,0.916509412148062
A1,strict_oof,step,0,Left,F4,101.26904559138745,-8.975053991364181,0.9221798205933393
A1,strict_oof,step,0,Right,Fz,3.5710023420606314,-0.042060435848215505,-0.19982304107149565
A1,strict_oof,step,0,Right,F3,29.108265917534535,-5.641929865129905,-0.7452490603468153
A1,strict_oof,step,0,Right,F4,43.104789623653566,-8.58238375658736,-0.8403431153520512
A1,strict_oof,step,1,Left,Fz,10.446162343585572,-0.05881282472199145,-0.48966248693109454
A1,strict_oof,step,1,Left,F3,9.349861119079431,0.2617841331413814,0.5387998584333457
A1,strict_oof,step,1,Left,F4,30.352176195188083,-2.047194085783991,0.7328647322090831
A1,strict_oof,step,1,Right,Fz,11.477537844121617,-0.043513565386698705,0.32122579651634264
A1,strict_oof,step,1,Right,F3,24.33023553189846,-3.0969847425372077,-0.41633175450472004
A1,strict_oof,step,1,Right,F4,17.26579879322376,-0.43301167536048935,-0.5422097128574865
A1,strict_oof,step,2,Left,Fz,6.435112718762044,-0.35394097263885316,0.11189860372173521
A1,strict_oof,step,2,Left,F3,63.12580388639416,-46.642724899030824,-0.8824638498226602
A1,strict_oof,step,2,Left,F4,125.6544613813432,-23.8233125795462,-0.904810123542949
A1,strict_oof,step,2,Right,Fz,37.60986531609401,-7.733252084285073,-0.7793617697875875
A1,strict_oof,step,2,Right,F3,301.2275972478906,-17.090268955650483,-0.9855224715041943
A1,strict_oof,step,2,Right,F4,267.19587683701235,-17.03259974704311,-0.9878792373465268
A1,strict_oof,step,3,Left,Fz,7.354443103748456,-0.02656663503081136,0.17376919945798072
A1,strict_oof,step,3,Left,F3,10.149481912668504,-1.1468069903672795,0.1973463770395807
A1,strict_oof,step,3,Left,F4,19.29813267252434,-2.6917116853061858,0.6322673439892883
A1,strict_oof,step,3,Right,Fz,12.469444531805344,-3.528243979809287,-0.545370706175609
A1,strict_oof,step,3,Right,F3,84.54751021615978,-11.08465851481098,-0.8656227542976257
A1,strict_oof,step,3,Right,F4,98.4136661754752,-5.83389691141743,-0.8573016781725473
A1,strict_oof,step,4,Left,Fz,30.53413556832301,-5.960198478723454,0.5991281122169176
A1,strict_oof,step,4,Left,F3,169.12767258140397,-6.784402733281934,0.8800566660100131
A1,strict_oof,step,4,Left,F4,106.02896965942925,-9.321526722645972,0.8931652564331499
A1,strict_oof,step,4,Right,Fz,7.005413285737168,-0.2919586161937935,-0.2798733359125798
