dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,29,1,-1,peak_latency,25.146586833485873,64.50874180096073,95.63255258475584,38.41108808153414,75.91714770564633,98.8718174844006,328.125,332.03125,335.9375,0.0,0.0,0.0,,,,,,,,,,,,
A1,30,1,-1,peak_latency,11.973976357258046,-11.930418955918498,15.088345142825899,25.5516859731242,0.3440900408385481,28.816435095587963,308.59375,265.625,308.59375,0.0,0.0,0.0,,,,,,,,,,,,
A1,31,1,-1,peak_latency,2.9289104592246336,-23.75682557642338,-89.78884924918914,11.890944194176026,,,320.3125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,32,1,1,peak_latency,11.917852482826786,-15.746911820888913,2.997313257555372,32.86914767217222,,22.1058363411448,359.375,,363.28125,0.0,1.0,0.0,,,,,,,,,,,,
A1,33,1,1,peak_latency,1.1358544560600712,2.5464446970255916,7.865728501684536,20.324277787333,17.123038876855734,25.88875093389152,359.375,359.375,359.375,0.0,0.0,0.0,,,,,,,,,,,,
A1,34,1,-1,peak_latency,-15.292655240179103,-39.58158337056389,-25.39570733700283,21.102267131289736,,4.809045982370891,386.71875,,382.8125,0.0,1.0,0.0,,,,,,,,,,,,
A1,35,1,1,peak_latency,11.326394750598668,-10.59895670551049,-11.710208925491095,25.516787700215275,3.067074563811019,0.9779137732111991,421.875,300.78125,304.6875,0.0,0.0,0.0,,,,,,,,,,,,
A1,37,1,-1,peak_latency,-2.9722690952695534,-11.296984456734478,3.205569667107211,9.53683372648099,2.1629049215867724,21.341678959317292,359.375,410.15625,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,44,2,1,peak_latency,5.720472406396268,18.434049829958226,39.39700851092647,21.148655580913243,30.911171958768925,57.23005017491505,335.9375,292.96875,343.75,0.0,0.0,0.0,,,,,,,,,,,,
A1,45,2,-1,peak_latency,5.340472254311149,-148.80388054825318,-47.83554867938973,15.990396234636513,,,265.625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,47,2,-1,peak_latency,8.734771274149399,-10.909844847160313,-9.070803886174822,19.353941569710102,0.18430190976462058,3.9411354001098147,289.0625,292.96875,292.96875,0.0,0.0,0.0,,,,,,,,,,,,
A1,48,2,1,peak_latency,11.648147042398787,-1.388460871208397,-8.414843453135116,28.007140924617072,9.435050571089961,8.437111119623413,464.84375,355.46875,390.625,0.0,0.0,0.0,,,,,,,,,,,,
A1,49,2,-1,peak_latency,-4.906884458569713,23.833400125259498,35.2593268810678,2.981387045327625,29.886697283212584,47.729781601994375,335.9375,339.84375,421.875,0.0,0.0,0.0,,,,,,,,,,,,
A1,50,2,-1,peak_latency,4.187957789879499,19.657479445936637,-74.16792211705025,23.800647266695027,32.43794246454735,,414.0625,414.0625,,0.0,0.0,1.0,,,,,,,,,,,,
A1,51,2,1,peak_latency,6.1361097023303754,139.24563189112683,228.35811946872903,24.50713215476825,163.03400632202764,248.189945425758,285.15625,281.25,289.0625,0.0,0.0,0.0,,,,,,,,,,,,
A1,52,2,1,peak_latency,-105.96186470038243,806.1784201082341,689.0591432447476,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,53,2,1,peak_latency,-102.93051736704061,739.3732979451629,562.7661871806357,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,54,2,-1,peak_latency,-54.943974744389315,214.29940923881747,681.3508971639491,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,55,2,1,peak_latency,4.957851611743225,60.808817046633926,32.09836981621045,23.302630035351534,82.24797545141872,48.47138651096573,382.8125,378.90625,308.59375,0.0,0.0,0.0,,,,,,,,,,,,
A1,56,2,-1,peak_latency,3.2541154327780353,124.93821772130879,46.63980409395943,20.78645600591182,142.95333958361084,67.11211094044992,363.28125,437.5,367.1875,0.0,0.0,0.0,,,,,,,,,,,,
A1,57,2,-1,peak_latency,16.7210225801347,-0.8520733853919259,9.147482999058452,26.784340244823568,6.422328728857053,19.494434043718066,429.6875,273.4375,300.78125,0.0,0.0,0.0,,,,,,,,,,,,
A1,64,3,1,peak_latency,31.902620370901534,-195.2202457695005,-155.14756579377521,50.341742511064005,,,324.21875,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,65,3,-1,peak_latency,14.380818698311172,-20.039986142697902,-23.390979124060724,27.339686450884066,,,277.34375,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,66,3,1,peak_latency,-7.401221672851818,45.832568148184244,-16.00387271122569,8.885780371181035,66.36682599265467,15.870921741884985,382.8125,281.25,285.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,67,3,-1,peak_latency,12.78883993296701,-71.7958700931621,-68.17935484039275,23.129258419978175,,,320.3125,,,0.0,1.0,1.0,,,,,,,,,,,,
