dataset,held_block,parameter,factor,eigenmax,delta_MSE,zero_MSE,S_delta,delta_change_RMS
A2,3,recurrence,1.2,-2.6666666666666665,877.2619291892375,1417.9864907716194,0.3813326608549974,0.14833907386586273
A2,3,F4_readout,0.8,,874.6929241278408,1417.9864907716194,0.38314438831369757,1.6235447698657477
A2,3,F4_readout,1.2,,890.6860835762324,1417.9864907716194,0.37186560706121274,1.623544769865748
A2,4,time_scale,0.8,-3.333333333333333,19388.62527343353,22184.134202488425,0.12601388467715458,3.158872133117571
A2,4,time_scale,1.2,-2.222222222222222,19691.063154185176,22184.134202488425,0.11238081349253637,2.1356022814701143
A2,4,recurrence,0.8,-2.6666666666666665,19427.692756785316,22184.134202488425,0.12425282954670891,0.06636133141349243
A2,4,recurrence,1.2,-2.6666666666666665,19402.470802294447,22184.134202488425,0.12538976616369168,0.059264956405368996
A2,4,F4_readout,0.8,,19490.67277174452,22184.134202488425,0.12141386299591417,0.8804528460391845
A2,4,F4_readout,1.2,,19338.907510420937,22184.134202488425,0.12825502523999044,0.8804528460391845
B1,0,time_scale,0.8,-3.333333333333333,2764.9616693133285,2770.930344855878,0.0021540330501740312,0.10423331205831832
B1,0,time_scale,1.2,-2.222222222222222,2765.553742073666,2770.930344855878,0.0019403601365128864,0.07278726857532833
B1,0,recurrence,0.8,-2.6666666666666665,2765.0843641492215,2770.930344855878,0.0021097537574372716,0.002103772206118455
B1,0,recurrence,1.2,-2.6666666666666665,2765.054301219388,2770.930344855878,0.0021206031567696515,0.00218739327368038
B1,0,F4_readout,0.8,,2770.2155087225788,2770.930344855878,0.0002579769407146104,0.06516266132810253
B1,0,F4_readout,1.2,,2759.929253228245,2770.930344855878,0.003970179780251715,0.06516266132810253
B1,1,time_scale,0.8,-3.333333333333333,10454.845424631822,9630.66234573259,-0.08557906500215262,1.425730589073575
B1,1,time_scale,1.2,-2.222222222222222,10362.813501436087,9630.66234573259,-0.07602292858163784,0.9892045959788306
B1,1,recurrence,0.8,-2.6666666666666665,10426.214226558297,9630.66234573259,-0.0826061440289434,0.0262740157359427
B1,1,recurrence,1.2,-2.6666666666666665,10428.431130418927,9630.66234573259,-0.08283633628167153,0.026480534375443045
B1,1,F4_readout,0.8,,10385.711931919623,9630.66234573259,-0.07840058752777268,0.888665712252205
B1,1,F4_readout,1.2,,10472.082086180355,9630.66234573259,-0.08736883406784623,0.888665712252205
B1,2,time_scale,0.8,-5.5555555555555545,31587.853384145288,31569.005626316484,-0.000597033623798815,0.03930990516880772
B1,2,time_scale,1.2,-3.7037037037037033,31589.80056071162,31569.005626316484,-0.0006587136332796284,0.029601485311417042
B1,2,recurrence,0.8,-4.444444444444444,31589.123827519856,31569.005626316484,-0.000637277000153702,0.001047519662500769
B1,2,recurrence,1.2,-4.444444444444444,31588.981076023443,31569.005626316484,-0.000632755112511596,0.0012263731446909222
B1,2,F4_readout,0.8,,31587.73286492695,31569.005626316484,-0.0005932159800070558,0.005459030919744213
B1,2,F4_readout,1.2,,31590.406738783615,31569.005626316484,-0.0006779153173355201,0.005459030919744206
B1,3,time_scale,0.8,-5.5555555555555545,3239.3173072899076,3217.1279041586836,-0.0068972710418322425,0.09557601872035483
B1,3,time_scale,1.2,-3.7037037037037033,3240.119723603349,3217.1279041586836,-0.0071466911262509925,0.07186493640593046
B1,3,recurrence,0.8,-4.444444444444444,3239.9837521119202,3217.1279041586836,-0.007104426256628438,0.002444229354563526
B1,3,recurrence,1.2,-4.444444444444444,3239.838179204893,3217.1279041586836,-0.007059176918907228,0.002889357045919694
B1,3,F4_readout,0.8,,3235.457159413869,3217.1279041586836,-0.005697397119801106,0.08113370154655553
B1,3,F4_readout,1.2,,3244.4249947993685,3217.1279041586836,-0.00848492551551927,0.08113370154655554
B1,4,time_scale,0.8,-5.5555555555555545,384.58386422039877,380.9189232899665,-0.009621314947491966,0.09087698437938392
B1,4,time_scale,1.2,-3.7037037037037033,383.27776965516824,380.9189232899665,-0.0061925155747806215,0.0684046197386771
B1,4,recurrence,0.8,-4.444444444444444,383.94834708461764,380.9189232899665,-0.007952935938404515,0.002570014562254549
B1,4,recurrence,1.2,-4.444444444444444,383.9032186204983,380.9189232899665,-0.00783446331507176,0.0030103943822128395
B1,4,F4_readout,0.8,,383.4635231971701,380.9189232899665,-0.0066801614506994955,0.0736041843726287
B1,4,F4_readout,1.2,,384.40939290274304,380.9189232899665,-0.009163287511761542,0.07360418437262868
B2,0,time_scale,0.8,-3.333333333333333,17702.469175514678,1849.7114604083993,-8.570394926139526,25.330253252616995
B2,0,time_scale,1.2,-2.222222222222222,11104.084171410854,1849.7114604083993,-5.003143954657217,17.313046827115336
