dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogB_Task-2,P300_amp,预处理,69.37736145215392,6,6,6
VisualCogB_Task-2,P300_amp,V7,65.04302457058641,6,6,6
VisualCogB_Task-2,latency_error_ms,预处理,83.59375,5,5,6
VisualCogB_Task-2,latency_error_ms,V7,83.59375,5,5,6
VisualCogB_Task-2,P300_AUC_unit_ms,预处理,12531.397479103898,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V7,11780.019857383922,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,预处理,7885.184994580105,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V7,7133.807372860133,6,6,6
VisualCogB_Task-2,P300_lat_ms,预处理,500.0,6,6,6
VisualCogB_Task-2,P300_lat_ms,V7,500.0,6,6,6
