dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,past,6,0,-1,N0,maintenance,0,362,498.67999034760754,936.4228198451406,1530.1436393708943,0.1401030707814467
A1,past,6,0,-1,N0,maintenance,1,362,92064.41251542543,57376.304593775836,51285.07932223722,1.2117047127109473
A1,past,6,0,-1,N0,maintenance,2,362,75177.3750919888,44389.12989779392,41608.480335126515,0.9383903348246518
A1,past,6,0,-1,N0,retrieval,0,278,48.573579875797414,2099.5218125504175,2340.3957700815977,0.013646642799329938
A1,past,6,0,-1,N0,retrieval,1,278,387240.8612504009,266858.19138793775,205797.4760537393,5.096666167860883
A1,past,6,0,-1,N0,retrieval,2,278,326060.3564917689,190559.0350167323,136750.34663734716,4.069999607288257
A1,past,7,0,-1,N0,encoding,0,205,82.18819615129628,68.81876553416949,80.84516082971453,0.02309059694726878
A1,past,7,0,-1,N0,encoding,1,205,2101.365643330915,3638.1866088842257,2017.652142997295,0.027657099888910054
A1,past,7,0,-1,N0,encoding,2,205,3586.269729251304,6392.982188654882,3792.8863523157643,0.04476507523554472
A1,past,7,0,-1,N0,maintenance,0,363,252.01674987727532,95.09881273844437,301.2476829049241,0.07080356386779063
A1,past,7,0,-1,N0,maintenance,1,363,4030.35233605824,11706.198964109757,7306.319451719135,0.05304543619033136
A1,past,7,0,-1,N0,maintenance,2,363,24205.162280068653,44694.617444834694,34456.17310292099,0.30213731603006105
A1,past,7,0,-1,N0,retrieval,0,345,339.3782023073526,131.90239900530185,166.69834473148205,0.09534757604050569
A1,past,7,0,-1,N0,retrieval,1,345,471.2415021236271,8894.456671547305,1015.513704718482,0.006202239642299488
A1,past,7,0,-1,N0,retrieval,2,345,11349.962528060643,7661.168074242777,9100.59652895661,0.14167420881510745
A1,past,8,0,-1,N0,encoding,0,205,53.65947282256625,73.34712600363082,60.84848849677102,0.01507551348453896
A1,past,8,0,-1,N0,encoding,1,205,206.696655101312,342.31944686478005,1079.3996686477315,0.002720435662866855
A1,past,8,0,-1,N0,encoding,2,205,2120.6440421601187,681.2573689467138,1836.2824475213783,0.026470621916920296
A1,past,8,0,-1,N0,maintenance,0,362,79.39545435251854,179.48875708075855,74.60124168407958,0.022305982145227644
A1,past,8,0,-1,N0,maintenance,1,362,17701.695028989474,18608.32043445226,20426.466680471793,0.23298065673318308
A1,past,8,0,-1,N0,maintenance,2,362,31470.535434148664,49150.852536212304,56313.102708273036,0.3928262492142911
A1,past,8,0,-1,N0,retrieval,0,240,571.3065215754547,1114.406635825634,957.5179024691527,0.16050733853266194
A1,past,8,0,-1,N0,retrieval,1,240,172584.06183103388,204972.79083103154,265707.23940921895,2.271463156563596
A1,past,8,0,-1,N0,retrieval,2,240,375556.699176133,561169.6265935188,665207.2285327711,4.687830298069129
A1,past,9,0,1,N0,encoding,0,205,72.0936258932942,60.89160109143923,55.39622149450274,0.020254549143587458
A1,past,9,0,1,N0,encoding,1,205,5820.197622734429,2256.8311170498882,4009.3365733915475,0.07660246446687242
A1,past,9,0,1,N0,encoding,2,205,709.3305000732327,133.6175019023245,225.32030832638188,0.008854111820884664
A1,past,9,0,1,N0,maintenance,0,362,64.59367892468687,476.37254875518425,180.55008073158294,0.018147455172827877
A1,past,9,0,1,N0,maintenance,1,362,12839.055916724892,6052.457410062766,9214.176336233064,0.16898108765369368
A1,past,9,0,1,N0,maintenance,2,362,3275.11582287564,238.52348518827804,664.9495075209298,0.04088114316118619
A1,past,9,0,1,N0,retrieval,0,275,170.39873427143104,1180.281295438861,1014.3389706940995,0.04787315791848427
A1,past,9,0,1,N0,retrieval,1,275,183751.97645315525,131811.41295483964,178778.6713938755,2.4184495371752206
A1,past,9,0,1,N0,retrieval,2,275,29000.578053876194,6876.294695417146,21794.57677573669,0.3619953758266475
A1,past,10,0,1,N0,encoding,0,205,138.7429494282378,116.17689838659756,128.83113823778254,0.038979533248609984
A1,past,10,0,1,N0,encoding,1,205,700.764569169015,480.5922967269523,1471.5477341447076,0.009223104864984413
A1,past,10,0,1,N0,encoding,2,205,1868.995767201798,435.6430556349127,129.47419700662198,0.023329459982132955
A1,past,10,0,1,N0,maintenance,0,362,93.84553093758707,84.31903479888761,191.6371193592785,0.02636570008414874
A1,past,10,0,1,N0,maintenance,1,362,2287.2553085213526,4974.449261361922,8612.84088722734,0.030103684591959924
