dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
B1,B0,maintenance,56471.493025728945,91434.57311776378,94087.89362133945,0.8108957090540273,237.6373140433315,0.900497478649456,0.3823835875189563,0.39980064541564975,64,past
B1,B0,retrieval,58461.33591244687,102974.56045988796,103381.47550049225,0.8476352838858549,241.78779107400536,0.920671105165061,0.4322739941655831,0.4345085942193918,64,past
B1,N0,encoding,16386.735330391468,26634.761749932135,26642.810688924143,0.23175267456896664,128.010684438415,0.48140697395131976,0.3847613324180299,0.38494719938824984,64,past
B1,N0,maintenance,56788.52561651939,91434.57311776378,94087.89362133945,0.8150544982220778,238.30343181859425,0.902803687532388,0.37891627116388216,0.39643110892600997,64,past
B1,N0,retrieval,58685.51299150488,102974.56045988796,103381.47550049225,0.8502759809780799,242.25092980524323,0.922104105282088,0.43009697997822627,0.4323401488768125,64,past
B1,N1,encoding,16308.892553531485,26634.761749932135,26642.810688924143,0.23089227613192806,127.70627452686686,0.4805125140221928,0.38768393325038697,0.38786891728689266,64,past
B1,N1,maintenance,56796.70036174548,91434.57311776378,94087.89362133945,0.8148659027813197,238.32058316844032,0.9026992316277441,0.3788268657568534,0.3963442247912775,64,past
B1,N1,retrieval,58848.37750649377,102974.56045988796,103381.47550049225,0.852372928690643,242.5868452874017,0.9232404500944719,0.4285153804621755,0.43076477462141105,64,past
B1,N2,encoding,16386.810685743574,26634.761749932135,26642.810688924143,0.23251556219550162,128.01097877035224,0.4821986750246226,0.38475850320736105,0.38494437103230095,64,past
B1,N2,maintenance,56964.19716746189,91434.57311776378,94087.89362133945,0.8166321410244692,238.67173516665497,0.9036770114507003,0.37699498969504164,0.3945640084502623,64,past
B1,N2,retrieval,58679.15940114747,102974.56045988796,103381.47550049225,0.849371111704631,242.23781579503122,0.9216133200559934,0.4301586805606714,0.43240160660245097,64,past
B1,N3,encoding,16708.77465269058,26634.761749932135,26642.810688924143,0.23662981961199545,129.2624255253265,0.48644611172461377,0.37267039181481876,0.3728599115243988,64,past
B1,N3,maintenance,57287.39592644153,91434.57311776378,94087.89362133945,0.8223314022217586,239.3478554874506,0.9068249016330322,0.37346023530226535,0.39112893570561813,64,past
B1,N3,retrieval,59436.1131393649,102974.56045988796,103381.47550049225,0.860205867413263,243.7952278847248,0.9274728391781956,0.4228077995776709,0.425079659081845,64,past
B2,B0,encoding,53821.264946884745,73545.04224899405,76659.19279741017,0.3004903544956701,231.99410541409182,0.548170005103955,0.26818636170379095,0.29791505776587013,71,past
B2,B0,maintenance,102769.07669075251,210966.8677569142,207142.88257194913,0.5884507426430905,320.57616363471647,0.767105431243379,0.5128662723989068,0.5038734837772829,71,past
B2,B0,retrieval,90825.03487586025,224165.20551476107,201900.90523377535,0.5345756282728484,301.37192118022585,0.7311467898259887,0.5948299172153213,0.5501504326060525,71,past
B2,N0,encoding,53860.00199345122,73545.04224899405,76659.19279741017,0.30041195487485395,232.07757753271042,0.5480984901227643,0.2676596498360444,0.29740974268032205,71,past
B2,N0,maintenance,103014.61466154334,210966.8677569142,207142.88257194913,0.5897535988949404,320.9588987106345,0.7679541645794626,0.5117024025770647,0.5026881282017392,71,past
B2,N0,retrieval,91336.4346232188,224165.20551476107,201900.90523377535,0.5376773511538293,302.2191830827732,0.7332648574381765,0.5925485651821893,0.5476175081163558,71,past
B2,N1,encoding,51658.893477876634,73545.04224899405,76659.19279741017,0.28666207594667753,227.28592890426947,0.5354083263703298,0.29758836356391893,0.32612265283829256,71,past
B2,N1,maintenance,102959.67103700044,210966.8677569142,207142.88257194913,0.5883059344559336,320.87329436554927,0.7670110393312038,0.5119628397970275,0.5029533732531777,71,past
B2,N1,retrieval,90463.30481301578,224165.20551476107,201900.90523377535,0.5308462512193474,300.77118348175543,0.7285919648330932,0.596443593441361,0.5519420544040113,71,past
B2,N2,encoding,51908.32044218207,73545.04224899405,76659.19279741017,0.28796847112885066,227.8339756098332,0.5366269385046288,0.2941968777930497,0.32286894046273173,71,past
B2,N2,maintenance,102907.62775184997,210966.8677569142,207142.88257194913,0.5884230333513825,320.7921877974119,0.767087370089863,0.5122095291739133,0.5032046166678887,71,past
B2,N2,retrieval,89916.69922127097,224165.20551476107,201900.90523377535,0.5273042592438003,299.86113322881806,0.7261571863197391,0.5988819985921051,0.5546493507933559,71,past
B2,N3,encoding,52670.58713922122,73545.04224899405,76659.19279741017,0.2925369389209878,229.50073450693185,0.5408668402860244,0.2838322539689391,0.3129253620186746,71,past
B2,N3,maintenance,103488.49983406515,210966.8677569142,207142.88257194913,0.5930127749912297,321.6962850796775,0.7700732270318387,0.509456148567796,0.5004004069600634,71,past
B2,N3,retrieval,88879.39232669641,224165.20551476107,201900.90523377535,0.521100584708788,298.1264703556134,0.7218729699253102,0.6035094201055935,0.5597870538332383,71,past
A1,N0,encoding,14268.788189754636,14101.802634763324,14074.293121942592,0.2904941887971035,119.45203300804317,0.538975128180423,-0.011841433277449465,-0.013819171316591161,65,stimulus
