dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A2,stimulus,6,0,-1,N1,maintenance,0,362,12654.69646751155,18973.766277863306,15214.30936257987,0.2995087722288396
A2,stimulus,6,0,-1,N1,maintenance,1,362,10568.986648310363,20535.98637057796,8937.5922484946,0.0982791889860123
A2,stimulus,6,0,-1,N1,maintenance,2,362,11359.952682422538,23073.53120543711,14153.026902637897,0.08377101620672706
A2,stimulus,6,0,-1,N1,retrieval,0,318,2460.1834199265145,578.6943498354115,5074.68156951499,0.058227118876509325
A2,stimulus,6,0,-1,N1,retrieval,1,318,12104.881306249878,2536.7697434168535,26705.65959580302,0.1125612092376299
A2,stimulus,6,0,-1,N1,retrieval,2,318,20715.77576521194,5779.15873252052,42099.813282479045,0.152763099977316
A2,stimulus,7,0,1,N1,encoding,0,205,2942.0552062378624,499.1654549699783,1873.1191930791415,0.06963196192907524
A2,stimulus,7,0,1,N1,encoding,1,205,2698.7809184719026,828.8630208107691,879.1156314870311,0.025095499572870245
A2,stimulus,7,0,1,N1,encoding,2,205,8194.594741148352,708.6474306878368,1510.10615858168,0.0604289074135393
A2,stimulus,7,0,1,N1,maintenance,0,363,8241.911414728753,5141.559407991913,4746.7267992645775,0.19506787657702565
A2,stimulus,7,0,1,N1,maintenance,1,363,9994.0772236475,11574.99567207281,7906.3762857357115,0.09293320512999959
A2,stimulus,7,0,1,N1,maintenance,2,363,14371.44750037102,18842.255671311654,8118.55348085239,0.1059785014184558
A2,stimulus,7,0,1,N1,retrieval,0,312,28571.148004830648,18295.088753019158,36061.00638219853,0.6762160974832148
A2,stimulus,7,0,1,N1,retrieval,1,312,89065.5319990375,55536.274897863106,129008.01152441259,0.8282050628640445
A2,stimulus,7,0,1,N1,retrieval,2,312,64869.58482278051,32952.85120330225,99224.90765235049,0.47836387997647417
A2,stimulus,8,0,1,N1,encoding,0,205,956.67496831513,3488.7557884171306,1779.2889875733147,0.022642387821607934
A2,stimulus,8,0,1,N1,encoding,1,205,1337.6477876703686,3591.28037353719,1820.6659145201086,0.012438556703276185
A2,stimulus,8,0,1,N1,encoding,2,205,1677.0703263443522,5733.004270998983,3807.6630990967724,0.01236711889701762
A2,stimulus,8,0,1,N1,maintenance,0,362,3223.870130512662,8683.575660684784,7286.6539579854725,0.07630190001743671
A2,stimulus,8,0,1,N1,maintenance,1,362,3231.6297169769946,11061.732225895905,6407.529553030427,0.030050368900633423
A2,stimulus,8,0,1,N1,maintenance,2,362,8021.003638494587,22246.88764640641,15068.145279809616,0.05914880497999192
A2,stimulus,8,0,1,N1,retrieval,0,316,501.84787381202034,2394.3819520964066,108.50159752899515,0.011877633012927463
A2,stimulus,8,0,1,N1,retrieval,1,316,7931.523020727593,19920.469570686382,476.0293296664913,0.07375386835459877
A2,stimulus,8,0,1,N1,retrieval,2,316,12219.508434109783,29854.315501413508,1534.8512147547126,0.09010958651755183
A2,stimulus,9,0,-1,N1,encoding,0,205,7024.6041303185475,12624.65388720093,5756.025121711348,0.1662568963125091
A2,stimulus,9,0,-1,N1,encoding,1,205,22673.941346613825,38663.465384395284,28911.114721254908,0.2108410806837251
A2,stimulus,9,0,-1,N1,encoding,2,205,17376.449773557873,34198.20444550154,27323.303797336226,0.12813810904762293
A2,stimulus,9,0,-1,N1,maintenance,0,363,29692.090295655988,24038.43873383934,30562.05137253725,0.7027463307548228
A2,stimulus,9,0,-1,N1,maintenance,1,363,123949.61102981759,102393.75317390522,156886.2977897351,1.1525861137396374
A2,stimulus,9,0,-1,N1,maintenance,2,363,92621.66474123468,72681.42373288432,119478.10115545354,0.6830143747110559
A2,stimulus,9,0,-1,N1,retrieval,0,401,9697.66223438725,5793.642066149461,16525.80955419034,0.2295222897497488
A2,stimulus,9,0,-1,N1,retrieval,1,401,47954.99667818733,30909.033415914655,87562.37894759912,0.445925265892224
A2,stimulus,9,0,-1,N1,retrieval,2,401,26569.1756335931,12037.909580859507,56461.43416642947,0.1959274747724093
A2,stimulus,10,0,-1,N1,encoding,0,205,16923.847832286934,25805.444328389676,15522.753884455053,0.4005501750792063
A2,stimulus,10,0,-1,N1,encoding,1,205,75713.23562885216,103683.10952490508,86730.35134924114,0.7040443555011984
A2,stimulus,10,0,-1,N1,encoding,2,205,41083.29003589192,66237.05974089712,56504.99262672224,0.30295803614988676
A2,stimulus,10,0,-1,N1,maintenance,0,362,16373.94502161131,16283.236843178136,19785.98070980331,0.3875351876321758
A2,stimulus,10,0,-1,N1,maintenance,1,362,107697.12243676414,94911.92385052804,139780.43960717844,1.0014570177269122
A2,stimulus,10,0,-1,N1,maintenance,2,362,61133.686513461354,55110.77463263879,85611.43797764795,0.450814469643022
A2,stimulus,10,0,-1,N1,retrieval,0,319,10891.68249260283,6919.208044447099,14616.113186215674,0.257782117432904
A2,stimulus,10,0,-1,N1,retrieval,1,319,78824.18098756441,49847.80156068697,119814.08544029926,0.7329725013119339
A2,stimulus,10,0,-1,N1,retrieval,2,319,25427.891062110477,11578.592518167514,44876.19027326145,0.18751136856079698
A2,stimulus,11,0,1,N1,encoding,0,205,1440.3942355493364,5833.904755562515,2840.493514158768,0.03409095667544788
A2,stimulus,11,0,1,N1,encoding,1,205,1082.0841305931078,3710.384974310278,1717.354881565481,0.010062114212844258
A2,stimulus,11,0,1,N1,encoding,2,205,1798.9877964284235,8399.172277053745,5861.104287089991,0.013266167568065246
A2,stimulus,11,0,1,N1,maintenance,0,362,14535.008943725317,9942.725016641556,11595.339223809327,0.3440116240043193
