dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,stimulus,91,4,-1,N2_no_retrieval,encoding,1,205,87987.81517236741,80870.95182159366,67510.20351170273,0.4625611410346412
B2,stimulus,91,4,-1,N2_no_retrieval,encoding,2,205,112526.15550462654,90932.23220046324,109987.18013206587,0.5618217821225715
B2,stimulus,91,4,-1,N2_no_retrieval,maintenance,0,362,108947.86581399625,71280.57764371764,175180.2611228325,0.8494258481581274
B2,stimulus,91,4,-1,N2_no_retrieval,maintenance,1,362,413757.2958989445,396459.1317249977,641247.2750354587,2.1751653513329745
B2,stimulus,91,4,-1,N2_no_retrieval,maintenance,2,362,199399.29121118656,168508.503078169,237538.59780887546,0.9955628950430143
B2,stimulus,91,4,-1,N2_no_retrieval,retrieval,0,269,96846.0991230395,35329.75549077395,182461.58710644883,0.755072889898002
B2,stimulus,91,4,-1,N2_no_retrieval,retrieval,1,269,107438.05704101552,75010.0404405095,204708.03638485583,0.564813095518756
B2,stimulus,91,4,-1,N2_no_retrieval,retrieval,2,269,87151.36373747814,51076.27843478488,146919.0589665973,0.4351302527827787
B2,stimulus,92,4,-1,N2_no_retrieval,encoding,0,205,14302.831931764658,2782.325406541682,2374.375093181113,0.11151384245969842
B2,stimulus,92,4,-1,N2_no_retrieval,encoding,1,205,7561.333868820768,5266.01539777558,4207.64962937946,0.03975072247508229
B2,stimulus,92,4,-1,N2_no_retrieval,encoding,2,205,10326.120582813139,4349.507529220251,7534.283328052127,0.05155636431576227
B2,stimulus,92,4,-1,N2_no_retrieval,maintenance,0,363,16449.581824453497,11911.764202318956,17974.562374968194,0.1282512501615969
B2,stimulus,92,4,-1,N2_no_retrieval,maintenance,1,363,37537.76905173914,29155.346469094624,80223.23013791106,0.19733997543242002
B2,stimulus,92,4,-1,N2_no_retrieval,maintenance,2,363,27738.056946054767,20231.1959791721,17810.052796999054,0.13849086477862588
B2,stimulus,92,4,-1,N2_no_retrieval,retrieval,0,346,45357.92574075955,4010.3291977213958,96382.48603629472,0.3536388184860471
B2,stimulus,92,4,-1,N2_no_retrieval,retrieval,1,346,35485.66691572724,17111.869840221232,83729.91537042556,0.1865518600133274
B2,stimulus,92,4,-1,N2_no_retrieval,retrieval,2,346,26531.473777990464,9910.85826155746,51259.935999444366,0.13246662354581212
B2,stimulus,93,4,1,N2_no_retrieval,encoding,0,205,24954.38523285819,3465.286993479003,2946.6417718472253,0.19456002816864815
B2,stimulus,93,4,1,N2_no_retrieval,encoding,1,205,71870.54246167756,32360.97976066476,24180.804777159643,0.3778309537829353
B2,stimulus,93,4,1,N2_no_retrieval,encoding,2,205,34578.82695054291,6782.871493310731,12015.07933127092,0.17264553377781813
B2,stimulus,93,4,1,N2_no_retrieval,maintenance,0,362,31831.690530971846,54771.028774309576,3955.8621461381363,0.24817981082566745
B2,stimulus,93,4,1,N2_no_retrieval,maintenance,1,362,131506.61409417275,175063.69117011895,55491.84740148881,0.691344015643957
B2,stimulus,93,4,1,N2_no_retrieval,maintenance,2,362,45177.85130132209,72569.26372904993,33005.404066499395,0.22556445491940516
B2,stimulus,93,4,1,N2_no_retrieval,retrieval,0,271,15375.32200417152,77225.66371745078,114.58698025904454,0.11987564727880977
B2,stimulus,93,4,1,N2_no_retrieval,retrieval,1,271,73377.19486172365,157182.94384203223,31637.338408732492,0.3857515829284896
B2,stimulus,93,4,1,N2_no_retrieval,retrieval,2,271,27523.38700545503,90665.91640260139,12799.453963312937,0.13741905842342758
B2,stimulus,94,4,-1,N2_no_retrieval,encoding,0,205,5281.979483004547,19281.335454496322,20883.259801310574,0.04118162268515567
B2,stimulus,94,4,-1,N2_no_retrieval,encoding,1,205,6185.597531739535,9132.558055776008,14691.113163429744,0.03251833275615946
B2,stimulus,94,4,-1,N2_no_retrieval,encoding,2,205,4644.792079135822,10996.750160620546,6110.438602605862,0.023190567133359496
B2,stimulus,94,4,-1,N2_no_retrieval,maintenance,0,363,5965.796775976056,16318.657347242372,13566.03340385396,0.046513090903718045
