dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,past,11,0,1,B0,retrieval,2,265,8060.324651222804,880.877996532084,2037.9154302955894,0.09997159573285462
B1,past,12,0,-1,B0,encoding,0,205,105.92241941226203,202.87543721977997,159.4670420833874,0.0012977048378024134
B1,past,12,0,-1,B0,encoding,1,205,555.2134218934256,180.86011984316184,695.6994356111825,0.007023626618860525
B1,past,12,0,-1,B0,encoding,2,205,584.7218486704833,95.59730499889957,1013.2130146544205,0.007252260771231448
B1,past,12,0,-1,B0,maintenance,0,363,778.6736773061165,1870.548901338502,838.7154106823048,0.009539893477853886
B1,past,12,0,-1,B0,maintenance,1,363,3322.2458027227817,1765.184690213421,540.4920086304743,0.04202746751839229
B1,past,12,0,-1,B0,maintenance,2,363,2220.122924923893,635.187394504253,1940.7762735288272,0.02753601636803339
B1,past,12,0,-1,B0,retrieval,0,258,305.62356711035267,855.5825885404171,438.77935181486146,0.0037443365038886366
B1,past,12,0,-1,B0,retrieval,1,258,3621.0734665341847,1909.6678458075414,344.3878999850664,0.045807732640298075
B1,past,12,0,-1,B0,retrieval,2,258,2286.6554750785135,196.66373634271537,2594.5576135413194,0.02836121454489895
B1,past,13,0,1,B0,encoding,0,205,1419.8699054461117,680.4964075427549,622.3953812001444,0.017395486768254177
B1,past,13,0,1,B0,encoding,1,205,1950.3939043623734,16476.594595734015,10719.747383317334,0.02467310407811503
B1,past,13,0,1,B0,encoding,2,205,4352.200983270902,3893.613667128689,1646.8243783371493,0.05398001892909908
B1,past,13,0,1,B0,maintenance,0,363,526.1569259261125,6848.723495108648,3040.739566805253,0.006446193280008468
B1,past,13,0,1,B0,maintenance,1,363,14342.881614854861,93065.19379869079,75276.3716646438,0.1814420205435828
B1,past,13,0,1,B0,maintenance,2,363,5794.552029710106,4292.7936152468565,9314.715648390691,0.07186938963795815
B1,past,13,0,1,B0,retrieval,0,245,837.5832999603958,8890.20181567311,2433.0888961019205,0.010261622671123457
B1,past,13,0,1,B0,retrieval,1,245,16727.513399819334,123931.4668087601,85059.76500001759,0.21160837211329023
B1,past,13,0,1,B0,retrieval,2,245,2335.0130811938893,1484.0848943838187,5970.858567063981,0.028960990268379453
B1,past,15,0,-1,B0,encoding,0,205,681.5823535253875,312.74430897354836,357.57504383315853,0.008350382501065274
B1,past,15,0,-1,B0,encoding,1,205,227.58622542832916,218.2879450773853,620.0832922102711,0.002879038236419357
B1,past,15,0,-1,B0,encoding,2,205,1041.0332420416585,698.0902658507092,2806.6725135046754,0.012911856398000418
B1,past,15,0,-1,B0,maintenance,0,362,6357.502467361208,552.6197778755476,2121.3562482036964,0.07788872038623716
B1,past,15,0,-1,B0,maintenance,1,362,1468.6868513368934,1298.1004960237171,354.3468537233949,0.018579356436740357
B1,past,15,0,-1,B0,maintenance,2,362,1905.1352213137893,740.6699318724596,1630.114566819234,0.023629247754023246
B1,past,15,0,-1,B0,retrieval,0,239,14677.913861756237,372.5736595762191,3802.2457782304855,0.17982595122863224
B1,past,15,0,-1,B0,retrieval,1,239,8096.108066546583,6946.535962233811,812.8489662977823,0.1024183456002315
B1,past,15,0,-1,B0,retrieval,2,239,32705.042579139525,12669.099046076357,23003.439340454042,0.4056381642954688
B1,past,16,0,1,B0,encoding,0,205,602.6757269918477,109.88985189408393,123.1051330375447,0.007383660710197754
B1,past,16,0,1,B0,encoding,1,205,476.82743757508183,99.29441206086386,838.4185749030182,0.006032018951800951
B1,past,16,0,1,B0,encoding,2,205,3354.623796669527,556.3416032078823,269.8080872441158,0.04160714469305928
B1,past,16,0,1,B0,maintenance,0,362,3684.1196742220973,516.762736042622,2158.463791855832,0.04513586406739127
B1,past,16,0,1,B0,maintenance,1,362,612.0995521683765,2938.9480707766306,6785.835092224329,0.007743254284705761
B1,past,16,0,1,B0,maintenance,2,362,6241.653556129954,1343.7863854812615,854.6074124853741,0.07741475598297333
B1,past,16,0,1,B0,retrieval,0,255,2958.5250106391104,2589.609916975094,9152.105451794874,0.03624626628025602
B1,past,16,0,1,B0,retrieval,1,255,236.0070472279555,4087.56497012357,15357.285136893355,0.0029855643141622865
B1,past,16,0,1,B0,retrieval,2,255,8094.372625208287,2986.175946935194,358.69237941797735,0.10039389017359815
B1,past,17,0,-1,B0,encoding,0,205,4573.7428693063575,11310.459714220711,10952.81933423456,0.05603505170385153
B1,past,17,0,-1,B0,encoding,1,205,21427.025220045274,8999.235134903685,5128.052191413205,0.2710586934034777
B1,past,17,0,-1,B0,encoding,2,205,88666.5827766466,29553.52408087031,20796.935026987478,1.099724905871608
B1,past,17,0,-1,B0,maintenance,0,362,38178.51772862342,49225.59873564765,38163.751093119055,0.4677427822312783
B1,past,17,0,-1,B0,maintenance,1,362,183057.56612411208,125976.22114374167,116103.96495111857,2.3157365141290343
