dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A1,2,N0,retrieval,60916.58685609265,60859.543672065374,-0.00093729233880957,285
A1,2,N1,retrieval,58648.20674028571,60859.543672065374,0.03633508893354842,285
A1,2,N2,retrieval,59974.77797129424,60859.543672065374,0.01453783001625164,285
A1,2,N3,retrieval,36465.932611430726,60859.543672065374,0.4008181722833284,285
A1,2,N2_no_projection,retrieval,58760.73912382407,60859.543672065374,0.03448603820545337,285
A1,2,N2_no_retrieval,retrieval,59898.46561505704,60859.543672065374,0.015791739454817377,285
A1,2,N2_fixed_target,retrieval,59824.015667639265,60859.543672065374,0.017015047138800976,285
A1,2,N2_equal_penalty,retrieval,57097.14109722268,60859.543672065374,0.06182107764586542,285
A1,2,V1_M2,retrieval,51502.017973478054,60859.543672065374,0.15375609368695342,285
A1,3,N0,encoding,17662.391751973737,17344.18680013561,-0.01834649012403622,205
A1,3,N1,encoding,18150.659076024698,17344.18680013561,-0.04649813134408731,205
A1,3,N2,encoding,18966.78044626143,17344.18680013561,-0.09355259285567286,205
A1,3,N3,encoding,19147.69940640681,17344.18680013561,-0.10398369361756976,205
A1,3,N2_no_projection,encoding,18095.624262912235,17344.18680013561,-0.04332503284447742,205
A1,3,N2_no_retrieval,encoding,19012.648595165487,17344.18680013561,-0.09619717627907654,205
A1,3,N2_fixed_target,encoding,18966.963212218812,17344.18680013561,-0.09356313044728704,205
A1,3,N2_equal_penalty,encoding,18966.78044626143,17344.18680013561,-0.09355259285567286,205
A1,3,V1_M2,encoding,18387.424201738366,17344.18680013561,-0.060149110109595894,205
A1,3,N0,maintenance,47533.16182706742,48106.897532954965,0.011926267028434134,363
A1,3,N1,maintenance,46861.510897671316,48106.897532954965,0.025887901717846495,363
A1,3,N2,maintenance,46690.979327445464,48106.897532954965,0.029432748277719356,363
A1,3,N3,maintenance,47778.327227690155,48106.897532954965,0.0068300040558576525,363
A1,3,N2_no_projection,maintenance,46936.18651405764,48106.897532954965,0.024335616698111573,363
A1,3,N2_no_retrieval,maintenance,46627.44890501893,48106.897532954965,0.030753357705567308,363
A1,3,N2_fixed_target,maintenance,46690.96843683275,48106.897532954965,0.029432974661320666,363
A1,3,N2_equal_penalty,maintenance,46690.979327445464,48106.897532954965,0.029432748277719356,363
A1,3,V1_M2,maintenance,46703.159436929476,48106.897532954965,0.02917955985550469,363
A1,3,N0,retrieval,8032.1528667597795,8026.973678591813,-0.000645223016213281,255
A1,3,N1,retrieval,8025.145678690636,8026.973678591813,0.0002277321409502875,255
A1,3,N2,retrieval,7608.017464325635,8026.973678591813,0.05219354529385678,255
A1,3,N3,retrieval,6719.257674436718,8026.973678591813,0.1629151977466693,255
A1,3,N2_no_projection,retrieval,8045.998977916318,8026.973678591813,-0.002370170887098677,255
A1,3,N2_no_retrieval,retrieval,7593.0111349789,8026.973678591813,0.054063033091824364,255
A1,3,N2_fixed_target,retrieval,7607.916485860782,8026.973678591813,0.05220612518621681,255
A1,3,N2_equal_penalty,retrieval,7608.017464325635,8026.973678591813,0.05219354529385678,255
A1,3,V1_M2,retrieval,7922.730102073613,8026.973678591813,0.012986659816291768,255
A1,4,N0,encoding,1428.134201945966,1487.9041525870512,0.04017056511144346,205
A1,4,N1,encoding,1376.6465314932395,1487.9041525870512,0.07477472315697598,205
A1,4,N2,encoding,1315.7008426690695,1487.9041525870512,0.11573548579629145,205
A1,4,N3,encoding,1470.789337668954,1487.9041525870512,0.011502632671828494,205
A1,4,N2_no_projection,encoding,1383.6482459437266,1487.9041525870512,0.07006896678260666,205
A1,4,N2_no_retrieval,encoding,1315.0022662237343,1487.9041525870512,0.11620498945626878,205
A1,4,N2_fixed_target,encoding,1315.7168989984523,1487.9041525870512,0.11572469455724899,205
A1,4,N2_equal_penalty,encoding,1315.7008426690695,1487.9041525870512,0.11573548579629145,205
A1,4,V1_M2,encoding,1366.261089750489,1487.9041525870512,0.08175463629499169,205
A1,4,N0,maintenance,22040.85492853397,22289.25443220875,0.011144361262969582,363
A1,4,N1,maintenance,21770.987582022983,22289.25443220875,0.023251870167395605,363
A1,4,N2,maintenance,21282.134393131117,22289.25443220875,0.04518410618626656,363
A1,4,N3,maintenance,22249.797843472003,22289.25443220875,0.00177020675396522,363
A1,4,N2_no_projection,maintenance,21799.16489326414,22289.25443220875,0.021987704453515167,363
A1,4,N2_no_retrieval,maintenance,21278.72239513149,22289.25443220875,0.04533718434372591,363
A1,4,N2_fixed_target,maintenance,21282.15988591251,22289.25443220875,0.04518296246109299,363
A1,4,N2_equal_penalty,maintenance,21282.134393131117,22289.25443220875,0.04518410618626656,363
A1,4,V1_M2,maintenance,21622.6657600532,22289.25443220875,0.029906279466768715,363
A1,4,N0,retrieval,124823.78538617217,124719.11656069974,-0.0008392364246863071,300
A1,4,N1,retrieval,124874.49209999783,124719.11656069974,-0.0012458037194520433,300
A1,4,N2,retrieval,124498.5526223853,124719.11656069974,0.0017684854126359673,300
A1,4,N3,retrieval,124337.82928056989,124719.11656069974,0.0030571679037213473,300
A1,4,N2_no_projection,retrieval,124926.90850622924,124719.11656069974,-0.0016660793570355548,300
A1,4,N2_no_retrieval,retrieval,124496.63732874705,124719.11656069974,0.0017838422696364598,300
A1,4,N2_fixed_target,retrieval,124498.29662717617,124719.11656069974,0.001770537986581222,300
A1,4,N2_equal_penalty,retrieval,124498.5526223853,124719.11656069974,0.0017684854126359673,300
A1,4,V1_M2,retrieval,124583.26652901292,124719.11656069974,0.001089247866991605,300
