dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,29,1,1,67405,67457,0.203125,67972,platform_onset_hypothesis,68399,1.0,68399,1,68399,explicit_click,2.21484375,3.8828125,1.66796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,68126,2.81640625,0.59765625,0.0,975.404219559079,15.127498181471594
A2,30,1,-1,69685,69737,0.203125,70252,platform_onset_hypothesis,70656,-1.0,70656,-1,70656,explicit_click,2.21484375,3.79296875,1.578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,quality,70406,2.81640625,0.59765625,0.047619047619047616,2666.1496841677763,542.6805271577832
A2,31,1,-1,71941,71993,0.203125,72509,platform_onset_hypothesis,72819,1.0,72819,1,72819,explicit_click,2.21875,3.4296875,1.2109375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,quality,72663,2.8203125,0.59765625,0.12003693444136658,3602.550677998568,547.8879539564364
A2,32,1,-1,74110,74162,0.203125,74677,platform_onset_hypothesis,74976,1.0,74976,1,74976,explicit_click,2.21484375,3.3828125,1.16796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,74831,2.81640625,0.59765625,0.0,333.5101441836795,10.880797058223465
A2,33,1,1,76262,76314,0.203125,76830,platform_onset_hypothesis,77164,1.0,77164,1,77164,explicit_click,2.21875,3.5234375,1.3046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,quality,76984,2.8203125,0.59765625,0.1680517082179132,3823.9523944264583,548.7287658211045
A2,34,1,-1,78455,78507,0.203125,79022,platform_onset_hypothesis,79406,-1.0,79406,-1,79406,explicit_click,2.21484375,3.71484375,1.5,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,quality,79176,2.81640625,0.59765625,0.20018492834026816,3457.0421569696027,591.7485491956304
A2,35,1,-1,80691,80743,0.203125,81258,platform_onset_hypothesis,81632,-1.0,81632,-1,81632,explicit_click,2.21484375,3.67578125,1.4609375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,81412,2.81640625,0.59765625,0.0,607.1957179220896,9.621278094246975
A2,36,1,1,82915,82968,0.20703125,83483,platform_onset_hypothesis,83785,1.0,83785,1,83785,explicit_click,2.21875,3.3984375,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,83637,2.8203125,0.59765625,0.0,401.1944028321276,11.177631246267424
A2,37,1,1,85072,85124,0.203125,85639,platform_onset_hypothesis,85983,1.0,85983,1,85983,explicit_click,2.21484375,3.55859375,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,85793,2.81640625,0.59765625,0.0,1154.282776979907,14.895416025077793
A2,38,1,-1,87272,87325,0.20703125,87840,platform_onset_hypothesis,88205,1.0,88205,1,88205,explicit_click,2.21875,3.64453125,1.42578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,87994,2.8203125,0.59765625,,,
A2,39,1,1,89489,89541,0.203125,90057,platform_onset_hypothesis,90473,1.0,90473,1,90473,explicit_click,2.21875,3.84375,1.625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,90211,2.8203125,0.59765625,,,
A2,40,1,-1,91757,91810,0.20703125,92325,platform_onset_hypothesis,92650,1.0,92650,1,92650,explicit_click,2.21875,3.48828125,1.26953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,92479,2.8203125,0.59765625,,,
A2,41,2,-1,93938,93990,0.203125,94505,platform_onset_hypothesis,94897,-1.0,94897,-1,94897,explicit_click,2.21484375,3.74609375,1.53125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,94659,2.81640625,0.59765625,,,
A2,42,2,-1,96182,96235,0.20703125,96750,platform_onset_hypothesis,97091,-1.0,97091,-1,97091,explicit_click,2.21875,3.55078125,1.33203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,96904,2.8203125,0.59765625,,,
A2,43,2,-1,98375,98427,0.203125,98942,platform_onset_hypothesis,99283,-1.0,99283,-1,99283,explicit_click,2.21484375,3.546875,1.33203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,99096,2.81640625,0.59765625,,,
A2,44,2,-1,100571,100623,0.203125,101139,platform_onset_hypothesis,101557,1.0,101557,1,101557,explicit_click,2.21875,3.8515625,1.6328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,101293,2.8203125,0.59765625,0.0,340.72375164731113,16.443793048236984
A2,45,2,-1,102843,102896,0.20703125,103411,platform_onset_hypothesis,103719,1.0,103719,1,103719,explicit_click,2.21875,3.421875,1.203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,103565,2.8203125,0.59765625,0.0023084025854108957,1250.6509978230163,116.85763610160257
A2,46,2,-1,105004,105056,0.203125,105572,platform_onset_hypothesis,105915,-1.0,105915,-1,105915,explicit_click,2.21875,3.55859375,1.33984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,105726,2.8203125,0.59765625,0.0,591.3397263598334,9.33786730376437
