stage,dataset,trial_id,truth,50_250ms_logvar_共同,50_250ms_logvar_中线,50_250ms_logvar_侧化,50_250ms_corr_共同_中线,50_250ms_corr_共同_侧化,50_250ms_corr_中线_侧化,250_500ms_logvar_共同,250_500ms_logvar_中线,250_500ms_logvar_侧化,250_500ms_corr_共同_中线,250_500ms_corr_共同_侧化,250_500ms_corr_中线_侧化,500_750ms_logvar_共同,500_750ms_logvar_中线,500_750ms_logvar_侧化,500_750ms_corr_共同_中线,500_750ms_corr_共同_侧化,500_750ms_corr_中线_侧化,50_750ms_logvar_共同,50_750ms_logvar_中线,50_750ms_logvar_侧化,50_750ms_corr_共同_中线,50_750ms_corr_共同_侧化,50_750ms_corr_中线_侧化
before,A1,34,-1,4.58671035743441,1.7536093666079373,3.2497517593835803,0.5493659165617881,-0.5589740515752112,-0.7967859227658568,6.443049880564307,2.0429701063988666,2.8630345646251136,0.821721785100503,0.5115510184054493,0.571175887080793,4.701074150797197,0.7719113463037113,3.688706719237126,0.15018359985331609,0.1437754140096678,-0.3350649060354777,5.906759447487777,2.3393539646015213,3.6474154968320955,0.21846299695999813,0.027854608065452625,-0.2650700530411628
before,A1,35,1,3.9636351173720676,1.9965435008800139,2.9985490846518785,-0.2026416126212403,-0.619298786091277,0.2977037356336263,5.089533404795464,2.2957317146145435,2.6155127060615073,0.20638927274507737,0.474619528678497,-0.39821620029715665,5.721350842277397,1.7065268854714666,4.0779091371343315,-0.06717372725797814,0.023214153715498034,-0.7500516179469388,6.156250732069885,3.171760393554325,3.568930491630832,-0.3433256324948976,0.27550232546903564,-0.37940227447369296
before,A1,37,-1,6.483010652698726,2.3299173030037967,3.7351924276236237,-0.4792584494995826,0.3077619401289266,-0.3752353965669041,5.40392387377147,1.8110824573054545,4.1059692229521305,-0.6190708600687849,0.36811035258035996,-0.5034652366386294,4.582744091305031,3.0859406847709274,4.385146765398631,0.32839902932961534,0.42480562148271966,0.7470179471516911,6.190549308486459,3.1199388923772298,4.537779400496911,-0.507519491003414,0.1097386827006374,0.0715054514901177
before,A1,38,-1,4.626707732761168,0.29890651376243016,2.938486887453642,-0.28806151654122897,0.33553948003745526,0.007409020352943557,4.460534210051387,1.1539770618872358,3.201508286134977,0.2907390472656784,0.07926176077953728,0.05275546303381896,4.880543557845708,2.3632771192530058,4.278798150843979,-0.6728023517096385,0.743410170517752,-0.7903933573477523,4.764839902716821,2.832131325174298,5.528744763931783,-0.3993824128380341,0.45271096063168564,-0.7728972348378665
before,A1,41,-1,7.352937172849336,7.15712505793872,4.802750413050892,-0.9319500773765764,-0.9668039675995739,0.9276933492269629,8.534628508499948,7.612978235636047,6.138259303116332,-0.9920473754284248,-0.9775481457687816,0.9704645998870924,8.10999635615501,7.404873810084207,5.813007144854861,-0.9599180871533043,-0.9711873303797854,0.9655889874241467,10.364794355731421,9.658096799207746,7.788085144614735,-0.9959477350918586,-0.9947733252727993,0.9917276715118594
before,A1,42,1,5.2880708620958154,4.577421351883007,4.994939999942888,-0.8045000278620446,-0.7534602516758222,0.8282072766240709,5.9290025447147015,3.5865462434409285,2.820132911245162,-0.4382618963922893,-0.14667633539256775,0.6699958068352048,5.4990008699557045,3.4990017058795293,3.173029162306358,-0.5142733854817695,0.09587474738654483,-0.33071711742339605,6.216283315758321,5.548856395184355,5.449331342715567,-0.5552310562775321,-0.5338417051714587,0.8941882378218254
before,A1,43,-1,4.228734936270726,0.4270552774877051,2.5201004093506327,0.45149045187783354,0.3897842834260909,-0.2968688926473903,5.461795580226238,1.431926560812555,2.4934835648516223,0.7460013751292862,-0.7653083061425137,-0.7501521744717652,8.464464168989462,0.6189093628077112,3.7137726154192614,-0.3705529594136823,-0.8594819416487455,0.4389866580993948,7.664794910651965,0.9798050820994216,3.334075554105611,-0.02995040699295929,-0.6839062055223619,-0.1698344375579596
before,A1,44,1,4.428693387232809,1.4928470319737732,3.0280473466911864,-0.24811238034274746,-0.3429773186494972,0.3265746047034555,5.384630894123838,1.374109946912765,3.289944107403424,0.7602363173309176,-0.24188275612037827,-0.09287150221333518,4.487553212340695,2.918369657989666,4.234692491595076,-0.5174634801157022,0.4961045336711796,-0.9365897844351699,5.43329462715924,2.414954907903028,4.17784017929009,-0.2794380853102501,-0.05075435904524667,-0.4139706450200456
before,A1,45,-1,5.760281843893816,4.7560516711132275,4.137611363819377,-0.882018194510811,0.6787523493024928,-0.912879922754716,6.461598943603785,5.3459660805765274,3.7847865756161263,-0.8838907582267829,0.828975522295186,-0.9561888731900976,5.461316431712231,5.042482623096105,3.2083124326342727,-0.9264417862102788,0.8259905942372742,-0.9127785408207814,7.835102471822881,7.277408956905617,6.0324992940764615,-0.9790900407426395,0.9609495562905968,-0.9892988413513972
before,A1,47,-1,3.4005197285821116,1.5187653672107848,3.809209693491224,0.261721444057544,0.525836622670971,0.3472844428827016,5.333605364933992,-0.014150439699751565,1.94614259303532,-0.7419530012347136,-0.12592270277181514,0.17816982918111918,5.276728988751871,1.173770058337052,0.1333913272202654,-0.002108430582863812,-0.0710884225376954,-0.4346335121559428,5.088522454419603,3.105486214955706,3.350180143430413,-0.043071762817217134,0.030269653133679505,0.6692498294990556
before,A1,48,1,4.108196139816525,1.3335255532937382,2.262570307442574,0.17245865715536338,0.39957352910517846,0.08746178371477385,4.890290963921696,2.0411936859817668,3.273884735831445,0.3321856954197221,-0.3270911243372102,-0.3061589987772408,5.757302746983369,2.0375782940593967,3.7379793415199645,0.4301421472946395,0.2725237560560194,-0.3211294624727914,5.269657682950423,3.005272500961889,3.7738899683770697,-0.03547229307861867,-0.09237452403019931,0.30328102903769116
before,A1,49,-1,4.045961651768945,2.725901450923626,2.7851465885053326,0.3819708869728718,-0.3796744293116862,-0.10446511813538266,4.573964684909766,2.8937687858566443,3.1306225263047125,-0.5775871804672336,-0.44074874191077124,0.7304588881304154,4.55673492077638,3.678910046546397,3.1188638649800446,-0.268804011684449,0.006833435767675603,0.29458772195257354,6.515253748863018,4.910023407252437,4.28474898687061,-0.8759137547636467,-0.7960964991720901,0.8271750293297577
before,A1,50,-1,5.959183503379431,2.722826262576221,3.8506918044008165,-0.23654060394532908,-0.880726882214215,0.5096283338484604,5.498331013902189,2.7611618130328313,3.3646571505963716,0.24843502912925938,-0.6402475943107001,0.3775629441306912,4.3548963999420724,0.847876960923173,3.2425073907834565,0.13753156168683112,-0.33288958652100187,-0.12509248829375716,5.986203991337605,4.166692064929183,3.8908407085141645,-0.5758505341453435,-0.7944895729905466,0.6292552714240316
before,A1,51,1,6.176655983907614,5.080012864518304,3.8715168490160554,-0.7799048490729444,-0.8012844597279669,0.9488486709785272,6.082387563193747,2.882001754077787,2.8009541424081683,-0.5580215855749264,0.09364445577765076,-0.35321501917522663,6.215887588782003,5.5775169833839335,2.8654658842482483,-0.8465404608518277,-0.6918203387757452,0.576040769569526,7.183074836766575,5.941169372474505,5.167980014803587,-0.8868269441347537,-0.001520193366634543,-0.0887237126585035
before,A1,52,1,9.26272773847624,8.942186885210592,3.9524484202131385,-0.9979737371571711,0.9089772018894231,-0.9126076529589323,8.782374899526255,8.840581094675823,1.6976551048317252,-0.9896507330877246,0.23554408793156176,-0.3047587404802149,6.925529083748758,7.113126104644341,3.328770000987239,-0.9670495808117009,0.8473604772385059,-0.8077153700454018,10.797200883983368,10.71396650014959,3.936723464674842,-0.9974500713435362,0.7071540159022978,-0.7185319123604547
before,A1,53,1,8.888178929170587,8.730896149312771,4.8218615229159845,-0.9942900656254446,0.9608106223482165,-0.9777528315458857,8.56135865992696,8.398685000135862,4.574486904046001,-0.9861264707578961,0.8412803717228577,-0.9022770080070265,6.407513903006802,6.223527865642052,4.150222485327821,-0.9139047918156501,-0.16566728836709282,-0.04960594027134738,10.48049684741559,10.332799518001622,6.293356402141186,-0.9978033514643673,0.9598605611789268,-0.968904631314213
before,A1,54,-1,7.995532662070653,7.792324665794891,7.417258001770667,-0.9803873746543028,-0.9853600356298996,0.9966240928538196,7.5936768228299885,7.358731792028289,6.4980756751846265,-0.9709542201872567,-0.9604791319421001,0.9901783621591609,4.988121580412868,5.248889338643131,5.638018349325659,-0.5853417599413215,-0.6758381787569105,0.8364002344808295,9.624919722860245,9.279649498475859,8.694691024930815,-0.994858797726812,-0.9910130725416139,0.9953342706288174
before,A1,55,1,5.6063459591937415,2.3429582331408,3.4831074957241963,-0.3283321961930304,0.19240235760678415,-0.5147328069131129,5.534633431577478,2.4367576160707016,5.801375910927535,0.21641867107235882,0.45471628014534404,-0.5540845187312572,4.508976483164964,1.2489639668257093,3.6203103446952754,0.325664190366404,-0.010528963184610492,0.038088026254121145,6.580098773500235,3.3975721698004,6.354442556200041,-0.6034084116029466,0.8132953818859323,-0.6852966254886659
