dataset,rank,n_refits,kind,spatial_mode,kernel,low,median,high
A2,2,8,A,0,0,-54.053000665672876,-43.41598618363278,-29.451012534211504
A2,2,8,A,0,1,100.2488360253404,126.25026960712411,143.00522502753907
A2,2,8,A,1,0,-2.265451647167789,-1.3695124914983108,2.68485199814525
A2,2,8,A,1,1,-19.7595884426892,-11.540947051107466,-0.33430100935608686
A2,2,8,A,2,0,0.1604106334410751,4.7807221736207826,7.676835103892557
A2,2,8,A,2,1,-22.27704118460247,-10.755780772474843,-3.8557104754798877
A2,2,8,D,0,0,-1.308253779010254,10.17252760610593,17.371630756141023
A2,2,8,D,0,1,1.3470276343108871,16.01130194105764,28.72609431402291
A2,2,8,D,1,0,-8.008239978092591,-3.783078010491362,0.35383434915660666
A2,2,8,D,1,1,-14.623219747171083,-6.933914288626847,-1.8676360735919189
A2,2,8,D,2,0,1.8333815631593868,4.221130661137281,9.330253158553422
A2,2,8,D,2,1,0.5888537897168304,6.200775948301448,14.524917853087047
A2,3,192,A,0,0,-36.52148533933176,67.0085153033514,90.10822135854214
A2,3,192,A,0,1,-250.68918457978356,-192.95390131166232,293.7419577327336
A2,3,192,A,0,2,-193.29675813692518,236.868387411309,316.3014976055836
A2,3,192,A,1,0,-15.229494362238691,-7.441844160903106,0.729860122897158
A2,3,192,A,1,1,-37.16961811110931,11.790999692743085,28.752532091639583
A2,3,192,A,1,2,-48.11482531848266,-18.41531817316602,16.739444945834727
A2,3,192,A,2,0,-14.804473730259234,-6.973668349441059,3.635383033086764
A2,3,192,A,2,1,-29.86675538584325,20.65447638192316,33.514254465181494
A2,3,192,A,2,2,-38.721040531907065,-18.297633455918085,24.65840115404241
A2,3,192,D,0,0,-3.7589580563072884,4.408835550764125,13.600193069923096
A2,3,192,D,0,1,-20.394780828415847,-3.108934131396045,57.99787911876358
A2,3,192,D,0,2,-14.22632004774116,7.659190019313541,47.7940307744585
A2,3,192,D,1,0,-4.176626782455609,-0.4971917188786795,3.1168210031951875
A2,3,192,D,1,1,-19.554615412007188,0.8124254299460801,5.902427615554988
A2,3,192,D,1,2,-19.105294926660324,-3.125703302617756,5.000859719930435
A2,3,192,D,2,0,-0.24454994225386775,2.0890623091501017,5.38469002693871
A2,3,192,D,2,1,-6.826825680206182,-1.451240317436569,15.243644829263564
A2,3,192,D,2,2,-1.7104663635339792,5.6208133649050875,19.36561598703827
B1,2,198,A,0,0,-3.219221322601672,3.7117663143367707,7.615982097491221
B1,2,198,A,0,1,7.519005516654174,20.80196676615093,29.803803446460744
B1,2,198,A,1,0,-16.98008811297368,-3.1638498958132333,9.12327233687666
B1,2,198,A,1,1,-33.08246387701881,-10.762062374326293,8.498957191047841
B1,2,198,A,2,0,-11.85899274598244,-4.879867768059521,0.2725577736968592
B1,2,198,A,2,1,-22.159461880212106,-7.681522945844655,3.106241812442702
B1,2,198,D,0,0,-3.4484188961810944,-0.9106021496225094,1.496836691489086
B1,2,198,D,0,1,-4.397125427568942,-0.9456022167548213,2.0567436659030736
B1,2,198,D,1,0,-4.693295933420729,1.4854733343585755,5.6399499144102165
B1,2,198,D,1,1,-5.276451437632145,1.598247372459834,6.980137877908835
B1,2,198,D,2,0,-0.4105872306891148,2.058288416756129,4.774227286890205
B1,2,198,D,2,1,-0.7954182760332524,2.246305934797484,5.550215296311043
B1,3,2,A,0,0,-2.164344380906291,2.2594222253735072,6.683188831653305
B1,3,2,A,0,1,10.506081357834587,15.545017941255644,20.5839545246767
B1,3,2,A,0,2,15.034894451810041,19.93688502877179,24.838875605733534
B1,3,2,A,1,0,1.4242318271979277,4.713629203861754,8.00302658052558
B1,3,2,A,1,1,-5.19180873106601,-0.26270469295591425,4.666399345154182
B1,3,2,A,1,2,-7.531846566951004,-2.2377287070367666,3.0563891528774714
B1,3,2,A,2,0,-2.8742960065080627,-2.240048878782848,-1.6058017510576337
B1,3,2,A,2,1,-4.523661793837344,-3.3557814732862337,-2.1879011527351238
B1,3,2,A,2,2,-4.901339102763555,-3.604766815966782,-2.308194529170009
B1,3,2,D,0,0,-0.8002014595816087,-0.5340940797280935,-0.2679866998745783
B1,3,2,D,0,1,-0.7628624500076208,-0.6279473552496613,-0.4930322604917018
B1,3,2,D,0,2,-0.6805443715820398,-0.6063799966268628,-0.5322156216716859
B1,3,2,D,1,0,-3.133229679591097,-1.5213520590445617,0.09052556150197376
B1,3,2,D,1,1,-3.4119292070906573,-1.8199113539732261,-0.22789350085579507
B1,3,2,D,1,2,-3.276592097462365,-1.8066598085444614,-0.33672751962655834
