dataset,fold,cue,channel,version,MAE,positive_mean_error
A2,2,-1,Fz,old,53.23476803796301,46.54311880027309
A2,2,-1,F3,old,87.21101738826289,80.09873147366993
A2,2,-1,F4,old,91.30185248625546,88.87768791896086
A2,2,1,Fz,old,36.74039576615415,33.49549450047162
A2,2,1,F3,old,112.50578915570799,95.85812416689265
A2,2,1,F4,old,60.8405329648612,58.441298832385755
A2,2,-1,Fz,new,52.77135654557388,46.079707307883965
A2,2,-1,F3,new,85.81320079006309,78.70091487547015
A2,2,-1,F4,new,91.14883215785423,88.72466759055963
A2,2,1,Fz,new,34.03218615152651,30.787284885844
A2,2,1,F3,new,105.43900008337712,88.79133509456179
A2,2,1,F4,new,54.78182377073338,52.382589638257926
A2,3,-1,Fz,before,58.04701877964015,57.09820655720715
A2,3,-1,F3,before,77.90059335350875,70.25977531008783
A2,3,-1,F4,before,57.318403760081175,57.318403760081175
A2,3,1,Fz,before,93.75100059646435,91.89793708477374
A2,3,1,F3,before,145.1895706575407,142.75766556235877
A2,3,1,F4,before,129.44785604631346,128.6413543307378
A2,3,-1,Fz,old,52.891172659472424,51.94236043703943
A2,3,-1,F3,old,72.76872075618346,65.12790271276253
A2,3,-1,F4,old,52.93506581641834,52.93506581641834
A2,3,1,Fz,old,82.75410093607809,80.9010374243875
A2,3,1,F3,old,127.32031398351643,124.88840888833448
A2,3,1,F4,old,110.91617629192913,110.10967457635353
A2,3,-1,Fz,new,53.336355354363015,52.387543131930016
A2,3,-1,F3,new,73.43478610750736,65.79396806408646
A2,3,-1,F4,new,52.39594494698087,52.395944946980855
A2,3,1,Fz,new,82.95474340278142,81.10167989109082
A2,3,1,F3,new,127.73556336223483,125.30365826705287
A2,3,1,F4,new,111.73844674875839,110.93194503318276
A2,4,-1,Fz,before,34.07919697812026,5.071517928175772
A2,4,-1,F3,before,101.99728583676526,10.556693694716046
A2,4,-1,F4,before,56.03226750218488,13.573574232032453
A2,4,1,Fz,before,62.08703573025021,61.32269873829401
A2,4,1,F3,before,110.68989862061746,109.79291612351281
A2,4,1,F4,before,77.8213214527114,77.01541761144038
A2,4,-1,Fz,old,29.849609179753237,5.071517928175772
A2,4,-1,F3,old,92.80445340970674,10.556693694716046
A2,4,-1,F4,old,47.98530350026795,13.573574232032453
A2,4,1,Fz,old,62.115045001793604,61.35070800983739
A2,4,1,F3,old,109.11451146804491,108.21752897094024
A2,4,1,F4,old,77.26713357150221,76.4612297302312
A2,4,-1,Fz,new,28.954502656966163,5.071517928175772
A2,4,-1,F3,new,92.2884466546473,10.556693694716046
A2,4,-1,F4,new,47.209570759718844,13.573574232032453
A2,4,1,Fz,new,59.801465743417765,59.037128751461545
A2,4,1,F3,new,106.45037836407487,105.5533958669702
A2,4,1,F4,new,74.84313273847332,74.0372288972023
A2,5,-1,Fz,before,4.153897041688586,1.2872171527397431
A2,5,-1,F3,before,21.59733495062004,3.673251137248339
A2,5,-1,F4,before,10.551130832756153,10.32304400468838
A2,5,1,Fz,before,40.80234042511711,39.790221689303074
A2,5,1,F3,before,102.25800375673847,102.22957854963019
A2,5,1,F4,before,73.16942362036842,73.16942362036842
A2,5,-1,Fz,old,4.256091060295488,1.2948447645258176
A2,5,-1,F3,old,19.705176906734028,3.673251137248339
A2,5,-1,F4,old,9.791560166123956,9.541100831641426
A2,5,1,Fz,old,34.93415869291383,33.9220399570998
A2,5,1,F3,old,88.66217662223556,88.63375141512725
A2,5,1,F4,old,62.71743169093563,62.71743169093564
A2,5,-1,Fz,new,4.080479389651703,1.266402504122557
A2,5,-1,F3,new,19.37055135641345,3.673251137248339
A2,5,-1,F4,new,9.69221836462052,9.427590725144956
A2,5,1,Fz,new,33.72455005928728,32.71243132347324
A2,5,1,F3,new,86.05972546346439,86.03130025635609
A2,5,1,F4,new,61.173476738143734,61.173476738143734
B1,1,-1,Fz,before,6.355813765711558,3.0649576772241964
B1,1,-1,F3,before,12.947706106889497,7.207546410346721
B1,1,-1,F4,before,11.52370764962886,5.427534640112301
B1,1,1,Fz,before,7.95626507620334,2.184448647021309
