dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
B1,29,1,65365,65301,65570,1,203.125,47236,90008,32,True,retained,0.0,145.07849786852051,10.924285722195336
B1,30,1,67489,67425,67694,-1,203.125,47236,90008,32,True,retained,0.0,575.2865565033223,10.626221080788639
B1,31,1,69694,69630,69899,1,203.125,47236,90008,32,True,retained,0.0,156.93671827291172,8.186022496971958
B1,32,1,71822,71758,72027,-1,203.125,47236,90008,32,True,retained,0.0,435.9202727478564,9.378836959784678
B1,33,1,73895,73831,74100,-1,203.125,47236,90008,32,True,retained,0.0,246.2384686612657,10.0035336253261
B1,34,1,76035,75971,76240,1,203.125,47236,90008,32,True,retained,0.0,332.2509760718867,12.390511350258919
B1,35,1,78188,78124,78393,-1,203.125,47236,90008,32,True,retained,0.0,306.0176767252066,9.733974419233391
B1,36,1,80340,80276,80545,-1,203.125,47236,90008,32,False,quality,156.0,2132.2442411013035,252.35373916573758
B1,37,1,82429,82365,82634,-1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,38,1,84649,84585,84854,-1,207.03125,47236,90008,32,False,filter_boundary_buffer,,,
B1,39,1,86790,86726,86995,1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,40,1,88926,88862,89131,1,207.03125,47236,90008,32,False,filter_boundary_buffer,,,
B1,41,2,91091,91027,91296,-1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
B1,42,2,93191,93127,93396,1,207.03125,90008,132743,32,False,filter_boundary_buffer,,,
B1,43,2,95340,95276,95545,1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
B1,44,2,97457,97393,97662,1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
B1,45,2,99705,99641,99910,1,203.125,90008,132743,32,True,retained,0.0,60.62959063352031,10.052287189424103
B1,46,2,101998,101934,102203,-1,203.125,90008,132743,32,True,retained,0.0,865.4589134617172,18.637258122862306
B1,47,2,104198,104134,104403,-1,203.125,90008,132743,32,True,retained,0.0,1052.4380478825692,13.193035586140013
B1,48,2,106294,106230,106499,1,207.03125,90008,132743,32,True,retained,0.0,637.6455676341001,20.593432371277515
B1,49,2,108395,108331,108600,1,203.125,90008,132743,32,True,retained,0.0,145.70574493273756,9.695487021889988
B1,50,2,110568,110504,110773,-1,203.125,90008,132743,32,True,retained,0.0,1017.3834731244223,14.40148678709096
B1,51,2,112656,112592,112861,1,203.125,90008,132743,32,True,retained,0.0,550.1116362309434,9.888392752162105
B1,52,2,114757,114693,114962,-1,203.125,90008,132743,32,True,retained,0.0,220.6889457061847,16.852568308542125
B1,53,2,116897,116833,117102,1,203.125,90008,132743,32,True,retained,0.0,67.50107624975207,8.507977033920909
B1,54,2,118978,118914,119183,-1,203.125,90008,132743,32,False,quality,93.0,2287.906013736251,476.7287418476592
B1,55,2,121067,121003,121272,1,203.125,90008,132743,32,True,retained,0.0,571.8786026902975,10.915059466683005
B1,56,2,123211,123147,123416,-1,203.125,90008,132743,32,True,retained,0.0,382.83807720747944,12.609677383889789
B1,57,2,125304,125240,125509,1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
B1,58,2,127412,127348,127617,1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
B1,59,2,129525,129461,129730,1,203.125,90008,132743,32,False,filter_boundary_buffer,,,
