dataset,fold,seed,level,stage,n_trials,V7_policy,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,4,2053,0.0,未校正,18,训练均值保护,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,6,1.289719718440583e-16
VisualCogA_Task-1,4,2053,0.0,V7,18,训练均值保护,7.828957494478734,0.0767439306975883,4.9221914807574345,1.5228816051097545,0.6510416666666666,6,0.1157971611588026
VisualCogA_Task-1,4,2053,0.5,未校正,18,训练均值保护,19.305944191315497,0.18924793551564328,15.134322962983582,3.1569117592838563,22.786458333333332,6,0.2943714508963772
VisualCogA_Task-1,4,2053,0.5,V7,18,训练均值保护,20.95537871335505,0.2054166385311961,13.545284650890103,3.5915496928366064,26.692708333333332,6,0.3070123918033837
VisualCogA_Task-1,4,2053,1.0,未校正,18,训练均值保护,38.59216837316548,0.37830256419051694,29.459520222643324,5.583676740346882,32.2265625,4,0.577426520486576
VisualCogA_Task-1,4,2053,1.0,V7,18,训练均值保护,37.88030404692143,0.3713244618623479,26.715877650922845,5.668255300380306,31.25,4,0.5578301268199373
VisualCogA_Task-1,4,2053,2.0,未校正,18,训练均值保护,77.08684812384944,0.755649489000848,57.8114319617147,9.733558980694712,43.9453125,4,1.1344138189829265
VisualCogA_Task-1,4,2053,2.0,V7,18,训练均值保护,71.99769101822302,0.7057626527906923,52.21271161052552,9.693565919219667,39.0625,4,1.0566940141808072
VisualCogA_Task-1,5,2027,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2027,0.0,V7,18,保守比例,19.487098068348107,0.14541623925359567,13.721187384322416,2.95546918565716,3.90625,4,0.2186654702557043
VisualCogA_Task-1,5,2027,0.5,未校正,18,保守比例,17.582545462870677,0.13120412432618095,13.281661363002323,3.7471294141192026,21.484375,4,0.2087209554789471
VisualCogA_Task-1,5,2027,0.5,V7,18,保守比例,24.889732504501275,0.1857316714955786,21.28791711433895,4.756690481513001,10.7421875,4,0.3006540913148344
VisualCogA_Task-1,5,2027,1.0,未校正,18,保守比例,35.19958298110215,0.26266563458828224,26.9939570085596,7.291808030724876,30.2734375,4,0.41779530787074576
VisualCogA_Task-1,5,2027,1.0,V7,18,保守比例,36.03300039941064,0.2688847456264572,31.243375392919432,6.811209662444746,30.2734375,4,0.436283070305301
VisualCogA_Task-1,5,2027,2.0,未校正,18,保守比例,70.67409167638057,0.5273828144240612,53.79910543444657,14.379907799798042,47.8515625,4,0.8354175913697581
VisualCogA_Task-1,5,2027,2.0,V7,18,保守比例,63.4249233614485,0.4732882134538971,51.96795387965121,12.789773974150423,48.828125,4,0.7626249335694548
VisualCogA_Task-1,5,2039,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2039,0.0,V7,18,保守比例,19.487098068348107,0.14541623925359567,13.721187384322416,2.95546918565716,3.90625,4,0.2186654702557043
VisualCogA_Task-1,5,2039,0.5,未校正,18,保守比例,17.12075531362264,0.12775816297305997,16.404454116222475,4.218998964710658,33.854166666666664,3,0.2204475910665868
VisualCogA_Task-1,5,2039,0.5,V7,18,保守比例,28.16633069694349,0.210182237968787,27.250015007039213,6.844911688195943,35.15625,3,0.36293246564476467
VisualCogA_Task-1,5,2039,1.0,未校正,18,保守比例,34.228333977780615,0.2554179994121027,32.604051018041936,8.308194289915482,33.854166666666664,3,0.4390638967034219
VisualCogA_Task-1,5,2039,1.0,V7,18,保守比例,40.71790755663073,0.30384436750888294,41.50829403672585,10.62850231113975,42.96875,3,0.5380273550068003
VisualCogA_Task-1,5,2039,2.0,未校正,18,保守比例,66.8841591977436,0.4991016549545762,62.62315832101555,15.820691212744656,41.666666666666664,3,0.8508111542922074
VisualCogA_Task-1,5,2039,2.0,V7,18,保守比例,66.4708687384479,0.4960176070322338,66.79854590314721,17.02692308269793,42.96875,3,0.8723069735376869
VisualCogA_Task-1,5,2053,0.0,未校正,18,保守比例,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2053,0.0,V7,18,保守比例,19.487098068348107,0.14541623925359567,13.721187384322416,2.95546918565716,3.90625,4,0.2186654702557043
VisualCogA_Task-1,5,2053,0.5,未校正,18,保守比例,16.2652369122755,0.12137413041470711,12.765005036151212,3.723266092061516,36.1328125,4,0.1967851978244863
VisualCogA_Task-1,5,2053,0.5,V7,18,保守比例,24.083259973503157,0.17971362806459912,17.57485136405543,4.02922189419199,35.15625,4,0.2753537630829461
VisualCogA_Task-1,5,2053,1.0,未校正,18,保守比例,32.52490988034479,0.24270674167458434,26.126829449010025,8.282620444620983,54.6875,4,0.40199470473518284
VisualCogA_Task-1,5,2053,1.0,V7,18,保守比例,33.92549534280054,0.2531581629169488,26.09599397445674,7.9279882341218935,54.6875,4,0.4096847465483064
VisualCogA_Task-1,5,2053,2.0,未校正,18,保守比例,64.97329316211297,0.48484242807306505,52.68361055000571,17.405118681965938,54.6875,4,0.8112898620841921
VisualCogA_Task-1,5,2053,2.0,V7,18,保守比例,58.69927321224319,0.4380245600194337,46.893026100802224,15.990286877996246,55.6640625,4,0.7323090714264285
VisualCogA_Task-2,1,2027,0.0,未校正,19,训练均值保护,1.3793062589784674e-14,1.0068825578393047e-16,9.271327876054924e-15,3.552713678800501e-15,0.0,6,1.604627586959379e-16
VisualCogA_Task-2,1,2027,0.0,V7,19,训练均值保护,10.6129612710822,0.07747377002980413,4.6760028668943425,2.346645171799914,0.0,6,0.1116713162655313
VisualCogA_Task-2,1,2027,0.5,未校正,19,训练均值保护,33.63158275878201,0.24550786927789423,21.74067826552665,11.339398221795557,67.70833333333333,6,0.4076371789285257
VisualCogA_Task-2,1,2027,0.5,V7,19,训练均值保护,34.04820752874063,0.2485491968387931,22.543633961174518,10.343282502036592,67.05729166666667,6,0.4063376974951589
VisualCogA_Task-2,1,2027,1.0,未校正,19,训练均值保护,67.00747377655105,0.4891492092586605,43.377451006453924,20.512362718966816,102.21354166666667,6,0.7972137843025991
VisualCogA_Task-2,1,2027,1.0,V7,19,训练均值保护,63.967722189064695,0.46695926533807597,42.34467248046179,18.88409148187982,84.63541666666667,6,0.7593679899429696
VisualCogA_Task-2,1,2027,2.0,未校正,19,训练均值保护,134.18814087808283,0.9795627159633896,86.86885620457959,38.366361544827576,119.79166666666667,6,1.576701950103922
VisualCogA_Task-2,1,2027,2.0,V7,19,训练均值保护,121.98570454107956,0.890485904842612,82.03288177987481,34.82199363908503,119.140625,6,1.4441004226050724
VisualCogA_Task-2,1,2039,0.0,未校正,19,训练均值保护,1.3793062589784674e-14,1.0068825578393047e-16,9.271327876054924e-15,3.552713678800501e-15,0.0,6,1.604627586959379e-16
VisualCogA_Task-2,1,2039,0.0,V7,19,训练均值保护,10.6129612710822,0.07747377002980413,4.6760028668943425,2.346645171799914,0.0,6,0.1116713162655313
VisualCogA_Task-2,1,2039,0.5,未校正,19,训练均值保护,37.77965323789332,0.2757884526285314,35.66699895105089,13.851476033160877,79.42708333333333,6,0.5070862443813916
VisualCogA_Task-2,1,2039,0.5,V7,19,训练均值保护,37.63393208622173,0.2747246998544735,31.366254766406954,12.640814135031995,42.317708333333336,6,0.4814872117935789
