dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogA_Task-2,P300_lat_ms,V7,500.0,6,6,6
VisualCogB_Task-1,MAE,预处理,14.973006443053258,6,6,6
VisualCogB_Task-1,MAE,V3,6.2971116018602835,6,6,6
VisualCogB_Task-1,MAE,V4,9.740177087620298,6,6,6
VisualCogB_Task-1,MAE,V6,14.16908379248209,6,6,6
VisualCogB_Task-1,MAE,V7,14.157900248769407,6,6,6
VisualCogB_Task-1,RMSE,预处理,15.423730975740668,6,6,6
VisualCogB_Task-1,RMSE,V3,6.825949960864528,6,6,6
VisualCogB_Task-1,RMSE,V4,10.23300799645539,6,6,6
VisualCogB_Task-1,RMSE,V6,14.621895763399822,6,6,6
VisualCogB_Task-1,RMSE,V7,14.616946680988328,6,6,6
VisualCogB_Task-1,corr,预处理,0.5952652949321037,6,6,6
VisualCogB_Task-1,corr,V3,0.6931736382752417,6,6,6
VisualCogB_Task-1,corr,V4,0.6578212957500135,6,6,6
VisualCogB_Task-1,corr,V6,0.6043281486721577,6,6,6
VisualCogB_Task-1,corr,V7,0.6015860404575832,6,6,6
VisualCogB_Task-1,shape_distance,预处理,0.6781329022965606,6,6,6
VisualCogB_Task-1,shape_distance,V3,0.6389706711006358,6,6,6
VisualCogB_Task-1,shape_distance,V4,0.6242313264961397,6,6,6
VisualCogB_Task-1,shape_distance,V6,0.6689715478597557,6,6,6
VisualCogB_Task-1,shape_distance,V7,0.6714167946244657,6,6,6
VisualCogB_Task-1,baseline_RMS,预处理,20.42492568858043,6,6,6
VisualCogB_Task-1,baseline_RMS,V3,14.227725154195795,6,6,6
VisualCogB_Task-1,baseline_RMS,V4,16.88232294609806,6,6,6
VisualCogB_Task-1,baseline_RMS,V6,19.81687600559138,6,6,6
VisualCogB_Task-1,baseline_RMS,V7,19.660145320795642,6,6,6
VisualCogB_Task-1,trial_PTP_median,预处理,158.6363872548753,6,6,6
VisualCogB_Task-1,trial_PTP_median,V3,128.24251452502352,6,6,6
VisualCogB_Task-1,trial_PTP_median,V4,145.1667968119279,6,6,6
VisualCogB_Task-1,trial_PTP_median,V6,158.08637782950666,6,6,6
VisualCogB_Task-1,trial_PTP_median,V7,158.42932086319544,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,预处理,-22.665994179619492,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V3,-18.06629338390997,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V4,-23.058579933360367,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V6,-22.764028399469822,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V7,-22.563442445300865,6,6,6
VisualCogB_Task-1,edge_band_ratio,预处理,0.45220880979322103,6,6,6
VisualCogB_Task-1,edge_band_ratio,V3,0.33564736353603974,6,6,6
VisualCogB_Task-1,edge_band_ratio,V4,0.3643597205791167,6,6,6
VisualCogB_Task-1,edge_band_ratio,V6,0.44208285008665577,6,6,6
VisualCogB_Task-1,edge_band_ratio,V7,0.4389255800310368,6,6,6
VisualCogB_Task-1,amp_error,预处理,15.249128306322229,5,5,6
VisualCogB_Task-1,amp_error,V3,4.135611803045271,5,6,6
VisualCogB_Task-1,amp_error,V4,9.338517346283504,5,6,6
VisualCogB_Task-1,amp_error,V6,14.300862722927354,5,5,6
VisualCogB_Task-1,amp_error,V7,14.29925148085997,5,5,6
VisualCogB_Task-1,P300_positive_mean,预处理,11.76560343058758,6,6,6
VisualCogB_Task-1,P300_positive_mean,V3,5.522209783128165,6,6,6
VisualCogB_Task-1,P300_positive_mean,V4,9.995244762213757,6,6,6
VisualCogB_Task-1,P300_positive_mean,V6,11.442829262681173,6,6,6
VisualCogB_Task-1,P300_positive_mean,V7,11.420907359489108,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,预处理,11.66670328841883,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V3,4.252962815107835,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V4,8.611575321715264,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V6,11.264381243096784,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V7,11.217993863546958,6,6,6
VisualCogB_Task-1,P300_amp,预处理,19.949298316709992,5,5,6
VisualCogB_Task-1,P300_amp,V3,11.807257220338224,5,6,6
VisualCogB_Task-1,P300_amp,V4,17.10613547055417,5,6,6
VisualCogB_Task-1,P300_amp,V6,19.516249203445973,5,5,6
VisualCogB_Task-1,P300_amp,V7,19.61645792627395,5,5,6
VisualCogB_Task-1,latency_error_ms,预处理,68.75,5,5,6
VisualCogB_Task-1,latency_error_ms,V3,39.84375,5,6,6
VisualCogB_Task-1,latency_error_ms,V4,68.75,5,6,6
VisualCogB_Task-1,latency_error_ms,V6,68.75,5,5,6
VisualCogB_Task-1,latency_error_ms,V7,68.75,5,5,6
VisualCogB_Task-1,P300_AUC_unit_ms,预处理,2943.5973378407434,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V3,1381.9665139091742,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V4,2503.646547562594,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V6,2863.10022264518,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V7,2857.501807642048,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,预处理,2920.378707285323,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V3,1065.7671701627348,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V4,2154.2169623531368,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V6,2819.683888839694,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V7,2807.8735364801,6,6,6
VisualCogB_Task-1,P300_lat_ms,预处理,401.5625,5,5,6
VisualCogB_Task-1,P300_lat_ms,V3,371.09375,5,6,6
VisualCogB_Task-1,P300_lat_ms,V4,401.5625,5,6,6
VisualCogB_Task-1,P300_lat_ms,V6,401.5625,5,5,6
VisualCogB_Task-1,P300_lat_ms,V7,401.5625,5,5,6
VisualCogB_Task-2,MAE,预处理,39.315888537645094,6,6,6
VisualCogB_Task-2,MAE,V3,3.7632167446050047,6,6,6
VisualCogB_Task-2,MAE,V4,15.910907678482156,6,6,6
VisualCogB_Task-2,MAE,V6,35.798684245517684,6,6,6
VisualCogB_Task-2,MAE,V7,35.45510393550361,6,6,6
VisualCogB_Task-2,RMSE,预处理,40.878680998329685,6,6,6
VisualCogB_Task-2,RMSE,V3,4.654188618372438,6,6,6
VisualCogB_Task-2,RMSE,V4,17.13923890576338,6,6,6
VisualCogB_Task-2,RMSE,V6,37.20466627580562,6,6,6
VisualCogB_Task-2,RMSE,V7,36.883051864083065,6,6,6
VisualCogB_Task-2,corr,预处理,-0.1389440485546096,6,6,6
VisualCogB_Task-2,corr,V3,0.6152258107921437,6,6,6
VisualCogB_Task-2,corr,V4,0.2158742861117078,6,6,6
VisualCogB_Task-2,corr,V6,-0.09359677962377899,6,6,6
VisualCogB_Task-2,corr,V7,-0.08606800349644388,6,6,6
VisualCogB_Task-2,shape_distance,预处理,1.195681800188991,6,6,6
VisualCogB_Task-2,shape_distance,V3,0.6495133276491861,6,6,6
VisualCogB_Task-2,shape_distance,V4,0.933047091854017,6,6,6
VisualCogB_Task-2,shape_distance,V6,1.1669322599485081,6,6,6
VisualCogB_Task-2,shape_distance,V7,1.1617768156201402,6,6,6
VisualCogB_Task-2,baseline_RMS,预处理,26.97593290832712,6,6,6
VisualCogB_Task-2,baseline_RMS,V3,16.981268673830055,6,6,6
VisualCogB_Task-2,baseline_RMS,V4,20.426203376363873,6,6,6
VisualCogB_Task-2,baseline_RMS,V6,25.767032444567516,6,6,6
VisualCogB_Task-2,baseline_RMS,V7,25.556879431807484,6,6,6
VisualCogB_Task-2,trial_PTP_median,预处理,272.28753482575996,6,6,6
