dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogB_Task-2,P300_positive_mean_error,预处理,32.87224401715354,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V7,29.013429236678473,6,6,6
VisualCogB_Task-2,P300_amp,预处理,69.37736145215392,6,6,6
VisualCogB_Task-2,P300_amp,V7,64.03100503116582,6,6,6
VisualCogB_Task-2,latency_error_ms,预处理,136.71875,5,5,6
VisualCogB_Task-2,latency_error_ms,V7,136.71875,5,5,6
VisualCogB_Task-2,P300_AUC_unit_ms,预处理,12531.397479103898,6,6,6
VisualCogB_Task-2,P300_AUC_unit_ms,V7,11567.312540346296,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,预处理,8198.023921829283,6,6,6
VisualCogB_Task-2,P300_AUC_error_unit_ms,V7,7233.93898307168,6,6,6
VisualCogB_Task-2,P300_lat_ms,预处理,500.0,6,6,6
VisualCogB_Task-2,P300_lat_ms,V7,500.0,6,6,6
