dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,6,0,-1,peak_latency,-9.599403140923048,-324.0124284242342,-393.3618791679516,3.6043675883796062,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,7,0,-1,peak_latency,-1.007597806611069,-12.459103515774125,-42.51704051544475,6.433135309210447,0.6711413094314267,,437.5,433.59375,,0.0,0.0,1.0,,,,,,,,,,,,
A1,8,0,-1,peak_latency,5.9109469372257895,14.92817539290402,58.55633705457173,16.30482701236184,26.742155944690325,73.06781150832143,332.03125,332.03125,441.40625,0.0,0.0,0.0,,,,,,,,,,,,
A1,9,0,1,peak_latency,7.202807697457891,17.066616021577584,-5.490634770049451,18.241326967248302,25.819436714423546,2.467181046674824,417.96875,421.875,410.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,10,0,1,peak_latency,6.933980019092985,23.983153077195862,45.55113440875836,20.07188654531874,36.667802889295,54.54509301250967,261.71875,472.65625,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,11,0,1,peak_latency,-0.9780023255041624,-161.33885593836865,-124.82936669703375,11.234474387861638,,,351.5625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,12,0,1,peak_latency,7.670869755705198,8.539553617802296,41.457614755159824,25.723575893878767,23.762664707427476,55.5546261221786,367.1875,359.375,367.1875,0.0,0.0,0.0,,,,,,,,,,,,
A1,13,0,-1,peak_latency,6.189478072769888,25.725687023725634,34.32191943163869,20.05170924549701,36.74835705601529,46.47643714445029,394.53125,394.53125,394.53125,0.0,0.0,0.0,,,,,,,,,,,,
A1,15,0,1,peak_latency,0.009875875551025592,-45.66556270664816,-66.19895837856156,16.15022400202458,,,312.5,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,16,0,-1,peak_latency,12.045728132578649,-35.15923365207765,-80.0969097551172,20.675406205277362,,,382.8125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,17,0,1,peak_latency,2.2865512759514472,31.622503023800192,34.43048857358452,20.651209444901305,44.56225519132994,42.581461778709865,308.59375,308.59375,316.40625,0.0,0.0,0.0,,,,,,,,,,,,
A1,24,1,-1,peak_latency,20.45861462127415,26.47826227325544,31.476094480628117,4.671761986855065,,19.990345311386506,425.78125,,429.6875,0.0,1.0,0.0,,,,,,,,,,,,
A1,25,1,-1,peak_latency,-2.1354083860230544,-86.03081286574105,-273.4173645378273,4.935574374318759,,,332.03125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,26,1,1,peak_latency,12.93560454909088,-2.151313064900741,8.512933590589475,,27.947452760293636,,,312.5,,1.0,0.0,1.0,,,,,,,,,,,,
A1,28,1,-1,peak_latency,19.331780753292453,52.2070020881338,49.52861483229315,58.96844239980045,97.7877063853218,83.66897102381537,296.875,296.875,300.78125,0.0,0.0,0.0,,,,,,,,,,,,
A1,29,1,-1,peak_latency,25.14658683349892,64.5087418010223,95.63255258514339,38.41108808154617,75.91714770570573,98.87181748476178,328.125,332.03125,335.9375,0.0,0.0,0.0,,,,,,,,,,,,
A1,30,1,-1,peak_latency,11.973976357261895,-11.930418955880329,15.088345142864942,25.551685973127466,0.34409004087288153,28.81643509562275,308.59375,265.625,308.59375,0.0,0.0,0.0,,,,,,,,,,,,
A1,31,1,-1,peak_latency,2.928910459227567,-23.756825576463847,-89.7888492492547,11.890944194178445,,,320.3125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,32,1,1,peak_latency,11.91785248283689,-15.746911820830631,2.997313257599618,32.86914767218201,,22.105836341188468,359.375,,363.28125,0.0,1.0,0.0,,,,,,,,,,,,
A1,33,1,1,peak_latency,1.1358544560674313,2.5464446970277232,7.865728501684737,20.324277787340186,17.123038876857876,25.888750933891902,359.375,359.375,359.375,0.0,0.0,0.0,,,,,,,,,,,,
A1,34,1,-1,peak_latency,-15.292655240161517,-39.58158337052391,-25.39570733701751,21.102267131308132,,4.809045982356324,386.71875,,382.8125,0.0,1.0,0.0,,,,,,,,,,,,
A1,35,1,1,peak_latency,11.32639475061539,-10.598956705437384,-11.710208925492733,25.516787700234435,3.067074563874769,0.9779137732072911,421.875,300.78125,304.6875,0.0,0.0,0.0,,,,,,,,,,,,
A1,37,1,-1,peak_latency,-2.972269095243733,-11.296984456678176,3.2055696670403737,9.536833726507313,2.162904921642763,21.34167895925819,359.375,410.15625,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,44,2,1,peak_latency,5.720472406404621,18.434049829996944,39.39700851089437,21.148655580921115,30.911171958799386,57.23005017488552,335.9375,292.96875,343.75,0.0,0.0,0.0,,,,,,,,,,,,
A1,45,2,-1,peak_latency,5.340472254313682,-148.80388054800133,-47.83554867930666,15.990396234637625,,,265.625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,47,2,-1,peak_latency,8.734771274170217,-10.909844847193297,-9.070803886192477,19.353941569728782,0.18430190973222693,3.941135400099512,289.0625,292.96875,292.96875,0.0,0.0,0.0,,,,,,,,,,,,
A1,48,2,1,peak_latency,11.64814704240852,-1.3884608712156616,-8.414843453189347,28.007140924629496,9.435050571082128,8.437111119566925,464.84375,355.46875,390.625,0.0,0.0,0.0,,,,,,,,,,,,
A1,49,2,-1,peak_latency,-4.906884458571432,23.833400125104834,35.259326880998344,2.981387045326067,29.886697283070816,47.72978160192039,335.9375,339.84375,421.875,0.0,0.0,0.0,,,,,,,,,,,,
A1,50,2,-1,peak_latency,4.187957789878283,19.657479445952788,-74.16792211709392,23.800647266693467,32.43794246456518,,414.0625,414.0625,,0.0,0.0,1.0,,,,,,,,,,,,
A1,51,2,1,peak_latency,6.136109702313545,139.24563189117373,228.35811946866954,24.507132154754217,163.0340063220841,248.18994542569828,285.15625,281.25,289.0625,0.0,0.0,0.0,,,,,,,,,,,,
A1,52,2,1,peak_latency,-105.96186470039643,806.1784201086671,689.0591432446809,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,53,2,1,peak_latency,-102.93051736696674,739.3732979450068,562.7661871805326,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,54,2,-1,peak_latency,-54.94397474439459,214.29940923871203,681.3508971639595,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
A1,55,2,1,peak_latency,4.9578516117407725,60.8088170466174,32.09836981622606,23.302630035349317,82.24797545140157,48.47138651097421,382.8125,378.90625,308.59375,0.0,0.0,0.0,,,,,,,,,,,,
A1,56,2,-1,peak_latency,3.2541154327751296,124.93821772123951,46.639804094012774,20.786456005908953,142.95333958353226,67.11211094050302,363.28125,437.5,367.1875,0.0,0.0,0.0,,,,,,,,,,,,
A1,57,2,-1,peak_latency,16.721022580120366,-0.8520733854401379,9.14748299909767,26.784340244806444,6.422328728819139,19.494434043753174,429.6875,273.4375,300.78125,0.0,0.0,0.0,,,,,,,,,,,,
A1,64,3,1,peak_latency,31.90262037092971,-195.2202457697382,-155.14756579394245,50.341742511091326,,,324.21875,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,65,3,-1,peak_latency,14.38081869831283,-20.039986142760345,-23.390979124027087,27.339686450883935,,,277.34375,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,66,3,1,peak_latency,-7.401221672850298,45.83256814822245,-16.00387271134779,8.885780371182719,66.36682599268738,15.870921741770388,382.8125,281.25,285.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,67,3,-1,peak_latency,12.788839932941666,-71.79587009315412,-68.17935484042685,23.129258419955836,,,320.3125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,68,3,-1,peak_latency,-8.320087795876699,0.2805957750252981,-3.6778321551101474,10.570072306025438,15.082402495842956,14.797581671426173,347.65625,261.71875,347.65625,0.0,0.0,0.0,,,,,,,,,,,,
A1,69,3,1,peak_latency,1.752236614471298,-10.559080168581941,10.623893966647927,13.387738964004985,4.672124507708972,26.237791042968574,285.15625,281.25,285.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,70,3,1,peak_latency,5.144319119249355,26.32097764467496,41.26323020427861,18.157881045529948,39.383001585031764,61.25683962371012,351.5625,351.5625,417.96875,0.0,0.0,0.0,,,,,,,,,,,,
A1,71,3,-1,peak_latency,-2.579514575942525,-30.943226753021467,-26.259706214145442,15.288974038203005,,,367.1875,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,72,3,1,peak_latency,5.677422399548027,-50.9195182949767,-61.70993919765524,18.192837680344237,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,73,3,-1,peak_latency,1.0798568538401376,6.90256835731111,-0.9778510465967374,15.759708275203678,19.114292827242082,11.075389157366999,328.125,476.5625,332.03125,0.0,0.0,0.0,,,,,,,,,,,,
A1,74,3,1,peak_latency,6.541289003607342,-103.23150199751694,-174.9142389639745,23.037109088118733,,,363.28125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,75,3,-1,peak_latency,12.292555075461907,-8.476102772061127,-52.63504225603842,29.321913001364955,6.636889616552139,,378.90625,457.03125,,0.0,0.0,1.0,,,,,,,,,,,,
A1,76,3,1,peak_latency,11.473905992760368,-85.13033530464061,-101.38939308496674,25.275162806471478,,,468.75,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,84,4,1,peak_latency,3.015702311947525,-171.73119961624212,-250.02164200325294,17.745063044212117,,,351.5625,,,0.0,1.0,1.0,,,,,,,,,,,,
