dataset,trial_id,cue,role,PC1,PC2
B2,2,-1,train,5.528181984583533,0.3828478972499208
B2,3,-1,train,-1.3837932529006172,-1.4311846749069184
B2,4,1,train,-2.094456871186398,1.3193104683709818
B2,5,-1,train,-2.107836529859879,0.666561078119572
B2,6,1,train,4.319290778242918,-0.33728671469681154
B2,7,1,train,4.408766379151762,0.7936611980363435
B2,8,1,train,0.5935598264705378,-1.2393116326784444
B2,9,1,train,-2.552404310529642,1.6087047577322442
B2,10,-1,train,4.288379222335852,-0.4730558455557446
B2,11,1,train,2.586501341731761,0.509711146000309
B2,12,1,train,-3.402196980798001,1.3173306667636353
B2,13,1,train,-3.2197854097658656,1.5180171165891438
B2,15,1,train,3.4719514310920903,0.3355800365161791
B2,17,-1,train,1.658072388112915,-0.6066434843906368
B2,24,-1,train,-0.9243669507577437,1.7477040463266755
B2,25,-1,train,1.7835734701635055,1.4857052353271034
B2,26,1,train,4.399053820330855,-1.6743107680207183
B2,27,-1,train,-4.249245581651459,-2.879403050354099
B2,28,-1,train,-2.343582422486002,0.5627945545197013
B2,29,-1,train,2.909911558558798,1.699055411406647
B2,30,1,train,0.009541410758658504,0.6120801977036425
B2,31,1,train,-0.9520585961201183,2.352800262252114
B2,32,1,train,3.368285018675938,0.8974271458052571
B2,33,1,train,1.3234897437247861,-4.456153095945107
B2,34,1,train,-1.3394567177986443,2.01643420722908
B2,35,-1,train,-0.2799124222983352,1.738140286800139
B2,36,1,train,3.255454344544041,-2.163275314455977
B2,37,-1,train,-2.2317583199833586,-0.02610154100516215
B2,44,1,train,-0.9628976868391163,0.006735678999928789
B2,45,-1,train,1.5372131234956192,-0.45873910260672407
B2,46,-1,train,-0.7074951549160905,1.955350988278527
B2,47,1,train,-3.7508011712686073,0.7736961558154585
B2,48,-1,train,-1.5234066433136295,-2.579532137298034
B2,49,1,train,3.170798299500336,1.907701624801543
B2,51,-1,train,1.9939290437675095,1.5845046836314634
B2,52,-1,train,-0.6906091845187871,1.3537810880897458
B2,53,1,train,-0.5125622186914813,1.5014873258777783
B2,55,1,train,-1.0635713349530784,1.6497973980542835
B2,56,-1,train,-2.6656621549256987,-7.600370574380307
B2,64,-1,train,-2.7792553206937387,-1.7946278568579226
B2,65,1,train,-4.3751238363992995,-2.6169493835094277
B2,66,1,train,3.8917474529130414,-0.6588830806750345
B2,67,1,train,-0.26545666932999085,1.4210370160293364
B2,68,1,train,6.610338632334166,-1.7396584381869786
B2,69,-1,train,-2.6168912188747475,2.17239265952355
B2,70,-1,train,-4.363081654045802,2.3754730484653814
B2,71,1,train,1.3599366345382466,1.1477546617366023
B2,72,1,train,-0.45604400850626003,-4.726435563359719
B2,73,1,train,1.9591796817701579,0.3835037806475951
B2,74,-1,train,-2.7544574317544783,-2.2319022513612
B2,75,-1,train,-3.4464706140334735,1.5523818082504524
B2,76,1,train,-1.8876549383394956,-2.8111984658528693
B2,77,1,train,-2.524859979257191,1.155559345147497
B2,84,-1,test,-0.21626823389235256,-0.24057152601311002
B2,85,-1,test,6.438742667965612,0.5073949314985796
B2,86,1,test,-2.0824959810865975,-1.0864485154111312
B2,87,-1,test,0.10298160275402511,1.787336275525917
B2,88,1,test,4.598401612755646,-0.4385809088315835
B2,89,-1,test,-3.322677259026362,-7.968712066816923
B2,90,1,test,-2.097418344927443,1.161209875540387
B2,91,-1,test,-3.4102486500516425,-6.640573544604865
B2,92,-1,test,-4.351180924234542,1.4072362256131545
B2,93,1,test,-1.245700539484144,1.4319724445354587
