dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,symmetric_readout,2,Right,F3,310.02449955671005,-18.162295747903528,-0.6876379255081533
A1,strict_oof,symmetric_readout,2,Right,F4,272.31527986925016,-17.730219212723288,-0.7039074578949817
A1,strict_oof,symmetric_readout,3,Left,Fz,7.499096613449157,-0.06734656701744601,0.01286824679962158
A1,strict_oof,symmetric_readout,3,Left,F3,8.992722825015598,-0.6853405426190762,0.43731593955285536
A1,strict_oof,symmetric_readout,3,Left,F4,13.851690813212114,-0.9019661291544776,0.4934669265021516
A1,strict_oof,symmetric_readout,3,Right,Fz,12.690533181189116,-3.6902429678868316,-0.22669361806428975
A1,strict_oof,symmetric_readout,3,Right,F3,86.35898930791096,-11.608047576207081,-0.1328819907480519
A1,strict_oof,symmetric_readout,3,Right,F4,105.1133574236984,-6.7960284967638955,-0.11723495302689375
A1,strict_oof,symmetric_readout,4,Left,Fz,30.51669323025576,-5.952248853964017,-0.36874907476461727
A1,strict_oof,symmetric_readout,4,Left,F3,169.57174177208216,-6.825334551841735,-0.30097836459372224
A1,strict_oof,symmetric_readout,4,Left,F4,106.3257686036441,-9.379392150218125,-0.28965500926306587
A1,strict_oof,symmetric_readout,4,Right,Fz,6.932559687050624,-0.26522660055957403,0.3070986220012103
A1,strict_oof,symmetric_readout,4,Right,F3,16.53650201666622,-2.950015005460661,-0.4638079510606382
A1,strict_oof,symmetric_readout,4,Right,F4,18.20823324812184,-2.534853460476186,-0.43077388581613396
A1,strict_oof,gamma,0,Left,Fz,4.084952329466164,-0.06169399448243551,0.25492640912992365
A1,strict_oof,gamma,0,Left,F3,94.0195510190316,-8.051180415574429,0.7617705480713832
A1,strict_oof,gamma,0,Left,F4,101.26381582783041,-8.974023749057782,0.8786066737305088
A1,strict_oof,gamma,0,Right,Fz,3.563907410585476,-0.03792378061232671,-0.11231627212013341
A1,strict_oof,gamma,0,Right,F3,29.14826568707363,-5.660196718016942,-0.20330599764965868
A1,strict_oof,gamma,0,Right,F4,43.15953084665854,-8.606737638781828,-0.0497188142162805
A1,strict_oof,gamma,1,Left,Fz,10.2825596771562,-0.025907320023980773,-0.23534939104300806
A1,strict_oof,gamma,1,Left,F3,10.570986916961886,0.056364814494588855,0.26865380636997194
A1,strict_oof,gamma,1,Left,F4,30.395254157653373,-2.0558498120386566,0.5173179701489816
A1,strict_oof,gamma,1,Right,Fz,11.588553011920194,-0.0637977217820922,0.10220864184473129
A1,strict_oof,gamma,1,Right,F3,24.373704483597432,-3.1116373522939647,0.08219492996015412
A1,strict_oof,gamma,1,Right,F4,16.82454373905785,-0.36070182954970886,0.31699266832704315
A1,strict_oof,gamma,2,Left,Fz,7.248480480735526,-0.7178346615068221,-0.6286067659683474
A1,strict_oof,gamma,2,Left,F3,63.37532789866804,-47.02011413209142,-0.7815123252333587
A1,strict_oof,gamma,2,Left,F4,126.03505240279438,-23.973913480727127,-0.7859018584553781
A1,strict_oof,gamma,2,Right,Fz,37.54429327761145,-7.70282613467171,-0.3336456038220674
A1,strict_oof,gamma,2,Right,F3,301.5089190209054,-17.124074377352944,-0.9119471946552037
A1,strict_oof,gamma,2,Right,F4,267.4108062464431,-17.061621862660306,-0.9420390917749821
A1,strict_oof,gamma,3,Left,Fz,7.467565355519527,-0.05838974783136064,-0.07861598984003478
A1,strict_oof,gamma,3,Left,F3,8.497367186863187,-0.5047835103154792,0.35645253198601745
A1,strict_oof,gamma,3,Left,F4,18.937883498181076,-2.555167619229981,0.7233728635316596
A1,strict_oof,gamma,3,Right,Fz,12.451759686767092,-3.5154086838899907,-0.39526034983803504
A1,strict_oof,gamma,3,Right,F3,84.70578174168277,-11.12994542069015,-0.5972331257079524
A1,strict_oof,gamma,3,Right,F4,98.24351747516401,-5.810286907825231,-0.5534197059267023
A1,strict_oof,gamma,4,Left,Fz,30.526597473949806,-5.956762314196483,-0.7254632097409033
A1,strict_oof,gamma,4,Left,F3,169.1144007476969,-6.783181061590228,0.6832176418937725
A1,strict_oof,gamma,4,Left,F4,106.02097575528057,-9.319970427503792,0.8259948554130887
A1,strict_oof,gamma,4,Right,Fz,6.998540829933786,-0.28942498315283793,-0.06539290314698429
A1,strict_oof,gamma,4,Right,F3,17.028054927797108,-3.1883361853875405,-0.6473109133608989
A1,strict_oof,gamma,4,Right,F4,18.26906921554246,-2.558513688802195,-0.6899972746430831
A1,strict_oof,step,0,Left,Fz,4.1036025253807455,-0.07141063277584325,-0.2619159841614428
A1,strict_oof,step,0,Left,F3,94.0408379453327,-8.055279427316707,0.9165094121479562
A1,strict_oof,step,0,Left,F4,101.269045591471,-8.975053991366407,0.9221798205933658
A1,strict_oof,step,0,Right,Fz,3.5710023420602166,-0.04206043584792707,-0.19982304107174154
A1,strict_oof,step,0,Right,F3,29.108265917581,-5.641929865130664,-0.7452490603472331
A1,strict_oof,step,0,Right,F4,43.10478962372477,-8.582383756586188,-0.8403431153521916
A1,strict_oof,step,1,Left,Fz,10.446162343581648,-0.058812824721923285,-0.48966248693090614
A1,strict_oof,step,1,Left,F3,9.34986111907483,0.261784133141153,0.5387998584331758
A1,strict_oof,step,1,Left,F4,30.352176195152825,-2.0471940857820834,0.7328647322087436
A1,strict_oof,step,1,Right,Fz,11.477537844121418,-0.04351356538742457,0.32122579651592514
A1,strict_oof,step,1,Right,F3,24.330235531852804,-3.0969847425305437,-0.41633175450378235
A1,strict_oof,step,1,Right,F4,17.265798793185642,-0.4330116753568849,-0.5422097128569631
A1,strict_oof,step,2,Left,Fz,6.435112718763643,-0.3539409726395317,0.11189860372185986
A1,strict_oof,step,2,Left,F3,63.12580388636378,-46.642724899069094,-0.8824638498226601
A1,strict_oof,step,2,Left,F4,125.65446138135471,-23.823312579560223,-0.9048101235429531
A1,strict_oof,step,2,Right,Fz,37.60986531608409,-7.733252084288349,-0.7793617697875308
A1,strict_oof,step,2,Right,F3,301.2275972479509,-17.09026895565229,-0.985522471504202
A1,strict_oof,step,2,Right,F4,267.1958768369561,-17.03259974704498,-0.9878792373465473
A1,strict_oof,step,3,Left,Fz,7.354443103746759,-0.026566635030448316,0.1737691994578236
A1,strict_oof,step,3,Left,F3,10.149481912662562,-1.1468069903655156,0.1973463770402378
A1,strict_oof,step,3,Left,F4,19.298132672535584,-2.6917116853112186,0.6322673439892412
A1,strict_oof,step,3,Right,Fz,12.46944453180602,-3.5282439798091696,-0.5453707061757066
A1,strict_oof,step,3,Right,F3,84.54751021623188,-11.084658514805572,-0.8656227542976409
A1,strict_oof,step,3,Right,F4,98.41366617550977,-5.833896911417998,-0.8573016781725713
A1,strict_oof,step,4,Left,Fz,30.534135568337746,-5.9601984787239815,0.599128112221663
A1,strict_oof,step,4,Left,F3,169.12767258138445,-6.784402733280512,0.8800566660099869
A1,strict_oof,step,4,Left,F4,106.02896965944198,-9.321526722643688,0.8931652564330835
A1,strict_oof,step,4,Right,Fz,7.005413285738376,-0.2919586161942094,-0.27987333591258345
A1,strict_oof,step,4,Right,F3,16.805210312925112,-3.07942875625237,-0.035230709969026386
A1,strict_oof,step,4,Right,F4,18.09508387529879,-2.491057479459657,-0.08068163506799943
A1,strict_oof,ramp,0,Left,Fz,4.123283524619137,-0.08171231150458858,-0.5169325222900432
A1,strict_oof,ramp,0,Left,F3,94.06053046579716,-8.059072246477355,0.9564589695815475
A1,strict_oof,ramp,0,Left,F4,101.26133904122736,-8.973535850669013,0.9532915146880253
A1,strict_oof,ramp,0,Right,Fz,3.5550504678344197,-0.03277134114756852,0.14371976630852346
A1,strict_oof,ramp,0,Right,F3,29.031143401075447,-5.606780828592858,-0.9686051194223363
A1,strict_oof,ramp,0,Right,F4,42.98780534554949,-8.530442099834747,-0.9654743145832582
A1,strict_oof,ramp,1,Left,Fz,11.013337680850075,-0.1769108371170367,-0.8936841132741997
A1,strict_oof,ramp,1,Left,F3,5.495199441289396,0.7450001212653237,0.9129476940077483
A1,strict_oof,ramp,1,Left,F4,30.187905123144105,-2.014299491159861,0.9755468282083972
A1,strict_oof,ramp,1,Right,Fz,11.199490871782064,0.006432922223763127,0.706654711017769
A1,strict_oof,ramp,1,Right,F3,24.293854553411368,-3.0847414681483185,-0.7929807948688128
A1,strict_oof,ramp,1,Right,F4,17.48997982819424,-0.47046602581859265,-0.8217132706787105
A1,strict_oof,ramp,2,Left,Fz,5.44651140738761,0.030106052672018824,0.534033051398745
A1,strict_oof,ramp,2,Left,F3,61.664785934132965,-44.462907378345264,-0.8912217284050737
A1,strict_oof,ramp,2,Left,F4,123.54721460501634,-22.99771147147812,-0.9530748056565942
A1,strict_oof,ramp,2,Right,Fz,37.387373690703775,-7.630229750493433,-0.9128091889433916
A1,strict_oof,ramp,2,Right,F3,299.6947646122186,-16.906628393969168,-0.8787290336822524
A1,strict_oof,ramp,2,Right,F4,265.50703723498,-16.80536626909404,-0.8639280383366578
A1,strict_oof,ramp,3,Left,Fz,7.483661499952301,-0.06295732876526139,0.25599402800782867
A1,strict_oof,ramp,3,Left,F3,16.351087403392064,-4.5718386670287545,-0.08464630024150531
A1,strict_oof,ramp,3,Left,F4,21.06625161865743,-3.3991800272811066,0.5771300058869092
A1,strict_oof,ramp,3,Right,Fz,12.643624038692428,-3.6556331305209833,-0.6410581281375421
A1,strict_oof,ramp,3,Right,F3,82.60852174364584,-10.536722284868594,-0.9801469211619341
A1,strict_oof,ramp,3,Right,F4,97.2694844560187,-5.675915482113137,-0.9852633039786216
A1,strict_oof,ramp,4,Left,Fz,30.55758084700043,-5.97089119618433,-0.7591469963849706
A1,strict_oof,ramp,4,Left,F3,169.13594597624737,-6.785164347413155,0.982501041781754
A1,strict_oof,ramp,4,Left,F4,106.02738918915692,-9.321219019102776,0.9657916539310324
A1,strict_oof,ramp,4,Right,Fz,7.028063140131423,-0.3003264252820892,-0.4103511302406987
A1,strict_oof,ramp,4,Right,F3,16.44910386540828,-2.9083723744439145,0.43427912240247685
A1,strict_oof,ramp,4,Right,F4,17.860472658783433,-2.4011179553759585,0.363687003783145
A1,strict_oof,zero,0,Left,Fz,4.039435216195521,-0.038165685333346966,0.4515553966306762
A1,strict_oof,zero,0,Left,F3,95.09186104845332,-8.258818484548728,0.6606672907336779
A1,strict_oof,zero,0,Left,F4,101.9149086835713,-9.102695431817983,0.6694214164856916
A1,strict_oof,zero,0,Right,Fz,3.582617889798322,-0.04885056776960828,0.33957906350105516
A1,strict_oof,zero,0,Right,F3,28.23227799914928,-5.248178980453302,0.7101662919855843
A1,strict_oof,zero,0,Right,F4,42.65411776492782,-8.383058569900848,0.730458068136696
A1,strict_oof,zero,1,Left,Fz,10.165734091218429,-0.002727999826488192,0.5818268393889029
A1,strict_oof,zero,1,Left,F3,14.970313708540235,-0.892495510728244,-0.8844708671487167
A1,strict_oof,zero,1,Left,F4,35.84374083727112,-3.249590716252367,-0.7413791236218095
A1,strict_oof,zero,1,Right,Fz,11.376971893670564,-0.02530718952539468,0.6257717216641858
A1,strict_oof,zero,1,Right,F3,18.555374747029735,-1.3829294241450958,-0.8864138322377799
A1,strict_oof,zero,1,Right,F4,15.40652942969427,-0.14100096944973584,-0.7615634581959012
A1,strict_oof,zero,2,Left,Fz,8.689338173021625,-1.468657344112518,-0.5041976588404165
A1,strict_oof,zero,2,Left,F3,75.41583363520904,-66.99982911300181,-0.6668339192168263
A1,strict_oof,zero,2,Left,F4,141.50755768916935,-30.482062815612885,-0.7231387813106425
A1,strict_oof,zero,2,Right,Fz,40.2110849150555,-8.983067815722803,0.23356772429545317
A1,strict_oof,zero,2,Right,F3,330.3421160618948,-20.756217970667098,-0.850927202550559
A1,strict_oof,zero,2,Right,F4,295.98466183762207,-21.127749747357694,-0.847142897696539
A1,strict_oof,zero,3,Left,Fz,8.310077868267207,-0.3106832415318663,0.014200599506966572
A1,strict_oof,zero,3,Left,F3,20.433409559240012,-7.701355905904855,-0.025602105823528697
A1,strict_oof,zero,3,Left,F4,32.166268306006195,-9.25648527735796,0.4891560668520275
A1,strict_oof,zero,3,Right,Fz,9.706625550482208,-1.7439244887333492,-0.26436971139055726
A1,strict_oof,zero,3,Right,F3,62.383978504284784,-5.579287634686261,0.7443530369601805
A1,strict_oof,zero,3,Right,F4,81.98951309216581,-3.7432303509482328,0.729816119224804
A1,strict_oof,zero,4,Left,Fz,30.558260781362574,-5.9712014171546794,0.6495947223072952
A1,strict_oof,zero,4,Left,F3,170.01208558122366,-6.86602897018014,0.7079211181815057
A1,strict_oof,zero,4,Left,F4,106.69071366542572,-9.450765414351432,0.7394576755563338
A1,strict_oof,zero,4,Right,Fz,6.922226734109691,-0.26145778081832405,0.37144063599548705
A1,strict_oof,zero,4,Right,F3,16.394817885590864,-2.882617814199098,-0.4568733684154682
A1,strict_oof,zero,4,Right,F4,17.944169152621203,-2.4330688039526867,-0.38673904019564187
A1,strict_all,full,-1,Left,Fz,5.498339793385026,-2.8254993686708576,0.536293138902373
A1,strict_all,full,-1,Left,F3,42.05951994153869,-6.047991346498786,-0.3467008324334366
A1,strict_all,full,-1,Left,F4,28.39891661609615,-5.203985624058343,-0.3344857510594563
A1,strict_all,full,-1,Right,Fz,5.126756204776162,-0.6476487494903351,-0.16059406134744134
A1,strict_all,full,-1,Right,F3,24.24318226555142,-16.104818082846077,0.32341884920519715
A1,strict_all,full,-1,Right,F4,12.937080616166618,-6.636787967953539,0.6864927075056918
A1,q1_before,full,-1,Left,Fz,5.394085300703526,-0.6937023746946684,0.08956521908475129
A1,q1_before,full,-1,Left,F3,30.711872776246697,-3.697038005643704,0.27429880750240143
A1,q1_before,full,-1,Left,F4,20.725122160682695,-4.093228140097432,0.32892537838865565
A1,q1_before,full,-1,Right,Fz,4.454007560367606,-0.31804243328811754,0.11204058501908042
A1,q1_before,full,-1,Right,F3,15.724632319863208,-6.494259777581342,0.39704814914450537
A1,q1_before,full,-1,Right,F4,11.327741422408149,-5.013171196541142,0.4260944216810156
A1,q1_v7,full,-1,Left,Fz,5.452631685050826,-0.7246354389289569,0.09591647257828526
A1,q1_v7,full,-1,Left,F3,27.5081720960652,-3.9517240643387295,0.27359816603524395
A1,q1_v7,full,-1,Left,F4,17.89812463776038,-4.357547818768161,0.32819355174684184
A1,q1_v7,full,-1,Right,Fz,4.42798895365064,-0.3187012593223011,0.09838872178338737
A1,q1_v7,full,-1,Right,F3,13.780363280932185,-6.021402279393141,0.44854568537809986
A1,q1_v7,full,-1,Right,F4,10.342091008587257,-4.529885611421835,0.4752163197104536
A2,strict_oof,full,0,Left,Fz,25.855014412760564,0.5180612566937703,0.7199409209433167
A2,strict_oof,full,0,Left,F3,38.23676330048443,-0.33711582446323574,0.6795975865938335
A2,strict_oof,full,0,Left,F4,49.95730484396001,-0.27105133856130603,0.6288656453027777
A2,strict_oof,full,0,Right,Fz,30.658822027763218,-0.6009588015884957,0.6020372972592607
A2,strict_oof,full,0,Right,F3,29.315244215288573,0.4165530541287218,0.7439792439003718
A2,strict_oof,full,0,Right,F4,32.49527833468965,0.2686754382027705,0.6976520906206187
A2,strict_oof,full,1,Left,Fz,32.13083679700262,0.4299847423830053,0.6636636635154624
A2,strict_oof,full,1,Left,F3,30.54519641539721,0.43277428486202085,0.7044453068781791
A2,strict_oof,full,1,Left,F4,41.429616877557116,0.3414336329947024,0.6022751405850465
A2,strict_oof,full,1,Right,Fz,39.09537121565874,0.3624282766912208,0.6039523389213034
A2,strict_oof,full,1,Right,F3,72.30594865776969,0.1260162280175654,0.6543668633603802
A2,strict_oof,full,1,Right,F4,55.24070638626604,0.352881168110906,0.6028564255633754
A2,strict_oof,full,2,Left,Fz,32.85409193597674,0.44138081341824087,0.6941176998400553
A2,strict_oof,full,2,Left,F3,160.07869859075373,-4.179623701969372,0.7762216478989755
A2,strict_oof,full,2,Left,F4,91.56177416243547,-1.1281227316451456,0.7290180500410419
A2,strict_oof,full,2,Right,Fz,31.00712196183765,0.19944922249666996,0.6285755681793944
A2,strict_oof,full,2,Right,F3,51.9107450153983,-10.351387003059493,0.5207750302377843
A2,strict_oof,full,2,Right,F4,34.80701669910069,-0.018894952563834888,0.6296596903905325
A2,strict_oof,full,3,Left,Fz,29.94595197512056,0.06136143077442502,0.49901258153595984
A2,strict_oof,full,3,Left,F3,39.20560270615401,-5.605553594334609,0.28667518044756546
A2,strict_oof,full,3,Left,F4,38.682017927146035,-0.03203456316891429,0.45711085900314924
A2,strict_oof,full,3,Right,Fz,45.68859144460171,0.24699089045367428,0.5811461429063244
A2,strict_oof,full,3,Right,F3,57.53094350114088,-0.460640234595143,0.5298741221591707
A2,strict_oof,full,3,Right,F4,55.28272849724704,0.27426584511542995,0.5331533008634552
A2,strict_oof,full,4,Left,Fz,32.54744149710515,0.3964490956385375,0.721749722101961
A2,strict_oof,full,4,Left,F3,48.39443603375496,-3.605321720747108,0.5498676483405067
A2,strict_oof,full,4,Left,F4,38.43885918409653,0.36779182282493683,0.647947711163569
A2,strict_oof,full,4,Right,Fz,83.79955413657319,0.005020043985028755,0.6895328182752799
A2,strict_oof,full,4,Right,F3,183.94493923832255,-1.0757677661561234,0.7458993176779883
A2,strict_oof,full,4,Right,F4,134.2602563791255,-0.09230096823765543,0.6652676223032152
