dataset,held_block,parameter,factor,eigenmax,delta_MSE,zero_MSE,S_delta,delta_change_RMS
B2,1,time_scale,0.8,-3.333333333333333,9620.03460679158,14810.067520858538,0.35043951735920864,10.064029466370874
B2,1,time_scale,1.2,-2.222222222222222,8883.34843191099,14810.067520858538,0.4001817736887655,6.892933919714889
B2,1,recurrence,0.8,-2.6666666666666665,8864.713590778989,14810.067520858538,0.4014400286633465,0.17267631656936086
B2,1,recurrence,1.2,-2.6666666666666665,8823.772896885568,14810.067520858538,0.4042044113264073,0.16048800810312253
B2,1,F4_readout,0.8,,9170.402690885254,14810.067520858538,0.38079940027487147,5.208735919834585
B2,1,F4_readout,1.2,,8590.244037666233,14810.067520858538,0.4199726621389328,5.208735919834584
B2,2,time_scale,0.8,-3.333333333333333,2939.012341698759,8589.549533551812,0.6578385944200422,16.477000586750794
B2,2,time_scale,1.2,-2.222222222222222,3648.8526677441055,8589.549533551812,0.5751985999392344,11.23113658249005
B2,2,recurrence,0.8,-2.6666666666666665,3046.1866290856083,8589.549533551812,0.645361305946623,0.2977914560239788
B2,2,recurrence,1.2,-2.6666666666666665,3032.3009159746202,8589.549533551812,0.6469778881732868,0.2508481200251541
B2,2,F4_readout,0.8,,3579.805894994091,8589.549533551812,0.5832370625478158,6.356541450698834
B2,2,F4_readout,1.2,,2607.9470655176424,8589.549533551812,0.6963813928389739,6.356541450698834
B2,3,time_scale,0.8,-3.333333333333333,15051.664395301457,25123.256124791136,0.40088719708394926,18.16397844066341
B2,3,time_scale,1.2,-2.222222222222222,13608.332316966442,25123.256124791136,0.4583372374435969,12.312542338988033
B2,3,recurrence,0.8,-2.6666666666666665,13337.789992232656,25123.256124791136,0.4691058385910739,0.3743894486806168
B2,3,recurrence,1.2,-2.6666666666666665,13242.491485982018,25123.256124791136,0.47289907724522273,0.32756863396019936
B2,3,F4_readout,0.8,,13728.289651727411,25123.256124791136,0.4535624847536939,8.335509321233273
B2,3,F4_readout,1.2,,13036.875477766333,25123.256124791136,0.48108336702017696,8.335509321233275
B2,4,time_scale,0.8,-3.333333333333333,1887.451981571622,4815.052683106518,0.6080101079280615,17.57996756710043
B2,4,time_scale,1.2,-2.222222222222222,1844.1331969323107,4815.052683106518,0.6170066418167339,12.015828676325343
B2,4,recurrence,0.8,-2.6666666666666665,1676.8545664137146,4815.052683106518,0.6517474103041669,0.3175845108667597
B2,4,recurrence,1.2,-2.6666666666666665,1689.241522033263,4815.052683106518,0.6491748619989308,0.2667570777928081
B2,4,F4_readout,0.8,,1951.2157314417018,4815.052683106518,0.5947675217994002,6.350702325159862
B2,4,F4_readout,1.2,,1526.2565234155024,4815.052683106518,0.6830239202220295,6.350702325159862
