dataset,held_block,model,active_rank,effective_condition,max_column_cosine,edf,singular_values
A2,4,N3,9,10.551514335840386,0.945233980299089,2.3388275986773697,"[1.6170211148898703, 1.537207971348437, 1.127028823893347, 1.0231193883386551, 0.94561919230734, 0.6823049206779686, 0.5430330664737678, 0.16480574595048106, 0.15325014622757285]"
B1,0,N2,8,6.785171471320488,0.8517478333295826,2.32836329606695,"[1.5235425369173368, 1.4412206834761343, 1.2061041522500615, 0.9113490025594323, 0.8473561793760681, 0.6751484252843418, 0.3036457438762385, 0.2245400198590463, 2.296266782253929e-17]"
B1,0,N3,9,25.10852447826186,0.9943484977771143,0.7617189644764648,"[1.6279211935924334, 1.6008650365219745, 1.0487598203447535, 1.0133980095225164, 0.9398361097454907, 0.636817170103555, 0.6022454228607198, 0.06708081862758032, 0.06483539863132277]"
B1,1,N2,8,6.326934607044656,0.8321014806297449,2.3390729873552396,"[1.5463939113539968, 1.4049202948075687, 1.1961219439986517, 0.9332037950279156, 0.8439038464914207, 0.6788685839145747, 0.31703809556051055, 0.24441439771357548, 4.729519873873179e-18]"
B1,1,N3,9,26.86634719193597,0.9943416409291503,5.0304187038699055,"[1.722319433246588, 1.5658332623602604, 1.1011870199252385, 0.9970850861876572, 0.8496579671933806, 0.6355724955582942, 0.4901106619307954, 0.06929085637839798, 0.06410694468221376]"
B1,2,N2,8,6.5076249689646275,0.8315032265867127,0.46115205992219416,"[1.5620948472671714, 1.3880608459138977, 1.1905104780325537, 0.9437919808866037, 0.8314114922226252, 0.6885608615615124, 0.3195428108641963, 0.24004069913630915, 2.7022198550525656e-17]"
B1,2,N3,9,27.52785445600978,0.9943623919897442,0.4644501497814559,"[1.699354701014765, 1.5226471956265706, 1.0844057042227166, 0.9895356046535949, 0.929209144939065, 0.6534317021499386, 0.5827024772338351, 0.06976395253993165, 0.061732188526729445]"
B1,3,N2,8,15.21544755357971,0.9696235182508751,2.279006266468364,"[1.5590854001706589, 1.4906471090263356, 1.2146188907721707, 0.8521747288778956, 0.8080694904764136, 0.6792402093790101, 0.14449909238244196, 0.10246727180915922, 2.1062494557058584e-17]"
B1,3,N3,9,25.564481377093735,0.9943215072377104,2.3063687733408886,"[1.6583858048053135, 1.5824616379008043, 1.0682166099840071, 1.0106695597975408, 0.91314655399883, 0.6400190247564127, 0.5751246973879206, 0.06778197133059101, 0.0648707001070344]"
B1,4,N2,8,6.156455736693766,0.8308097540139595,0.46138721375280733,"[1.5177431128017915, 1.4288442900644467, 1.193840126997951, 0.9258122577026682, 0.8577246269234248, 0.6891170784869712, 0.3180046585373672, 0.246528713551163, 5.568192549019141e-18]"
B1,4,N3,9,25.059297833998762,0.9943352352957872,0.4647253849461668,"[1.623721916512172, 1.6005123752911967, 1.0466595183762006, 1.0137576735986917, 0.9477606828674048, 0.6371460291408323, 0.6047939625237521, 0.06713403195347882, 0.06479518808819996]"
B2,0,N2,8,14.42321667602256,0.9704438289928162,7.865715588007548,"[1.5384107430391842, 1.5013206482459023, 1.1777209219073135, 0.8476019504160834, 0.8288954668227126, 0.7451640018810738, 0.14198299190292135, 0.10666211134418223, 4.735218104827401e-18]"
B2,0,N3,9,10.362092658948136,0.946629564961191,5.281177405736871,"[1.5989914922224355, 1.573230646518243, 1.1187590631064965, 1.023803670796951, 0.9398444221724662, 0.666717322870634, 0.5392588381907981, 0.1610715378799152, 0.15431163808804915]"
B2,1,N2,8,14.644857166771143,0.9704556173830075,7.138613317228311,"[1.5626804251192612, 1.476717768801024, 1.1800382666829832, 0.8572421702466069, 0.8175241311866993, 0.7417059020796163, 0.14184762944510662, 0.10670506426412601, 6.119860244289385e-18]"
B2,1,N3,9,25.660659483482664,0.9941591979603914,8.084271952828985,"[1.6636749497275827, 1.558357884760306, 1.0868461097608875, 1.0084958585261519, 0.9356697201210202, 0.6457485500611482, 0.5513673580390823, 0.06877221268645732, 0.06483367860434228]"
B2,2,N2,8,15.061889480042597,0.9704665048746557,7.135787286286965,"[1.5985787679182286, 1.4379834801548315, 1.1792885053725133, 0.8757172973878263, 0.7992098865536212, 0.7409578589912013, 0.14187265246538933, 0.10613401260422127, 4.690681239910024e-17]"
B2,2,N3,9,11.227460508713179,0.9465903958834467,5.236012876742486,"[1.6882077420575732, 1.5000155997870854, 1.1571796633572031, 1.0105329709208768, 0.8975418943915994, 0.6666482728978697, 0.4892757621972988, 0.16632689331472053, 0.15036416656708998]"
