dataset,held_block,tau_m,train_MSE,held_retrieval_MSE,inner_huber,tau_p,target_duration,direction_penalty,delay
A2,3,0.5,87371.32041120944,145655.45312985007,0.44518806795749905,0.1,0.1,10.0,0.05
A2,3,1.0,86828.1576522836,141849.44664057804,0.4446098172465371,0.1,0.1,10.0,0.05
A2,3,2.0,86497.2991914839,139621.02664907955,0.4442700330410174,0.1,0.1,10.0,0.05
A2,3,4.0,86358.92256007213,138837.7094971522,0.443831353605409,0.1,0.1,10.0,0.05
A2,3,8.0,86310.88530665469,138640.75653885413,0.4434612850283217,0.1,0.1,10.0,0.05
A2,4,0.25,87224.40931394302,93058.40716681044,0.44844676246509,0.6,0.2,10.0,0.05
A2,4,0.5,87742.75047396659,93934.70144980426,0.4451657079774222,0.1,0.1,10.0,0.05
A2,4,1.0,87140.43116558847,92325.22346269812,0.44466159677128275,0.1,0.1,10.0,0.05
A2,4,2.0,86865.682351213,91339.02371883868,0.44472467374477664,0.1,0.1,10.0,0.05
A2,4,4.0,86826.19132109343,90966.90569675487,0.44474967080240935,0.1,0.1,10.0,0.05
A2,4,8.0,86858.47416733555,90868.29668186113,0.44474067319517646,0.1,0.1,10.0,0.05
B1,0,0.25,79766.8565427061,82425.0344612028,0.4736648033729522,0.6,0.4,10.0,0.05
B1,0,0.5,79739.49483394837,82536.37744247052,0.47349076513234584,0.6,0.4,10.0,0.05
B1,0,1.0,79713.86439649262,82785.00615786978,0.4732944184132624,0.6,0.4,10.0,0.05
B1,0,2.0,79709.12147375506,82972.5529846578,0.473196391182656,0.6,0.4,10.0,0.05
B1,0,4.0,79715.15929917431,83063.54425603959,0.47318728734639265,0.6,0.4,10.0,0.05
B1,0,8.0,80175.29909203328,81999.85011532801,0.4743255790094455,0.6,0.4,1.0,0.05
B1,1,0.25,66993.1352372826,75089.44387283466,0.47941699093692297,0.6,0.4,10.0,0.05
B1,1,0.5,66971.28091646265,75068.00233262496,0.4793840287133226,0.6,0.4,10.0,0.05
B1,1,1.0,66941.05184866149,75015.34830740564,0.47919796670980486,0.6,0.4,10.0,0.05
B1,1,2.0,66922.71003681757,74964.30545603792,0.4789270252825107,0.6,0.4,10.0,0.05
B1,1,4.0,66908.99652168418,74928.7027192632,0.4786784042424981,0.6,0.4,10.0,0.05
B1,1,8.0,66894.67847987545,74908.57977117038,0.47849429966984847,0.6,0.4,10.0,0.05
B1,2,0.25,60200.39500520238,233136.98021278507,0.46592765258792523,0.6,0.4,10.0,0.05
B1,2,0.5,60193.680084418294,233133.82250076273,0.46590985793309075,0.6,0.4,10.0,0.05
