dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,38,1,-1,85076,85128,0.203125,87204,223845,85643,2.21484375,platform_onset_hypothesis,85922,-1.0,,,85922,3.3046875,1.08984375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.2046875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,85012,85897,,,,
A1,39,1,-1,87204,87256,0.203125,89353,223845,87772,2.21875,platform_onset_hypothesis,88067,-1.0,,,88067,3.37109375,1.15234375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.27109375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,87140,88042,,,,
A1,40,1,-1,89353,89405,0.203125,91453,223845,89920,2.21484375,platform_onset_hypothesis,90170,-1.0,,,90170,3.19140625,0.9765625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.09140625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,89289,90145,,,,
A1,41,2,-1,91453,91505,0.203125,93554,223845,92021,2.21875,platform_onset_hypothesis,92268,-1.0,,,92268,3.18359375,0.96484375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.08359375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,91389,92243,,,,
A1,42,2,1,93554,93606,0.203125,95698,223845,94122,2.21875,platform_onset_hypothesis,94412,1.0,,,94412,3.3515625,1.1328125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.2515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,93490,94387,,,,
A1,43,2,-1,95698,95751,0.20703125,97879,223845,96266,2.21875,platform_onset_hypothesis,96596,-1.0,,,96596,3.5078125,1.2890625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.4078125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,block_boundary_24s_buffer,95634,96571,,,,
A1,44,2,1,97879,97931,0.203125,99995,223845,98446,2.21484375,platform_onset_hypothesis,98713,1.0,,,98713,3.2578125,1.04296875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.1578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,97815,98688,0.0,164.22164739384274,10.202633950214079,"[[-1.467001245884898, 29.92277819991771, 33.55107106665046], [6.0264962874903425, -46.474245047963976, -30.755680939255363], [-2.1025970896246515, 2.9848685097671703, 8.731938224224567]]"
A1,45,2,-1,99995,100048,0.20703125,102096,223845,100563,2.21875,platform_onset_hypothesis,100811,-1.0,,,100811,3.1875,0.96875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.0875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,99931,100786,0.0,469.9150942354724,8.467832026832546,"[[4.708453964552447, -448.5738389541136, -176.67799917323072], [-9.96972448667231, -94.0026206699532, 12.862631120273292], [-0.4118537546996708, 5.899013540281779, 3.077970884300873]]"
A1,46,2,-1,102096,102148,0.203125,104233,223845,102663,2.21484375,platform_onset_hypothesis,102949,-1.0,,,102949,3.33203125,1.1171875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.23203125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,quality,102032,102924,0.11352657004830918,1012.652179088439,15.495293902744379,
A1,47,2,-1,104233,104285,0.203125,106421,223845,104800,2.21484375,platform_onset_hypothesis,105138,-1.0,,,105138,3.53515625,1.3203125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.43515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,90403,133255,causal,retained,104169,105113,0.0,264.7895759860021,11.756649675719899,"[[38.418217676076395, -28.926020154730622, 5.274610263674276], [33.94466117558612, -89.05459558419786, -107.33346484063247], [-7.4561656121603095, 46.11616997859718, 45.601957304949785]]"
