dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,90,4,N2,maintenance,362,2856.206504111215,0.05,frozen_V2_new_scoring_window
A1,90,4,N2,retrieval,247,2026.5327747822873,0.05,frozen_V2_new_scoring_window
A1,91,4,N2,encoding,205,7179.597402387916,0.05,frozen_V2_new_scoring_window
A1,91,4,N2,maintenance,363,87965.33092145785,0.05,frozen_V2_new_scoring_window
A1,91,4,N2,retrieval,340,295696.4855049402,0.05,frozen_V2_new_scoring_window
A1,92,4,N2,encoding,205,40088.60118072853,0.05,frozen_V2_new_scoring_window
A1,92,4,N2,maintenance,362,174939.41012206883,0.05,frozen_V2_new_scoring_window
A1,92,4,N2,retrieval,240,187582.51791976503,0.05,frozen_V2_new_scoring_window
A1,93,4,N2,encoding,205,1299.1463378056312,0.05,frozen_V2_new_scoring_window
A1,93,4,N2,maintenance,363,1431.8876762798225,0.05,frozen_V2_new_scoring_window
A1,93,4,N2,retrieval,321,2527.7758672266086,0.05,frozen_V2_new_scoring_window
A1,94,4,N2,encoding,205,385.2543449262295,0.05,frozen_V2_new_scoring_window
A1,94,4,N2,maintenance,362,806.0800549840895,0.05,frozen_V2_new_scoring_window
A1,94,4,N2,retrieval,309,519.2688789317796,0.05,frozen_V2_new_scoring_window
A1,95,4,N2,encoding,205,2819.849136272698,0.05,frozen_V2_new_scoring_window
A1,95,4,N2,maintenance,363,8732.170970957426,0.05,frozen_V2_new_scoring_window
A1,95,4,N2,retrieval,310,869.8437964572281,0.05,frozen_V2_new_scoring_window
A1,96,4,N2,encoding,205,869.1706689717195,0.05,frozen_V2_new_scoring_window
A1,96,4,N2,maintenance,362,2260.9713365226717,0.05,frozen_V2_new_scoring_window
A1,96,4,N2,retrieval,234,2343.2298230769657,0.05,frozen_V2_new_scoring_window
A1,97,4,N2,encoding,205,67238.11007420975,0.05,frozen_V2_new_scoring_window
A1,97,4,N2,maintenance,363,172464.79643218144,0.05,frozen_V2_new_scoring_window
A1,97,4,N2,retrieval,220,13725.638280286752,0.05,frozen_V2_new_scoring_window
