dataset,trial_id,block,model,stage,n_samples,MSE,identity
A1,93,4,N2,encoding,205,1297.5444607710986,new_nested_refit
A1,93,4,N2,maintenance,363,1437.1680127497311,new_nested_refit
A1,93,4,N2,retrieval,308,2540.251285522121,new_nested_refit
A1,94,4,N2,encoding,205,394.2034935885921,new_nested_refit
A1,94,4,N2,maintenance,362,799.8626784940358,new_nested_refit
A1,94,4,N2,retrieval,296,495.48382502102413,new_nested_refit
A1,95,4,N2,encoding,205,2855.2527666300657,new_nested_refit
A1,95,4,N2,maintenance,363,8703.064466626365,new_nested_refit
A1,95,4,N2,retrieval,297,880.2835563476694,new_nested_refit
A1,96,4,N2,encoding,205,862.6304764265043,new_nested_refit
A1,96,4,N2,maintenance,362,2279.864577085409,new_nested_refit
A1,96,4,N2,retrieval,221,2276.479470532751,new_nested_refit
A1,97,4,N2,encoding,205,67130.94941749074,new_nested_refit
A1,97,4,N2,maintenance,363,172721.56985243407,new_nested_refit
A1,97,4,N2,retrieval,207,13533.318766250088,new_nested_refit
A1,98,4,N2,encoding,205,64611.438739550744,new_nested_refit
A1,98,4,N2,maintenance,362,623471.8253174977,new_nested_refit
A1,98,4,N2,retrieval,275,1071042.282036289,new_nested_refit
A1,99,4,N2,encoding,205,2054.1481851933204,new_nested_refit
A1,99,4,N2,maintenance,363,11534.126308573994,new_nested_refit
A1,99,4,N2,retrieval,318,27218.590417248804,new_nested_refit
A1,2,0,N3,encoding,205,61864.926715190864,new_nested_refit
A1,2,0,N3,maintenance,362,307406.7541121282,new_nested_refit
A1,2,0,N3,retrieval,277,427000.8607540198,new_nested_refit
A1,5,0,N3,encoding,205,20424.34437389655,new_nested_refit
A1,5,0,N3,maintenance,363,34294.26120132384,new_nested_refit
A1,5,0,N3,retrieval,284,24554.283956997588,new_nested_refit
A1,6,0,N3,encoding,205,39742.915399627636,new_nested_refit
A1,6,0,N3,maintenance,362,33611.99424124066,new_nested_refit
A1,6,0,N3,retrieval,278,145455.2214390466,new_nested_refit
A1,7,0,N3,encoding,205,3781.2389152226433,new_nested_refit
A1,7,0,N3,maintenance,363,18727.151102363125,new_nested_refit
A1,7,0,N3,retrieval,345,4706.184099181556,new_nested_refit
A1,8,0,N3,encoding,205,288.22244801030826,new_nested_refit
A1,8,0,N3,maintenance,362,23040.975710202423,new_nested_refit
A1,8,0,N3,retrieval,240,265817.82740866824,new_nested_refit
A1,9,0,N3,encoding,205,852.3725230400074,new_nested_refit
A1,9,0,N3,maintenance,362,2228.1003530183693,new_nested_refit
A1,9,0,N3,retrieval,275,46748.60659516966,new_nested_refit
A1,10,0,N3,encoding,205,357.31917688949034,new_nested_refit
A1,10,0,N3,maintenance,362,3509.892112633024,new_nested_refit
A1,10,0,N3,retrieval,371,21393.526517508184,new_nested_refit
A1,11,0,N3,encoding,205,54095.52327191595,new_nested_refit
A1,11,0,N3,maintenance,362,73286.00438480813,new_nested_refit
A1,11,0,N3,retrieval,276,24019.857845386505,new_nested_refit
A1,12,0,N3,encoding,205,2198.2883667197693,new_nested_refit
A1,12,0,N3,maintenance,363,20021.674857495007,new_nested_refit
A1,12,0,N3,retrieval,249,36957.73190543557,new_nested_refit
A1,13,0,N3,encoding,205,318.9546542362963,new_nested_refit
A1,13,0,N3,maintenance,362,3791.529301058894,new_nested_refit
A1,13,0,N3,retrieval,267,10961.396952289711,new_nested_refit
A1,16,0,N3,encoding,205,12734.667696050743,new_nested_refit
A1,16,0,N3,maintenance,362,71888.73894796535,new_nested_refit
A1,16,0,N3,retrieval,233,77415.29032049229,new_nested_refit
A1,17,0,N3,encoding,205,22355.80248688062,new_nested_refit
A1,17,0,N3,maintenance,363,47361.07866065156,new_nested_refit
A1,17,0,N3,retrieval,334,12402.964101979016,new_nested_refit
A1,24,1,N3,encoding,205,746.850637665498,new_nested_refit
A1,24,1,N3,maintenance,362,2337.406613153878,new_nested_refit
A1,24,1,N3,retrieval,257,2716.401403949156,new_nested_refit
A1,25,1,N3,encoding,205,2304.6998175734,new_nested_refit
A1,25,1,N3,maintenance,362,94362.25531623198,new_nested_refit
A1,25,1,N3,retrieval,304,193518.41488547434,new_nested_refit
A1,26,1,N3,encoding,205,4428.322414055201,new_nested_refit
A1,26,1,N3,maintenance,362,23348.826502186912,new_nested_refit
A1,26,1,N3,retrieval,219,42841.40193805846,new_nested_refit
A1,28,1,N3,encoding,205,13549.162848715247,new_nested_refit
A1,28,1,N3,maintenance,362,35896.2028271609,new_nested_refit
A1,28,1,N3,retrieval,214,9607.470718260389,new_nested_refit
A1,29,1,N3,encoding,205,3610.693927077235,new_nested_refit
A1,29,1,N3,maintenance,363,12099.76702622859,new_nested_refit
A1,29,1,N3,retrieval,319,78728.87344058139,new_nested_refit
A1,30,1,N3,encoding,205,257.66838253214814,new_nested_refit
A1,30,1,N3,maintenance,362,1392.6338518070143,new_nested_refit
A1,30,1,N3,retrieval,240,3178.476599759862,new_nested_refit
A1,31,1,N3,encoding,205,25357.185526465528,new_nested_refit
A1,31,1,N3,maintenance,363,131880.0034541485,new_nested_refit
A1,31,1,N3,retrieval,226,138714.8328231199,new_nested_refit
A1,32,1,N3,encoding,205,780.1562165636133,new_nested_refit
A1,32,1,N3,maintenance,362,5489.354957992219,new_nested_refit
A1,32,1,N3,retrieval,313,10911.776578746378,new_nested_refit
A1,33,1,N3,encoding,205,394.46452548688035,new_nested_refit
A1,33,1,N3,maintenance,363,1620.0553825793527,new_nested_refit
A1,33,1,N3,retrieval,276,2490.9977655846264,new_nested_refit
A1,34,1,N3,encoding,205,654.741542935603,new_nested_refit
A1,34,1,N3,maintenance,362,4364.469027340226,new_nested_refit
A1,34,1,N3,retrieval,377,1659.0184485395653,new_nested_refit
A1,35,1,N3,encoding,205,240.20870072701013,new_nested_refit
A1,35,1,N3,maintenance,362,277.0651260181224,new_nested_refit
A1,35,1,N3,retrieval,243,1547.010151010429,new_nested_refit
A1,37,1,N3,encoding,205,804.3393214362374,new_nested_refit
A1,37,1,N3,maintenance,363,3365.1944969756923,new_nested_refit
A1,37,1,N3,retrieval,266,5148.38253699002,new_nested_refit
A1,44,2,N3,encoding,205,446.0830542064165,new_nested_refit
A1,44,2,N3,maintenance,362,2462.5353425929884,new_nested_refit
A1,44,2,N3,retrieval,242,461.2322820454684,new_nested_refit
A1,45,2,N3,encoding,205,10647.973826155458,new_nested_refit
A1,45,2,N3,maintenance,363,17822.351711593426,new_nested_refit
A1,45,2,N3,retrieval,223,12881.82512791213,new_nested_refit
A1,47,2,N3,encoding,205,240.0885661533392,new_nested_refit
A1,47,2,N3,maintenance,362,971.3483945688616,new_nested_refit
A1,47,2,N3,retrieval,313,3651.6099107710825,new_nested_refit
A1,48,2,N3,encoding,205,377.24357334316255,new_nested_refit
A1,48,2,N3,maintenance,362,4141.985724076267,new_nested_refit
A1,48,2,N3,retrieval,298,4605.165218627537,new_nested_refit
A1,49,2,N3,encoding,205,3047.9915751480166,new_nested_refit
A1,49,2,N3,maintenance,363,1457.6891075103156,new_nested_refit
A1,49,2,N3,retrieval,255,40266.20447227891,new_nested_refit
A1,50,2,N3,encoding,205,2428.0217527115556,new_nested_refit
A1,50,2,N3,maintenance,362,21434.72149888605,new_nested_refit
A1,50,2,N3,retrieval,235,3226.2845907734886,new_nested_refit
A1,51,2,N3,encoding,205,33389.87722744454,new_nested_refit
A1,51,2,N3,maintenance,362,371603.059445175,new_nested_refit
A1,51,2,N3,retrieval,273,130385.55638718896,new_nested_refit
A1,52,2,N3,encoding,205,26675.96167157029,new_nested_refit
A1,52,2,N3,maintenance,363,617305.7647154887,new_nested_refit
A1,52,2,N3,retrieval,289,804618.6884970318,new_nested_refit
A1,53,2,N3,encoding,205,47682.08833636361,new_nested_refit
A1,53,2,N3,maintenance,362,300032.88072221016,new_nested_refit
A1,53,2,N3,retrieval,239,265614.9904204065,new_nested_refit
A1,54,2,N3,encoding,205,30491.671137609592,new_nested_refit
A1,54,2,N3,maintenance,363,185074.47466864204,new_nested_refit
A1,54,2,N3,retrieval,273,276977.605587823,new_nested_refit
A1,55,2,N3,encoding,205,988.8743666609645,new_nested_refit
A1,55,2,N3,maintenance,362,3552.341865731096,new_nested_refit
A1,55,2,N3,retrieval,250,2875.2889139575213,new_nested_refit
A1,56,2,N3,encoding,205,1957.7435155068001,new_nested_refit
A1,56,2,N3,maintenance,363,10541.337365462867,new_nested_refit
A1,56,2,N3,retrieval,282,22458.913392586648,new_nested_refit
A1,57,2,N3,encoding,205,1301.8981201968395,new_nested_refit
