cue,channel,metric,stage,low,high,n_trials,n_boot
1,F4,proxy_MAE,V4,2.1831806167142043,26.026239683554408,48,400
1,F4,proxy_MAE,V6,2.425465911794983,46.59090325604413,48,400
1,F4,proxy_MAE,V6减预处理,-4.783843242933136,0.45628194392192406,48,400
1,F4,proxy_MAE,V6减V3,-5.15265095677193,40.30119624555569,48,400
1,F4,proxy_MAE,V6减V4,-4.8354437259537075,27.10844504328771,48,400
1,F4,positive_mean,预处理,0.0,33.60477669155183,48,400
1,F4,positive_mean,V3,0.0,6.137337301419124,48,400
1,F4,positive_mean,V4,0.0,18.57235300230648,48,400
1,F4,positive_mean,V6,0.0,31.33184108681068,48,400
1,F4,positive_mean,V6减预处理,-2.769072424590527,0.4461668481851988,48,400
1,F4,positive_mean,V6减V3,-4.864467058167825,27.92208146308567,48,400
1,F4,positive_mean,V6减V4,-4.6237136841574085,15.15644375731491,48,400
