dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,past,57,2,-1,B0,retrieval,0,293,25058.362650931358,69111.27766510687,248197.34454900763,0.19983128592910523
B2,past,57,2,-1,B0,retrieval,1,293,118844.10971995474,11308.016223069411,24383.59610347781,0.6617022176979679
B2,past,57,2,-1,B0,retrieval,2,293,43799.99068793714,63948.777351333025,147489.85703577092,0.22658531203577323
B2,past,44,2,1,N0,encoding,0,205,10809.42032961532,1110.4973938351113,972.575240720831,0.0862011774155147
B2,past,44,2,1,N0,encoding,1,205,13705.411530607258,765.1186790580754,946.2772127288064,0.07630921907392936
B2,past,44,2,1,N0,encoding,2,205,4009.678606526659,3188.332646648719,4075.140978899438,0.020742796150256374
B2,past,44,2,1,N0,maintenance,0,363,102120.21704466152,20941.545339215434,4830.288775382112,0.8143714166669851
B2,past,44,2,1,N0,maintenance,1,363,38685.85389284599,2605.129185243308,17200.940330585723,0.21539574300111564
B2,past,44,2,1,N0,maintenance,2,363,24627.921626996715,7858.977932258982,7970.18657179019,0.1274047144531125
B2,past,44,2,1,N0,retrieval,0,358,71690.95434933106,2300.1618690824985,46649.797213828395,0.5717091653863161
B2,past,44,2,1,N0,retrieval,1,358,2981.761720658383,28784.116756615535,124775.02187824428,0.016601902676168345
B2,past,44,2,1,N0,retrieval,2,358,25853.625188546812,56740.52668447565,152321.25047666323,0.13374550173628594
B2,past,45,2,-1,N0,encoding,0,205,7149.476596353141,1106.4475069322773,1557.3762211297408,0.05701446346959104
B2,past,45,2,-1,N0,encoding,1,205,4826.914992034944,69634.70976793862,78397.95647359174,0.02687537785755991
B2,past,45,2,-1,N0,encoding,2,205,23959.88021859401,106647.68845726571,77375.23782715248,0.12394881483764908
B2,past,45,2,-1,N0,maintenance,0,363,105700.7662009337,6263.723174575795,19639.814623462615,0.8429249878718319
B2,past,45,2,-1,N0,maintenance,1,363,376651.4963044952,15075.567466047329,30113.66298545901,2.097126487726088
B2,past,45,2,-1,N0,maintenance,2,363,122715.28309581497,39602.075849403176,55118.82507268734,0.6348284617211418
B2,past,45,2,-1,N0,retrieval,0,301,203878.85084056473,12700.982635291508,20039.711424176265,1.625859339046002
B2,past,45,2,-1,N0,retrieval,1,301,389086.7077697667,9362.880919020256,68202.56845949155,2.166363465675629
B2,past,45,2,-1,N0,retrieval,2,301,297856.2268861968,7342.825632683811,6063.627241530506,1.5408643940509832
B2,past,46,2,-1,N0,encoding,0,205,7002.108111005058,3793.6641514158196,3032.754443852211,0.05583925364671628
B2,past,46,2,-1,N0,encoding,1,205,3647.1983669542274,25875.155064214337,21051.782394399008,0.020306931942061585
B2,past,46,2,-1,N0,encoding,2,205,3138.8397098280093,29309.93068175543,48476.077608906475,0.01623778827143745
B2,past,46,2,-1,N0,maintenance,0,362,5418.653209065787,125232.020210253,42536.580601849775,0.04321177939099079
B2,past,46,2,-1,N0,maintenance,1,362,8446.460971534189,125371.94600623036,50414.90685431714,0.04702834637521012
B2,past,46,2,-1,N0,maintenance,2,362,31907.033694234487,267397.7732168865,213035.32035557102,0.16506088408222325
B2,past,46,2,-1,N0,retrieval,0,280,4413.058250144826,143953.10124522663,16483.829982807696,0.03519252703343371
B2,past,46,2,-1,N0,retrieval,1,280,28389.094540583686,56810.31355440294,3648.804024090066,0.15806527441879056
B2,past,46,2,-1,N0,retrieval,2,280,2402.5771313126515,217078.93640602965,96450.35481979903,0.012428968144470837
B2,past,47,2,1,N0,encoding,0,205,525.1230143472976,282.0246597107924,512.2753730329667,0.004187664161851701
B2,past,47,2,1,N0,encoding,1,205,1043.456531997848,227.86391321413132,593.6788918689689,0.005809774694946234
B2,past,47,2,1,N0,encoding,2,205,445.87981067021815,390.5907759530528,1739.164574152715,0.0023066172947609153
B2,past,47,2,1,N0,maintenance,0,363,7295.874985219236,2416.076885676275,42330.76014627881,0.05818193712749077
B2,past,47,2,1,N0,maintenance,1,363,6936.841870371934,1399.638546987177,25335.761523245874,0.03862306394706003
B2,past,47,2,1,N0,maintenance,2,363,8240.256521637259,1800.5236320203066,8926.220150929059,0.04262834457004149
B2,past,47,2,1,N0,retrieval,0,328,19010.27164184794,5493.753826440004,106035.51900371347,0.1515999700766914
B2,past,47,2,1,N0,retrieval,1,328,17000.14980659385,1998.6472626805235,52838.67185128055,0.09465371783867252
B2,past,47,2,1,N0,retrieval,2,328,22856.53805982694,2375.15573977977,41154.60341607079,0.11824102532902454
B2,past,48,2,-1,N0,encoding,0,205,3675.872882205893,5052.547606076484,5536.41865209029,0.029313743088311014
B2,past,48,2,-1,N0,encoding,1,205,8984.724077859528,25222.408611690058,29381.226103033558,0.050025296682631795
B2,past,48,2,-1,N0,encoding,2,205,16991.04743064148,25744.363000725127,17747.215079136167,0.08789777631041416
B2,past,48,2,-1,N0,maintenance,0,362,17295.17371639582,52269.94423921889,148116.9545498389,0.13792269081021472
B2,past,48,2,-1,N0,maintenance,1,362,59937.20760554917,159385.55594783832,282186.76906127634,0.3337193849040726
B2,past,48,2,-1,N0,maintenance,2,362,113977.58598783056,184288.32648772374,236554.45933722006,0.5896267665931112
B2,past,48,2,-1,N0,retrieval,0,373,12055.559253135447,53448.01381398154,228277.31177658334,0.09613867999707634
B2,past,48,2,-1,N0,retrieval,1,373,9213.722146330543,49872.270066446035,160649.2131980914,0.05130031595041785
B2,past,48,2,-1,N0,retrieval,2,373,28363.522263736064,79589.44957471361,186736.66740526323,0.14672965545474909
B2,past,49,2,1,N0,encoding,0,205,38164.64495519321,732.3997642433129,957.0185933433092,0.3043490983294768
B2,past,49,2,1,N0,encoding,1,205,6136.452290506148,145571.74570468432,134393.23321847615,0.03416664148516825
B2,past,49,2,1,N0,encoding,2,205,30170.870889779915,1913.9220533605583,3134.818420606886,0.15607939836467982
B2,past,49,2,1,N0,maintenance,0,362,15406.68641880993,280396.8588434917,146007.6488436208,0.12286269465666146
B2,past,49,2,1,N0,maintenance,1,362,175119.2355016219,1184725.8735071525,917786.0774544966,0.9750318023000804
B2,past,49,2,1,N0,maintenance,2,362,60173.2087228291,398827.2954923789,333267.14178740425,0.3112869445977062
B2,past,49,2,1,N0,retrieval,0,313,8160.589104260437,455468.5538661383,178809.93697384687,0.06507771626422675
B2,past,49,2,1,N0,retrieval,1,313,87361.23689967151,1185092.777949336,815350.3142076347,0.4864113529359376
B2,past,49,2,1,N0,retrieval,2,313,48312.346961211166,505623.2868270016,308644.96903065837,0.24992855111271572
B2,past,50,2,-1,N0,encoding,0,205,63343.710392078094,113996.38905198227,118864.71618959987,0.5051429448723107
B2,past,50,2,-1,N0,encoding,1,205,125374.03245145777,325902.9582474709,344197.7863837381,0.6980596304718419
B2,past,50,2,-1,N0,encoding,2,205,2255283.0073885513,1337530.4530050575,1449848.5220213148,11.666988872188256
B2,past,50,2,-1,N0,maintenance,0,363,34816.446807624554,40354.21529651903,99914.07757697665,0.2776484415190358
B2,past,50,2,-1,N0,maintenance,1,363,256597.2087519294,105331.38468781847,93352.20108632477,1.4286862216929133
B2,past,50,2,-1,N0,maintenance,2,363,2096050.6670366563,884589.2372666802,783586.5854942315,10.84325103667412
