dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,stimulus,16,0,-1,N0,retrieval,1,233,151241.78938349057,151475.91253555796,106392.13479128883,1.9905670817603567
A1,stimulus,16,0,-1,N0,retrieval,2,233,97879.66595750625,98108.57561622423,60719.07958923841,1.221768283316628
A1,stimulus,17,0,1,N0,encoding,0,205,216.6762404994607,216.24214836989506,264.81135841487145,0.06087472376461948
A1,stimulus,17,0,1,N0,encoding,1,205,20312.523168974687,20537.77945394752,16037.115515688376,0.2673430414469115
A1,stimulus,17,0,1,N0,encoding,2,205,46044.24572155111,46442.384811684344,37830.526802789784,0.5747404070243901
A1,stimulus,17,0,1,N0,maintenance,0,363,771.8758666560251,772.6835123741798,1156.08945906314,0.21685686467030385
A1,stimulus,17,0,1,N0,maintenance,1,363,40248.69061090233,39910.87285585999,31462.570113128964,0.5297326812953252
A1,stimulus,17,0,1,N0,maintenance,2,363,100977.41472514633,100355.63733570637,84268.56526205222,1.2604354687525583
A1,stimulus,17,0,1,N0,retrieval,0,334,184.96732129725805,184.21808174156567,245.91228712722284,0.0519661711108571
A1,stimulus,17,0,1,N0,retrieval,1,334,10062.6992319691,10110.172367667154,2053.226078998309,0.13244010089052424
A1,stimulus,17,0,1,N0,retrieval,2,334,27643.330752074773,27741.74093966745,11315.902717559966,0.34505373948434576
A1,stimulus,2,0,1,N1,encoding,0,205,424.0473697353772,422.81811291075206,511.4531195924576,0.11913519653216799
A1,stimulus,2,0,1,N1,encoding,1,205,71720.6142945861,72675.77546396322,64021.56250278663,0.9439500450265003
A1,stimulus,2,0,1,N1,encoding,2,205,111516.57955711604,112730.07936829781,99792.82370737057,1.391989016656337
A1,stimulus,2,0,1,N1,maintenance,0,362,1004.5738848948607,1006.6197004443605,1705.0775590878281,0.28223287243290296
A1,stimulus,2,0,1,N1,maintenance,1,362,121333.53305096159,120172.68903493244,104924.17946293092,1.5969299079933443
A1,stimulus,2,0,1,N1,maintenance,2,362,802077.0322605817,799035.9333558244,752711.2323186898,10.011806530052377
A1,stimulus,2,0,1,N1,retrieval,0,277,541.2377974602606,544.2293924532466,664.8440393473353,0.15205959516104134
A1,stimulus,2,0,1,N1,retrieval,1,277,89336.88043680147,89719.0375052592,55930.38000276752,1.17580633044315
A1,stimulus,2,0,1,N1,retrieval,2,277,1194975.1469118493,1196629.794008048,1054871.7142536282,14.916098451770015
A1,stimulus,5,0,1,N1,encoding,0,205,110.38861559100464,111.03327415518118,80.5767437958299,0.031013444138458263
A1,stimulus,5,0,1,N1,encoding,1,205,18473.007899260712,17945.32660479321,22909.492657979023,0.24313228225651629
A1,stimulus,5,0,1,N1,encoding,2,205,43912.369367237334,43044.30590487275,52348.69422152261,0.5481295794518479
A1,stimulus,5,0,1,N1,maintenance,0,363,270.87839772266295,270.94345967771807,454.0200394765904,0.07610270326437049
A1,stimulus,5,0,1,N1,maintenance,1,363,6928.28327373243,7169.044879998665,9894.751035870813,0.09118652109327721
A1,stimulus,5,0,1,N1,maintenance,2,363,95043.57519207791,96187.64712850118,113452.04596099514,1.186367204738041
A1,stimulus,5,0,1,N1,retrieval,0,284,728.553959145628,730.8266277952056,870.0645656240454,0.20468566792730716
A1,stimulus,5,0,1,N1,retrieval,1,284,29110.279959881325,29162.178504771855,12744.390103284895,0.38313461686200656
A1,stimulus,5,0,1,N1,retrieval,2,284,43247.000632036565,42669.510271403815,71054.13902798208,0.5398242137824171
A1,stimulus,6,0,-1,N1,encoding,0,205,62.555527354105315,61.70509638837528,68.89019765753893,0.017574840872507828
A1,stimulus,6,0,-1,N1,encoding,1,205,41504.95171844663,42106.31207949606,49614.3106913724,0.5462669474989122
A1,stimulus,6,0,-1,N1,encoding,2,205,81033.04402930594,81576.55387173094,94612.50060025198,1.0114828460753789
A1,stimulus,6,0,-1,N1,maintenance,0,362,945.2619187113189,936.4228198451406,1530.1436393708943,0.2655693030953661
A1,stimulus,6,0,-1,N1,maintenance,1,362,57202.102712442014,57376.304593775836,51285.07932223722,0.7528648208343087
A1,stimulus,6,0,-1,N1,maintenance,2,362,44412.216131163485,44389.12989779392,41608.480335126515,0.554368841884032
