dataset,setting,held_block,requested_model,model,tau_m,tau_p,target_duration,direction_penalty,delay,lambda_ridge,edf,last_IRLS_change
B1,past,2,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,9.355413266676592,1.0018336487324642e-05
B1,past,2,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,10.77709010383721,1.051475594220086e-05
B1,past,2,N2,N2,1.0,0.1,0.1,1.0,0.05,0.1,12.940754102721064,1.3617697898399284e-05
B1,past,2,N3,N3,1.0,0.6,0.2,10.0,0.05,0.1,12.08213672304626,1.2838662738309803e-05
B1,past,3,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.965988884674636,1.9389340620984408e-05
B1,past,3,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,9.27907461960696,2.3609002123017864e-05
B1,past,3,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,10.701308815686428,2.458396312175759e-05
B1,past,3,N2,N2,0.5,0.1,0.1,10.0,0.05,0.1,11.590904873647965,2.287617170693146e-05
B1,past,3,N3,N3,1.0,0.1,0.4,10.0,0.05,0.1,12.473498926551036,1.4842690914743106e-05
B1,past,4,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,7.309180968023031,1.957622284513849e-05
B1,past,4,N0,N0,1.0,0.3,0.1,1.0,0.05,0.1,10.03221244723229,2.0626549788724247e-05
B1,past,4,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,11.041949139074369,2.134408129279841e-05
B1,past,4,N2,N2,0.5,0.1,0.1,1.0,0.05,0.1,12.925019997701447,2.104868042632213e-05
B1,past,4,N3,N3,1.0,0.1,0.2,10.0,0.05,0.1,12.802756408099,2.1884096374810702e-05
B1,stimulus,0,N0,N0,1.0,0.3,0.4,10.0,0.05,10.0,0.19171893618625607,8.048010113463101e-07
B1,stimulus,0,N1,N1,1.0,0.6,0.2,10.0,0.05,1.0,2.0544592577004073,2.430096391527886e-07
B1,stimulus,0,N2,N2,4.0,0.6,0.4,10.0,0.05,1.0,2.32836329606695,3.276123791085212e-07
B1,stimulus,0,N3,N3,1.0,0.6,0.1,1.0,0.05,10.0,0.7617189644764648,1.002239408609204e-07
B1,stimulus,0,N2_no_projection,N2_no_projection,4.0,0.6,0.4,10.0,0.05,1.0,2.0259469672414,2.7990119011672785e-07
B1,stimulus,0,N2_no_retrieval,N2_no_retrieval,2.0,0.6,0.4,10.0,0.05,1.0,2.2990328341698985,3.2215130429789516e-07
B1,stimulus,0,N2_fixed_target,N2,4.0,0.6,0.2,10.0,0.05,1.0,2.3649552480653995,2.93061381086146e-07
B1,stimulus,0,N2_equal_penalty,N2,2.0,0.6,0.4,1.0,0.05,10.0,0.686422351692513,7.581333124077796e-08
B1,stimulus,1,N0,N0,1.0,0.3,0.4,10.0,0.05,10.0,0.19170785478958452,9.961844474209482e-07
B1,stimulus,1,N1,N1,1.0,0.6,0.4,10.0,0.05,1.0,2.023989775234199,5.618139190307486e-07
B1,stimulus,1,N2,N2,4.0,0.6,0.4,10.0,0.05,1.0,2.328959763190557,6.469326659912927e-07
B1,stimulus,1,N3,N3,1.0,0.6,0.4,10.0,0.05,0.1,5.0304187038699055,1.1378968556227664e-06
B1,stimulus,1,N2_no_projection,N2_no_projection,2.0,0.6,0.4,10.0,0.05,1.0,2.0273369527363263,5.515711157793451e-07
B1,stimulus,1,N2_no_retrieval,N2_no_retrieval,4.0,0.6,0.4,10.0,0.05,1.0,2.319972821362894,6.47967653292017e-07
B1,stimulus,1,N2_fixed_target,N2,4.0,0.6,0.2,10.0,0.05,1.0,2.3649470050620347,5.474686797200812e-07
B1,stimulus,1,N2_equal_penalty,N2,4.0,0.6,0.4,1.0,0.05,1.0,3.281967599045039,6.124750720447325e-07
B1,stimulus,2,N0,N0,1.0,0.3,0.1,10.0,0.05,10.0,0.1916832309660365,9.661251032652349e-08
B1,stimulus,2,N1,N1,1.0,0.6,0.4,10.0,0.05,10.0,0.37487414691082366,2.5587742370086503e-08
B1,stimulus,2,N2,N2,4.0,0.6,0.4,10.0,0.05,10.0,0.4607579422688103,4.1919421145495284e-08
B1,stimulus,2,N3,N3,1.0,0.6,0.1,10.0,0.05,10.0,0.4644501497814559,6.154718461617859e-08
B1,stimulus,2,N2_no_projection,N2_no_projection,2.0,0.6,0.4,10.0,0.05,10.0,0.37512962169060543,2.3591772013481678e-08
B1,stimulus,2,N2_no_retrieval,N2_no_retrieval,4.0,0.6,0.4,10.0,0.05,10.0,0.4600340090367039,4.436889880032966e-08
B1,stimulus,2,N2_fixed_target,N2,4.0,0.6,0.2,10.0,0.05,10.0,0.4626923501140303,3.488718995333165e-08
B1,stimulus,2,N2_equal_penalty,N2,0.5,0.6,0.4,1.0,0.05,10.0,0.6773035892630564,2.983215865651331e-08
B1,stimulus,3,N0,N0,1.0,0.3,0.4,10.0,0.05,1.0,1.0908109037776879,1.3642982526346215e-07
B1,stimulus,3,N1,N1,1.0,0.6,0.4,10.0,0.05,1.0,2.0256250756356167,2.991087041312457e-07
B1,stimulus,3,N2,N2,1.0,0.6,0.4,10.0,0.05,1.0,2.279006266468364,3.122944967556829e-07
B1,stimulus,3,N3,N3,1.0,0.6,0.2,10.0,0.05,1.0,2.3063687733408886,2.434118012914488e-07
B1,stimulus,3,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,1.0,2.026272359881848,2.9831115262723973e-07
B1,stimulus,3,N2_no_retrieval,N2_no_retrieval,1.0,0.6,0.4,10.0,0.05,1.0,2.274312797089733,3.130803263376447e-07
B1,stimulus,3,N2_fixed_target,N2,1.0,0.6,0.2,10.0,0.05,1.0,2.309100811714856,2.3430748262442957e-07
B1,stimulus,3,N2_equal_penalty,N2,0.5,0.6,0.4,1.0,0.05,1.0,3.0898452187892307,2.9821051853590186e-07
B1,stimulus,4,N0,N0,1.0,0.3,0.4,1.0,0.05,10.0,0.27272681498686363,2.1600641894733638e-08
B1,stimulus,4,N1,N1,1.0,0.6,0.4,1.0,0.05,10.0,0.5334874615968233,9.240112454626977e-08
B1,stimulus,4,N2,N2,4.0,0.6,0.4,10.0,0.05,10.0,0.460976738542907,1.3092168515364128e-07
B1,stimulus,4,N3,N3,1.0,0.6,0.1,10.0,0.05,10.0,0.4647253849461668,1.7868638104399925e-07
B1,stimulus,4,N2_no_projection,N2_no_projection,2.0,0.6,0.4,1.0,0.05,10.0,0.5335919506525555,8.767402548100559e-08
B1,stimulus,4,N2_no_retrieval,N2_no_retrieval,4.0,0.6,0.4,10.0,0.05,10.0,0.46025833220070583,1.3620410313692523e-07
B1,stimulus,4,N2_fixed_target,N2,4.0,0.6,0.2,10.0,0.05,10.0,0.46288192604105893,1.1346854762901704e-07
B1,stimulus,4,N2_equal_penalty,N2,0.5,0.6,0.4,1.0,0.05,10.0,0.6782609306755424,9.99129045702301e-08
B2,past,0,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.478944228293772,5.036766609345378e-07
B2,past,0,N0,N0,1.0,0.3,0.4,10.0,0.05,0.1,8.793835673575684,5.146658531574033e-07
B2,past,0,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,10.91952814154728,4.5044477203770583e-07
B2,past,0,N2,N2,2.0,0.1,0.4,10.0,0.05,0.1,11.299764217942194,5.249813192775843e-07
B2,past,0,N3,N3,1.0,0.1,0.4,10.0,0.05,0.1,12.03344338130711,9.514312445391138e-07
B2,past,1,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.669402741416521,3.189418570768987e-05
B2,past,1,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.98543881139944,3.2046854968645344e-05
B2,past,1,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,11.123861783106554,3.6765729332630115e-05
B2,past,1,N2,N2,2.0,0.1,0.1,10.0,0.05,0.1,11.56849535408828,3.342976903637773e-05
B2,past,1,N3,N3,1.0,0.1,0.4,10.0,0.05,0.1,12.23782229290057,2.6071972472396787e-05
B2,past,2,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.097394185076309,3.88584829869032e-07
B2,past,2,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.411143762031434,4.914613126183465e-07
B2,past,2,N1,N1,1.0,0.6,0.2,1.0,0.05,0.1,11.388245567219196,4.4211980526620565e-07
B2,past,2,N2,N2,4.0,0.1,0.1,1.0,0.05,0.1,12.10327912366343,3.4883503122196124e-07
