dataset,setting,stage,model,control,S,ci_low,ci_high,n_boot
B1,stimulus,retrieval,N2,N2_equal_penalty,-0.0013417608528101255,-0.007803781195117487,0.002747194546928844,2000
B1,stimulus,retrieval,N2,N2_fixed_target,0.0005187374975134107,-1.8545395217284266e-06,0.0012659373978220157,2000
B1,stimulus,retrieval,N2,N2_no_projection,-0.0010558783452545573,-0.0050237078160486615,0.0012157950099470627,2000
B1,stimulus,retrieval,N2,N2_no_retrieval,-4.5517464765554294e-05,-0.00024156700231992012,0.00012596962158739622,2000
B1,stimulus,retrieval,N2,N3,0.003391973548084626,-0.0027876194129492493,0.01627015631585682,2000
B1,stimulus,retrieval,N2,V1_M2,0.0002568951027352995,-0.003928968018678036,0.002557907662839143,2000
B2,past,encoding,N2,B0,0.03472984138340207,-0.006896346113431706,0.09940482585757375,2000
B2,past,encoding,N2,N0,0.035411552418344816,-0.0049072774880722925,0.08910505428354099,2000
B2,past,encoding,N2,N1,-0.004732617594848776,-0.02491589407066508,0.006440795182061199,2000
B2,past,encoding,N2,N3,0.013813102552043821,0.004131110574831731,0.0341397345521155,2000
B2,past,encoding,N0,B0,-0.0007067377145681952,-0.004974078771820217,0.009162130689592929,2000
B2,past,maintenance,N2,B0,-0.0010407360065691762,-0.03050434657051171,0.02663957246866901,2000
B2,past,maintenance,N2,N0,0.0012892790444539726,-0.018155552000076014,0.0261112570840093,2000
B2,past,maintenance,N2,N1,0.0003243987386587488,-0.005979808928398889,0.013489602671521994,2000
B2,past,maintenance,N2,N3,0.005880272239344619,-0.007926146358492103,0.016645519722938484,2000
B2,past,maintenance,N0,B0,-0.002333022968646681,-0.016110450355128814,0.004330794733011572,2000
B2,past,retrieval,N2,B0,0.009279669862986228,-0.00116401007297684,0.023331998123651637,2000
B2,past,retrieval,N2,N0,0.014825291765312998,0.004221833956089327,0.029807594152544525,2000
B2,past,retrieval,N2,N1,0.005762692709167627,-0.005270306315155571,0.012054177443756697,2000
B2,past,retrieval,N2,N3,-0.011336298277398793,-0.018376567427560442,-0.0035058418253888224,2000
B2,past,retrieval,N0,B0,-0.00562907457527384,-0.01229457605816342,-0.0010112154753466704,2000
B2,stimulus,encoding,N2,N0,-0.054568205520553636,-0.10234370414493932,-0.0017076393929251754,2000
B2,stimulus,encoding,N2,N1,-0.01686163323458789,-0.03294464261457919,-0.002097328600435544,2000
B2,stimulus,encoding,N2,N2_equal_penalty,8.177372021200835e-05,0.0,0.0002511673398800651,2000
B2,stimulus,encoding,N2,N2_fixed_target,0.00432115955886514,0.0008090776829233759,0.00736464739779541,2000
B2,stimulus,encoding,N2,N2_no_projection,-0.01693941294772272,-0.033140436527361095,-0.0024053609787884067,2000
B2,stimulus,encoding,N2,N2_no_retrieval,-0.007068812964443394,-0.01953140236513118,0.004683845379230833,2000
B2,stimulus,encoding,N2,N3,-0.020512808938201177,-0.04946031837961429,0.008406844989594875,2000
B2,stimulus,encoding,N2,V1_M2,-0.0026825844228126616,-0.01735223993981516,0.01682953671349241,2000
B2,stimulus,maintenance,N2,N0,0.03435383222044275,0.01501941176363697,0.04810978709825879,2000
B2,stimulus,maintenance,N2,N1,-0.004213914227228166,-0.01345403807906198,0.004687970975041256,2000
B2,stimulus,maintenance,N2,N2_equal_penalty,0.0004927402639470779,0.0,0.0015661787554094309,2000
B2,stimulus,maintenance,N2,N2_fixed_target,0.007472921773174379,0.004738318525396523,0.009752586493875781,2000
B2,stimulus,maintenance,N2,N2_no_projection,-0.0041811941358147475,-0.01318145735842502,0.005170418162570023,2000
B2,stimulus,maintenance,N2,N2_no_retrieval,-0.0018480536142015946,-0.008285491947053414,0.0018003602682432618,2000
B2,stimulus,maintenance,N2,N3,0.027589113375743213,-0.002662394194379525,0.07209526025388924,2000
B2,stimulus,maintenance,N2,V1_M2,0.00546422098137489,-0.00364711823371322,0.022014686050404457,2000
B2,stimulus,retrieval,N2,N0,0.10124052756256097,0.01229101175811953,0.17281190958930603,2000
B2,stimulus,retrieval,N2,N1,0.02185156358988649,0.00568079094348517,0.03653303427165555,2000
B2,stimulus,retrieval,N2,N2_equal_penalty,-0.002141218093371533,-0.006185160619147201,0.0,2000
B2,stimulus,retrieval,N2,N2_fixed_target,-0.0016758406408201587,-0.009447226035129486,0.011853912300339497,2000
B2,stimulus,retrieval,N2,N2_no_projection,0.02240996265070838,0.005946767071534631,0.03644742184252392,2000
B2,stimulus,retrieval,N2,N2_no_retrieval,0.010957164467293667,0.006128451698253268,0.014941880618416503,2000
B2,stimulus,retrieval,N2,N3,-0.014779299978844307,-0.054725356015929094,0.02976049957870608,2000
B2,stimulus,retrieval,N2,V1_M2,-0.023727129996755858,-0.05532415499416676,0.009300919080354218,2000
