dataset,branch,fold,model,target,contrast_RMSE,S_delta,delta_energy,weighted_MSE
B1,baseline,3,mechanism,common_baseline,63.96378972739673,-0.21971838993847692,1811350.777541672,1900.8056001282987
B1,baseline,3,training_template,common_baseline,86.46415974411136,-1.228760738666442,1811350.777541672,2327.250726134576
B1,baseline,3,mechanism,branch_output,63.96378972739673,-0.21971838993847692,1811350.777541672,1900.8056001282987
B1,baseline,3,training_template,branch_output,86.46415974411136,-1.228760738666442,1811350.777541672,2327.250726134576
B1,denoised,3,mechanism,common_baseline,63.34135807530787,-0.19609572810935894,1811350.777541672,1913.5847061150887
B1,denoised,3,training_template,common_baseline,83.27894491091028,-1.0675766868518832,1811350.777541672,2226.113737029156
B1,denoised,3,mechanism,branch_output,58.38829117151639,-0.20867040218776545,1523131.5100211161,1664.8608636478891
B1,denoised,3,training_template,branch_output,78.16856088095902,-1.1663099278028608,1523131.5100211161,1944.6761252430495
B1,baseline,4,mechanism,common_baseline,20.78180892415855,-0.11401695874054929,209347.92108568145,853.8106860467725
B1,baseline,4,training_template,common_baseline,38.52322338643954,-2.8279860410748228,209347.92108568145,1062.9419651903954
B1,baseline,4,mechanism,branch_output,20.78180892415855,-0.11401695874054929,209347.92108568145,853.8106860467725
B1,baseline,4,training_template,branch_output,38.52322338643954,-2.8279860410748228,209347.92108568145,1062.9419651903954
B1,denoised,4,mechanism,common_baseline,20.537761721956883,-0.0880060970017078,209347.92108568145,846.9409111675532
B1,denoised,4,training_template,common_baseline,36.57324125139625,-2.4502614742761457,209347.92108568145,1000.5557002854057
B1,denoised,4,mechanism,branch_output,20.294625529651558,-0.09377659589955845,203342.05956109863,801.8765691887762
B1,denoised,4,training_template,branch_output,36.431540214992935,-2.524695518786342,203342.05956109863,962.3851804938486
B2,baseline,0,mechanism,common_baseline,129.62126700512167,-7.426204760452894,1076748.5009371398,26848.69178729525
B2,baseline,0,training_template,common_baseline,138.88329545411997,-8.673408097880523,1076748.5009371398,26887.694585982837
B2,baseline,0,mechanism,branch_output,129.62126700512167,-7.426204760452894,1076748.5009371398,26848.69178729525
B2,baseline,0,training_template,branch_output,138.88329545411997,-8.673408097880523,1076748.5009371398,26887.694585982837
B2,denoised,0,mechanism,common_baseline,118.39806294318868,-6.030216155498994,1076748.5009371398,26217.912747632105
B2,denoised,0,training_template,common_baseline,126.67062683430557,-7.0469503805769556,1076748.5009371398,26147.464372743834
B2,denoised,0,mechanism,branch_output,111.98261163179458,-7.737424865207805,775017.4646100042,19684.41187657286
B2,denoised,0,training_template,branch_output,120.20722121659261,-9.068004159801081,775017.4646100042,19648.037737972718
B2,baseline,1,mechanism,common_baseline,86.40963179304188,0.53041635832129,8586281.237470336,5769.978236569485
B2,baseline,1,training_template,common_baseline,68.98712195334745,0.7006876031146146,8586281.237470336,3591.211050697439
B2,baseline,1,mechanism,branch_output,86.40963179304188,0.53041635832129,8586281.237470336,5769.978236569485
B2,baseline,1,training_template,branch_output,68.98712195334745,0.7006876031146146,8586281.237470336,3591.211050697439
B2,denoised,1,mechanism,common_baseline,90.2673974335812,0.48755118547809684,8586281.237470336,6202.856420177687
B2,denoised,1,training_template,common_baseline,73.07401549452564,0.6641737837233502,8586281.237470336,4014.5758082194243
B2,denoised,1,mechanism,branch_output,73.59014942335493,0.5397198335553105,6353468.306815117,4678.52543374807
B2,denoised,1,training_template,branch_output,57.06646678618815,0.7232135274678887,6353468.306815117,2770.9540462390723
B2,baseline,2,mechanism,common_baseline,58.35687663736412,0.6188359430306172,4824650.944505835,2773.661273524877
B2,baseline,2,training_template,common_baseline,61.978316027488,0.5700604418920971,4824650.944505835,2802.3823948525437
B2,baseline,2,mechanism,branch_output,58.35687663736412,0.6188359430306172,4824650.944505835,2773.661273524877
B2,baseline,2,training_template,branch_output,61.978316027488,0.5700604418920971,4824650.944505835,2802.3823948525437
B2,denoised,2,mechanism,common_baseline,59.92089699345987,0.598131030324923,4824650.944505835,2680.2255500782962
B2,denoised,2,training_template,common_baseline,63.420503246833235,0.5498189298445673,4824650.944505835,2695.9714053919893
B2,denoised,2,mechanism,branch_output,54.16025592250426,0.599103564804107,3951145.1202733284,2355.831260715416
B2,denoised,2,training_template,branch_output,58.59074273873582,0.5308315649521893,3951145.1202733284,2360.2866339462494
B2,baseline,3,mechanism,common_baseline,113.22229310845266,0.5249423381391021,14571737.055079006,12370.943306809357
B2,baseline,3,training_template,common_baseline,105.65729420570885,0.5863039224901767,14571737.055079006,12520.867251932561
B2,baseline,3,mechanism,branch_output,113.22229310845266,0.5249423381391021,14571737.055079006,12370.943306809357
B2,baseline,3,training_template,branch_output,105.65729420570885,0.5863039224901767,14571737.055079006,12520.867251932561
B2,denoised,3,mechanism,common_baseline,116.80438650128052,0.49440736451938827,14571737.055079006,12273.509675575311
B2,denoised,3,training_template,common_baseline,109.29278219394196,0.5573449764394651,14571737.055079006,12403.182433513868
B2,denoised,3,mechanism,branch_output,110.92098565484979,0.5024571509061024,13353364.7278158,11465.424376521021
B2,denoised,3,training_template,branch_output,103.4565761518621,0.5671681094386574,13353364.7278158,11590.896624311668
B2,baseline,4,mechanism,common_baseline,50.16150858227061,0.4891456988357509,2659732.033689414,3213.7385092446802
B2,baseline,4,training_template,common_baseline,49.245914890874296,0.507624657119834,2659732.033689414,3467.871060643794
B2,baseline,4,mechanism,branch_output,50.16150858227061,0.4891456988357509,2659732.033689414,3213.7385092446802
B2,baseline,4,training_template,branch_output,49.245914890874296,0.507624657119834,2659732.033689414,3467.871060643794
B2,denoised,4,mechanism,common_baseline,49.523815175813816,0.5020519177153071,2659732.033689414,2962.379782514093
B2,denoised,4,training_template,common_baseline,49.4395962372313,0.5037440733217955,2659732.033689414,3216.785211542014
B2,denoised,4,mechanism,branch_output,47.65580532672452,0.3887945013937695,2006495.237231129,2432.635581978127
B2,denoised,4,training_template,branch_output,49.612228256892244,0.3375805238163926,2006495.237231129,2701.797203862627
