dataset,branch,fold,model,target,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,denoised,3,training_template,branch_output,1,F4,116.33576684213402,-8.549576574412798,359.375,43.23439800550299
A1,baseline,4,mechanism,common_baseline,-1,Fz,31.261939048370213,-6.295955715489539,,
A1,baseline,4,mechanism,common_baseline,-1,F3,170.5888534989763,-6.91949068534243,277.34375,2.69634818040928
A1,baseline,4,mechanism,common_baseline,-1,F4,106.05367197565197,-9.326336640508822,250.0,2.210034424803365
A1,baseline,4,mechanism,common_baseline,1,Fz,8.184885408432262,-0.7636251617261565,,
A1,baseline,4,mechanism,common_baseline,1,F3,31.411729294460397,-13.252634275040085,308.59375,24.954450971918853
A1,baseline,4,mechanism,common_baseline,1,F4,26.788590694919286,-6.651305306137466,292.96875,16.30622253285953
A1,baseline,4,training_template,common_baseline,-1,Fz,30.238059807900328,-5.825873078254842,296.875,7.625471805854289
A1,baseline,4,training_template,common_baseline,-1,F3,149.16075455293606,-5.054873788251245,,
A1,baseline,4,training_template,common_baseline,-1,F4,91.36047419317302,-6.663224506357905,,
A1,baseline,4,training_template,common_baseline,1,Fz,11.534329266792412,-2.5024002008889346,351.5625,4.665932973995461
A1,baseline,4,training_template,common_baseline,1,F3,55.64292316965265,-43.7230407408234,355.46875,53.84584968960134
A1,baseline,4,training_template,common_baseline,1,F4,41.392651755828965,-17.267633833676815,355.46875,39.03231309804298
A1,baseline,4,mechanism,branch_output,-1,Fz,31.261939048370213,-6.295955715489539,,
A1,baseline,4,mechanism,branch_output,-1,F3,170.5888534989763,-6.91949068534243,277.34375,2.69634818040928
A1,baseline,4,mechanism,branch_output,-1,F4,106.05367197565197,-9.326336640508822,250.0,2.210034424803365
A1,baseline,4,mechanism,branch_output,1,Fz,8.184885408432262,-0.7636251617261565,,
A1,baseline,4,mechanism,branch_output,1,F3,31.411729294460397,-13.252634275040085,308.59375,24.954450971918853
A1,baseline,4,mechanism,branch_output,1,F4,26.788590694919286,-6.651305306137466,292.96875,16.30622253285953
A1,baseline,4,training_template,branch_output,-1,Fz,30.238059807900328,-5.825873078254842,296.875,7.625471805854289
A1,baseline,4,training_template,branch_output,-1,F3,149.16075455293606,-5.054873788251245,,
A1,baseline,4,training_template,branch_output,-1,F4,91.36047419317302,-6.663224506357905,,
A1,baseline,4,training_template,branch_output,1,Fz,11.534329266792412,-2.5024002008889346,351.5625,4.665932973995461
A1,baseline,4,training_template,branch_output,1,F3,55.64292316965265,-43.7230407408234,355.46875,53.84584968960134
A1,baseline,4,training_template,branch_output,1,F4,41.392651755828965,-17.267633833676815,355.46875,39.03231309804298
A1,denoised,4,mechanism,common_baseline,-1,Fz,31.185952449881352,-6.260531099708012,,
A1,denoised,4,mechanism,common_baseline,-1,F3,170.588240933654,-6.919433809449842,285.15625,2.594377507439986
A1,denoised,4,mechanism,common_baseline,-1,F4,106.14164870826839,-9.343476154000523,257.8125,2.1808724711119734
A1,denoised,4,mechanism,common_baseline,1,Fz,8.156866634960624,-0.7515712275403486,,
A1,denoised,4,mechanism,common_baseline,1,F3,29.799449395718984,-11.82708369574921,312.5,22.479748507767777
A1,denoised,4,mechanism,common_baseline,1,F4,25.53113496592785,-5.949859762620694,296.875,14.265876028829467
A1,denoised,4,training_template,common_baseline,-1,Fz,30.035923210148674,-5.734918365151902,296.875,7.801996214982541
A1,denoised,4,training_template,common_baseline,-1,F3,151.4760567462808,-5.244302493650471,,
A1,denoised,4,training_template,common_baseline,-1,F4,93.43816526616703,-7.015737071872671,,
A1,denoised,4,training_template,common_baseline,1,Fz,11.485862485346527,-2.4730281551067943,351.5625,4.675578545689704
A1,denoised,4,training_template,common_baseline,1,F3,51.37066019231139,-37.11902144606024,355.46875,47.907873847630015
A1,denoised,4,training_template,common_baseline,1,F4,38.05477077178694,-14.440239014121763,355.46875,33.88703276265477
A1,denoised,4,mechanism,branch_output,-1,Fz,30.603413187897456,-6.420648289346729,,
A1,denoised,4,mechanism,branch_output,-1,F3,155.09767058830997,-6.567596995251541,285.15625,2.594377507439986
A1,denoised,4,mechanism,branch_output,-1,F4,94.18366264667914,-8.945966260242782,257.8125,2.1808724711119734
A1,denoised,4,mechanism,branch_output,1,Fz,8.00709395180421,-0.7137184345465353,,
A1,denoised,4,mechanism,branch_output,1,F3,27.54432947345975,-12.771431288919432,312.5,22.479748507767777
A1,denoised,4,mechanism,branch_output,1,F4,22.656262640658554,-5.7238847723188915,296.875,14.265876028829467
A1,denoised,4,training_template,branch_output,-1,Fz,29.439974289354787,-5.86715688305809,296.875,7.801996214982541
A1,denoised,4,training_template,branch_output,-1,F3,135.99279232347462,-4.818073830478168,,
A1,denoised,4,training_template,branch_output,-1,F4,81.46668702498886,-6.441422130974135,,
A1,denoised,4,training_template,branch_output,1,Fz,11.291664797184245,-2.4080469908423496,351.5625,4.675578545689704
A1,denoised,4,training_template,branch_output,1,F3,49.17637067494975,-42.89626993350909,355.46875,47.907873847630015
A1,denoised,4,training_template,branch_output,1,F4,35.143905390265104,-15.178705267362506,355.46875,33.88703276265477
A2,baseline,0,mechanism,common_baseline,-1,Fz,8.661025925326916,0.9459194686913539,250.0,19.773413792379348
A2,baseline,0,mechanism,common_baseline,-1,F3,34.75697215930933,-0.10481778161433009,363.28125,31.28934986421181
A2,baseline,0,mechanism,common_baseline,-1,F4,43.222931139234724,0.048533457481303,363.28125,57.92524924060576
A2,baseline,0,mechanism,common_baseline,1,Fz,33.54545832281734,-0.9166229631044334,371.09375,37.62051029778675
A2,baseline,0,mechanism,common_baseline,1,F3,21.990602401412406,0.6716866136352213,378.90625,73.33704161998881
A2,baseline,0,mechanism,common_baseline,1,F4,28.431000424993638,0.44017289618898325,371.09375,56.819287099778
A2,baseline,0,training_template,common_baseline,-1,Fz,10.082821497498498,0.9267063365257224,355.46875,27.093461810682683
A2,baseline,0,training_template,common_baseline,-1,F3,36.60354218551767,-0.2253298489819473,363.28125,35.17599215902756
A2,baseline,0,training_template,common_baseline,-1,F4,47.27579557895208,-0.13826343104895766,460.9375,60.65749300489501
A2,baseline,0,training_template,common_baseline,1,Fz,38.2070623667093,-1.4863171286918737,371.09375,38.597676372090355
A2,baseline,0,training_template,common_baseline,1,F3,21.52491552510225,0.6854445245769516,,
A2,baseline,0,training_template,common_baseline,1,F4,32.56151572780262,0.2656909798237779,,
A2,baseline,0,mechanism,branch_output,-1,Fz,8.661025925326916,0.9459194686913539,250.0,19.773413792379348
A2,baseline,0,mechanism,branch_output,-1,F3,34.75697215930933,-0.10481778161433009,363.28125,31.28934986421181
A2,baseline,0,mechanism,branch_output,-1,F4,43.222931139234724,0.048533457481303,363.28125,57.92524924060576
A2,baseline,0,mechanism,branch_output,1,Fz,33.54545832281734,-0.9166229631044334,371.09375,37.62051029778675
A2,baseline,0,mechanism,branch_output,1,F3,21.990602401412406,0.6716866136352213,378.90625,73.33704161998881
A2,baseline,0,mechanism,branch_output,1,F4,28.431000424993638,0.44017289618898325,371.09375,56.819287099778
A2,baseline,0,training_template,branch_output,-1,Fz,10.082821497498498,0.9267063365257224,355.46875,27.093461810682683
A2,baseline,0,training_template,branch_output,-1,F3,36.60354218551767,-0.2253298489819473,363.28125,35.17599215902756
A2,baseline,0,training_template,branch_output,-1,F4,47.27579557895208,-0.13826343104895766,460.9375,60.65749300489501
A2,baseline,0,training_template,branch_output,1,Fz,38.2070623667093,-1.4863171286918737,371.09375,38.597676372090355
A2,baseline,0,training_template,branch_output,1,F3,21.52491552510225,0.6854445245769516,,
A2,baseline,0,training_template,branch_output,1,F4,32.56151572780262,0.2656909798237779,,
A2,denoised,0,mechanism,common_baseline,-1,Fz,6.964458453776322,0.9650315021693189,250.0,17.781598084628225
A2,denoised,0,mechanism,common_baseline,-1,F3,29.58729724492954,0.1993967052600535,363.28125,26.39462932868965
A2,denoised,0,mechanism,common_baseline,-1,F4,36.93990004312386,0.30504525713260444,363.28125,52.4183037394421
A2,denoised,0,mechanism,common_baseline,1,Fz,28.19635155783001,-0.35411347838229523,371.09375,33.814231616827826
A2,denoised,0,mechanism,common_baseline,1,F3,21.071864856340483,0.6985465334266308,378.90625,64.03997521056235
A2,denoised,0,mechanism,common_baseline,1,F4,24.3443252039311,0.5895454077571514,367.1875,49.1261580886822
A2,denoised,0,training_template,common_baseline,-1,Fz,8.095866047593548,0.9527470528936117,355.46875,24.85732626176225
